ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
1369,b4_r2_n5_E2_X3b_1,47767.2,7835,0.0,76.52,12504.5,2325,29.32,1
1376,b4_r2_n5_E2_X3c_1_5,47705.4,7840,0.0,76.37,12482.8,2330,29.27,1
1375,b4_r2_n5_E2_X3c_1_3,47683.5,7836,0.0,76.25,12475.2,2328,29.25,1
634,b3_r1_n5_E1_X3b_1,82666.5,17262,0.0,133.23,12304.7,2738,28.85,1
640,b3_r1_n5_E1_X3c_1_3,82658.5,17286,0.0,133.29,12265.5,2714,28.76,1
641,b3_r1_n5_E1_X3c_1_5,82763.6,17289,0.0,133.5,12260.4,2711,28.75,1
1354,b4_r2_n5_E1_X3b_1,46742.3,10673,0.0,74.63,11784.2,3577,27.63,1
1361,b4_r2_n5_E1_X3c_1_5,46763.0,10687,0.0,74.69,11782.5,3585,27.62,1
1360,b4_r2_n5_E1_X3c_1_3,46668.0,10683,0.0,74.57,11772.3,3581,27.6,1
1556,b4_r3_n5_E2_X3c_1_5,48388.9,11198,0.0,76.99,11634.7,3869,27.28,1
1555,b4_r3_n5_E2_X3c_1_3,48319.0,11192,0.0,76.97,11620.9,3867,27.25,1
1549,b4_r3_n5_E2_X3b_1,48366.4,11187,0.0,76.97,11617.9,3867,27.24,1
515,b2_r3_n8_E1_X3b_2,57860.5,15863,0.0,92.71,11571.1,4137,27.13,1
523,b2_r3_n8_E1_X3c_2_5,57833.2,15897,0.0,92.69,11521.7,4103,27.01,1
522,b2_r3_n8_E1_X3c_2_3,57788.9,15888,0.0,92.54,11477.7,4112,26.91,1
1571,b4_r3_n6_E1_X3c_1_5,42734.4,11236,0.0,68.01,11435.6,4157,26.81,1
1564,b4_r3_n6_E1_X3b_1,42709.1,11228,0.0,68.1,11415.1,4155,26.76,1
1570,b4_r3_n6_E1_X3c_1_3,42706.9,11232,0.0,67.97,11410.6,4155,26.75,1
1886,b5_r2_n4_E2_X3c_1_5,45343.7,8935,0.0,72.2,11220.7,2774,26.31,1
1885,b5_r2_n4_E2_X3c_1_3,45342.3,8934,0.0,72.32,11217.1,2771,26.3,1
1879,b5_r2_n4_E2_X3b_1,45330.9,8918,0.0,72.28,11204.1,2766,26.27,1
1174,b4_r1_n5_E1_X3b_1,42369.8,6842,0.0,67.65,10288.5,1797,24.12,1
1195,b4_r1_n5_E2_X3c_1_3,42685.7,6759,0.0,68.28,10274.0,1749,24.09,1
1189,b4_r1_n5_E2_X3b_1,42781.8,6750,0.0,68.37,10256.7,1748,24.05,1
1196,b4_r1_n5_E2_X3c_1_5,42693.9,6758,0.0,68.23,10244.5,1749,24.02,1
1180,b4_r1_n5_E1_X3c_1_3,42289.1,6853,0.0,67.6,10242.3,1799,24.01,1
1181,b4_r1_n5_E1_X3c_1_5,42312.0,6852,0.0,67.62,10238.8,1799,24.01,1
1705,b5_r1_n4_E2_X3c_1_3,39557.1,7309,0.0,62.97,9473.8,1915,22.21,1
1060,b3_r3_n8_E1_X3c_1_3,36126.4,6263,0.0,57.49,9447.5,2210,22.15,1
1061,b3_r3_n8_E1_X3c_1_5,36120.9,6263,0.0,57.49,9447.5,2210,22.15,1
1054,b3_r3_n8_E1_X3b_1,36157.6,6263,0.0,57.53,9447.5,2210,22.15,1
1706,b5_r1_n4_E2_X3c_1_5,39656.8,7314,0.0,63.15,9436.2,1914,22.12,1
1699,b5_r1_n4_E2_X3b_1,39596.4,7291,0.0,63.11,9432.8,1908,22.12,1
1691,b5_r1_n4_E1_X3c_1_5,39054.9,7660,0.0,62.12,9303.2,2032,21.81,1
1690,b5_r1_n4_E1_X3c_1_3,38945.2,7652,0.0,62.01,9302.6,2033,21.81,1
1684,b5_r1_n4_E1_X3b_1,38901.7,7626,0.0,61.93,9240.9,2021,21.67,1
1585,b4_r3_n6_E2_X3c_1_3,35640.3,6756,0.0,56.57,9146.5,2393,21.44,1
1586,b4_r3_n6_E2_X3c_1_5,35626.2,6756,0.0,56.55,9146.5,2393,21.44,1
1579,b4_r3_n6_E2_X3b_1,35663.8,6756,0.0,56.61,9146.5,2393,21.44,1
1076,b3_r3_n8_E2_X3c_1_5,35013.1,4755,0.0,55.78,9038.6,1524,21.19,1
1075,b3_r3_n8_E2_X3c_1_3,34997.9,4755,0.0,55.76,9038.6,1524,21.19,1
1069,b3_r3_n8_E2_X3b_1,35054.3,4755,0.0,55.83,9038.6,1524,21.19,1
164,b2_r1_n8_E1_X3c_3_5,37411.4,12016,0.0,59.27,8952.9,3337,20.99,1
179,b2_r1_n8_E2_X3c_3_5,37442.4,12012,0.0,59.39,8945.3,3332,20.97,1
359,b2_r2_n8_E2_X3c_3_5,37739.5,12076,0.0,59.99,8935.5,3356,20.95,1
344,b2_r2_n8_E1_X3c_3_5,37534.1,12190,0.0,59.41,8910.9,3403,20.89,1
156,b2_r1_n8_E1_X3b_3,37292.9,11914,0.0,59.04,8825.3,3314,20.69,1
351,b2_r2_n8_E2_X3b_3,37683.0,11977,0.0,59.43,8825.4,3336,20.69,1
2074,b5_r3_n5_E1_X3b_1,35261.9,12106,0.0,55.55,8823.9,4477,20.69,1
2080,b5_r3_n5_E1_X3c_1_3,35304.6,12113,0.0,55.69,8825.8,4477,20.69,1
2081,b5_r3_n5_E1_X3c_1_5,35354.4,12114,0.0,55.75,8820.9,4477,20.68,1
171,b2_r1_n8_E2_X3b_3,37332.0,11910,0.0,59.12,8808.3,3310,20.65,1
