ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
164,b5_r1_n8_E1_X3c_3_5,2366.2,529,0.0,2.94,858.4,145,1.41,1
656,b10_r1_n5_E2_X3c_1_5,3332.3,439,0.0,4.45,736.7,104,1.21,1
655,b10_r1_n5_E2_X3c_1_3,3345.1,438,0.0,4.51,736.7,104,1.21,1
649,b10_r1_n5_E2_X3b_1,3318.1,435,0.0,4.38,736.7,104,1.21,1
685,b10_r1_n6_E2_X3c_1_3,1987.2,206,0.0,2.51,419.9,53,0.69,1
679,b10_r1_n6_E2_X3b_1,1987.2,206,0.0,2.51,419.9,53,0.69,1
686,b10_r1_n6_E2_X3c_1_5,1987.2,206,0.0,2.51,419.9,53,0.69,1
2207,b30_r1_n3_E2_X1_8,3969.6,138,0.033,0.62,349.3,44,0.57,1
1166,b15_r1_n4_E2_X3c_1_5,1332.2,502,0.007,0.82,273.3,126,0.45,1
1159,b15_r1_n4_E2_X3b_1,1332.2,502,0.007,0.82,273.3,126,0.45,1
1165,b15_r1_n4_E2_X3c_1_3,1355.5,502,0.007,0.85,273.3,126,0.45,1
1198,b15_r1_n5_E2_X3c_2_5,1342.2,232,0.01,0.62,228.2,50,0.37,1
1190,b15_r1_n5_E2_X3b_2,1277.1,232,0.013,0.54,180.9,50,0.3,1
1226,b15_r1_n6_E2_X3c_1_5,952.1,110,0.0,0.77,175.5,22,0.29,1
1219,b15_r1_n6_E2_X3b_1,952.1,110,0.0,0.77,175.5,22,0.29,1
1225,b15_r1_n6_E2_X3c_1_3,975.4,110,0.0,0.79,175.5,22,0.29,1
1817,b20_r2_n2_E2_X1_8,4158.8,378,0.033,0.78,153.3,134,0.25,1
1136,b15_r1_n3_E2_X3c_1_5,1693.3,1067,0.014,0.78,146.5,278,0.24,1
1129,b15_r1_n3_E2_X3b_1,1691.1,1067,0.015,0.78,146.5,278,0.24,1
1135,b15_r1_n3_E2_X3c_1_3,1716.6,1067,0.014,0.8,146.5,278,0.24,1
1197,b15_r1_n5_E2_X3c_2_3,1482.5,232,0.009,0.86,137.9,51,0.23,1
1228,b15_r1_n6_E2_X3c_2_5,1216.3,106,0.003,0.85,126.6,22,0.21,1
1189,b15_r1_n5_E2_X3b_1,1291.1,243,0.001,1.07,124.3,51,0.2,1
1196,b15_r1_n5_E2_X3c_1_5,1291.1,243,0.001,1.07,124.3,51,0.2,1
1195,b15_r1_n5_E2_X3c_1_3,1314.4,243,0.001,1.09,124.3,51,0.2,1
1227,b15_r1_n6_E2_X3c_2_3,1357.6,106,0.001,1.08,108.3,22,0.18,1
1220,b15_r1_n6_E2_X3b_2,1208.8,106,0.003,0.83,97.9,22,0.16,1
716,b10_r1_n8_E2_X3c_1_5,1129.5,66,0.0,1.35,63.1,11,0.1,1
709,b10_r1_n8_E2_X3b_1,1129.5,66,0.0,1.35,63.1,11,0.1,1
715,b10_r1_n8_E2_X3c_1_3,1129.5,66,0.0,1.35,63.1,11,0.1,1
1359,b15_r2_n5_E1_X7_8,3921.7,646,0.032,0.32,37.6,208,0.06,1
674,b10_r1_n6_E1_X3c_3_5,1261.3,367,0.015,0.56,-19.6,88,-0.03,0
695,b10_r1_n8_E1_X3b_2,696.0,95,0.003,0.52,-22.0,16,-0.04,0
710,b10_r1_n8_E2_X3b_2,755.2,65,0.0,0.74,-27.4,11,-0.04,0
717,b10_r1_n8_E2_X3c_2_3,755.0,65,0.0,0.74,-28.4,11,-0.05,0
703,b10_r1_n8_E1_X3c_2_5,679.9,95,0.002,0.5,-32.0,16,-0.05,0
702,b10_r1_n8_E1_X3c_2_3,687.9,95,0.003,0.5,-33.6,16,-0.06,0
718,b10_r1_n8_E2_X3c_2_5,737.6,65,0.0,0.73,-37.4,11,-0.06,0
704,b10_r1_n8_E1_X3c_3_5,723.5,93,0.011,0.39,-73.0,16,-0.12,0
680,b10_r1_n6_E2_X3b_2,1507.5,202,0.0,1.56,-73.0,53,-0.12,0
688,b10_r1_n6_E2_X3c_2_5,1400.2,202,0.0,1.41,-74.0,53,-0.12,0
687,b10_r1_n6_E2_X3c_2_3,1438.2,202,0.0,1.47,-82.9,53,-0.14,0
1578,b15_r3_n6_E2_X2,2317.9,559,0.047,0.12,-82.4,151,-0.14,0
2213,b30_r1_n3_E2_X7_5,2778.1,211,0.045,0.23,-100.7,68,-0.17,0
719,b10_r1_n8_E2_X3c_3_5,867.0,63,0.0,0.76,-108.0,11,-0.18,0
628,b10_r1_n4_E2_X3c_2_5,1189.1,985,0.027,0.32,-108.7,247,-0.18,0
711,b10_r1_n8_E2_X3b_3,864.4,63,0.0,0.72,-117.0,11,-0.19,0
696,b10_r1_n8_E1_X3b_3,716.6,93,0.016,0.33,-121.8,16,-0.2,0
650,b10_r1_n5_E2_X3b_2,1783.4,425,0.0,1.68,-127.6,104,-0.21,0
681,b10_r1_n6_E2_X3b_3,1337.7,197,0.002,1.04,-135.2,52,-0.22,0
