ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
1832,b20_r2_n3_E1_X1_8,3126.5,239,0.043,0.57,1,-1058.6,94
1922,b20_r2_n6_E1_X1_8,3113.3,178,0.03,1.12,1,-1309.3,65
2347,b30_r2_n2_E1_X7_3,3081.3,140,0.065,0.4,0,-1598.7,71
1828,b20_r2_n2_E2_X3c_2_5,3071.0,809,0.026,1.2,1,-312.9,296
1852,b20_r2_n3_E2_X7_3,3065.5,222,0.038,0.13,1,-713.8,91
2581,b30_r3_n4_E1_X1_5,3050.2,141,0.016,2.06,1,-875.4,51
1318,b15_r2_n3_E2_X3c_2_5,3031.2,951,0.013,2.21,1,167.9,327
1317,b15_r2_n3_E2_X3c_2_3,3031.2,951,0.013,2.21,1,167.9,327
1310,b15_r2_n3_E2_X3b_2,3031.1,950,0.011,2.12,1,199.7,327
998,b10_r3_n5_E1_X7_5,3001.6,536,0.056,-0.89,0,1198.4,219
1568,b15_r3_n6_E1_X7_5,2981.7,222,0.047,0.87,1,-1689.6,108
1869,b20_r2_n4_E1_X7_8,2961.0,248,0.053,0.28,0,-637.1,103
2167,b30_r1_n2_E1_X7_3,2910.3,395,0.071,-0.66,0,101.1,155
2019,b20_r3_n3_E1_X7_8,2864.5,139,0.085,-1.0,0,-3007.9,78
1341,b15_r2_n4_E2_X3b_3,2861.7,423,0.016,1.75,1,-6.8,167
1446,b15_r3_n2_E1_X3b_3,2842.1,1098,0.061,-0.97,0,-89.2,374
1454,b15_r3_n2_E1_X3c_3_5,2839.4,1100,0.074,-0.57,0,-89.2,374
1288,b15_r2_n2_E2_X3c_2_5,2834.7,1448,0.033,0.65,1,-91.4,481
2118,b20_r3_n6_E2_X2,2826.0,189,0.009,2.28,1,-732.5,65
1349,b15_r2_n4_E2_X3c_3_5,2821.9,427,0.015,1.82,1,-10.2,167
2405,b30_r2_n4_E1_X3b_2,2817.6,262,0.02,1.52,1,-954.7,85
1287,b15_r2_n2_E2_X3c_2_3,2817.6,1448,0.034,0.57,1,-91.4,481
1476,b15_r3_n3_E1_X3b_3,2802.6,1097,0.059,-0.75,0,-89.2,374
1484,b15_r3_n3_E1_X3c_3_5,2799.9,1099,0.091,-0.65,0,-89.2,374
2049,b20_r3_n4_E1_X7_8,2791.5,140,0.092,-1.03,0,-3066.2,77
1280,b15_r2_n2_E2_X3b_2,2789.0,1443,0.034,0.5,1,-87.7,479
2106,b20_r3_n6_E1_X3b_3,2774.9,261,0.021,1.52,1,-1253.2,97
2114,b20_r3_n6_E1_X3c_3_5,2774.9,261,0.021,1.52,1,-1253.2,97
1633,b20_r1_n2_E1_X3c_2_5,2773.9,1045,0.057,0.14,0,969.3,389
2412,b30_r2_n4_E1_X3c_2_3,2773.2,262,0.022,1.39,1,-954.7,85
2413,b30_r2_n4_E1_X3c_2_5,2773.2,262,0.022,1.39,1,-954.7,85
909,b10_r3_n2_E1_X7_8,2748.3,536,0.095,-1.26,0,1629.9,238
939,b10_r3_n3_E1_X7_8,2748.3,536,0.095,-1.26,0,1629.9,238
2418,b30_r2_n4_E2_X2,2739.7,175,0.009,2.09,1,-1001.2,52
2384,b30_r2_n3_E1_X3c_3_5,2735.4,197,0.043,0.78,1,-1251.0,83
2604,b30_r3_n4_E2_X7_8,2707.9,58,0.086,-0.03,0,-567.9,24
952,b10_r3_n3_E2_X7_3,2685.2,556,0.082,-1.17,0,-2016.6,238
922,b10_r3_n2_E2_X7_3,2685.2,556,0.082,-1.17,0,-2016.6,238
1127,b15_r1_n3_E2_X1_8,2665.8,306,0.041,0.33,1,631.9,127
2107,b20_r3_n6_E1_X7_3,2654.9,128,0.068,-0.19,0,-1774.1,61
2596,b30_r3_n4_E2_X1_5,2648.7,117,0.027,1.14,1,-492.5,39
1634,b20_r1_n2_E1_X3c_3_5,2633.8,862,0.087,-0.9,0,657.4,350
1551,b15_r3_n5_E2_X3b_3,2619.4,455,0.019,1.15,1,152.4,174
997,b10_r3_n5_E1_X7_3,2616.4,576,0.114,-1.4,0,573.1,220
355,b5_r2_n8_E2_X3c_1_3,2606.5,777,0.0,4.93,1,448.4,247
356,b5_r2_n8_E2_X3c_1_5,2606.5,777,0.0,4.93,1,448.4,247
349,b5_r2_n8_E2_X3b_1,2606.5,777,0.0,4.93,1,448.4,247
