ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
2192,b30_r1_n3_E1_X1_8,1803.8,74,654.7,36,1177.3,51.1,575.4
967,b10_r3_n4_E1_X7_3,1773.6,438,-791.9,214,329.2,283.9,1160.5
1022,b10_r3_n6_E1_X1_8,1728.7,484,-172.3,217,405.4,745.1,578.2
1141,b15_r1_n4_E1_X1_5,1710.4,412,-270.2,178,1101.7,390.7,218.0
125,b5_r1_n6_E1_X3b_2,1654.4,737,907.2,316,26.1,1078.3,550.0
535,b5_r3_n8_E2_X3c_1_3,1645.8,1200,889.1,541,12.0,1076.0,557.8
536,b5_r3_n8_E2_X3c_1_5,1645.8,1200,889.1,541,12.0,1076.0,557.8
1146,b15_r1_n4_E1_X3b_3,1612.9,416,-527.5,195,265.0,1151.4,196.5
969,b10_r3_n4_E1_X7_8,1611.5,389,-1181.3,204,174.6,568.1,868.8
529,b5_r3_n8_E2_X3b_1,1608.2,1199,889.1,541,12.0,1076.0,520.2
1059,b10_r3_n8_E1_X7_8,1587.4,261,-1386.6,128,480.5,787.5,319.4
596,b10_r1_n3_E2_X3c_1_5,1584.4,1086,697.7,531,8.4,908.3,667.7
1655,b20_r1_n3_E1_X3b_2,1536.7,466,-1669.3,231,1136.2,316.3,84.2
80,b5_r1_n4_E2_X3b_2,1534.1,1981,896.4,889,9.8,1143.3,381.0
589,b10_r1_n3_E2_X3b_1,1502.8,1080,622.3,530,8.4,905.5,588.9
595,b10_r1_n3_E2_X3c_1_3,1502.8,1080,676.3,531,8.4,905.5,588.9
133,b5_r1_n6_E1_X3c_2_5,1500.4,740,944.6,316,26.0,1027.0,447.4
132,b5_r1_n6_E1_X3c_2_3,1482.5,740,911.6,317,25.8,1006.6,450.1
95,b5_r1_n5_E1_X3b_2,1480.9,1565,749.5,683,11.5,971.9,497.5
744,b10_r2_n2_E2_X7_8,1453.9,711,-2150.2,366,85.0,670.7,698.2
1052,b10_r3_n8_E1_X1_8,1433.9,358,-616.2,150,757.1,416.9,259.9
722,b10_r2_n2_E1_X1_8,1429.6,661,-1998.0,307,546.0,347.8,535.8
2168,b30_r1_n2_E1_X7_5,1324.6,258,14.5,130,0.3,247.3,1077.0
2174,b30_r1_n2_E1_X3c_3_5,1324.5,267,19.7,135,49.4,181.7,1093.4
141,b5_r1_n6_E2_X3b_3,1288.6,504,99.9,211,163.8,694.8,430.0
626,b10_r1_n4_E2_X3c_1_5,1271.3,499,764.3,257,172.0,686.4,412.9
170,b5_r1_n8_E2_X3b_2,1242.5,168,546.1,76,206.5,561.7,474.3
177,b5_r1_n8_E2_X3c_2_3,1235.7,168,553.4,76,215.1,561.7,458.9
178,b5_r1_n8_E2_X3c_2_5,1227.1,168,546.1,76,206.5,561.7,458.9
619,b10_r1_n4_E2_X3b_1,1199.2,497,764.3,257,172.0,686.4,340.8
625,b10_r1_n4_E2_X3c_1_3,1199.2,497,764.3,257,172.0,686.4,340.8
1074,b10_r3_n8_E2_X7_8,1197.1,199,-1082.8,89,725.3,103.4,368.4
1742,b20_r1_n6_E1_X1_8,1191.1,59,-442.0,23,142.4,433.5,615.2
1656,b20_r1_n3_E1_X3b_3,1181.2,374,-1056.0,176,188.3,519.8,473.1
1663,b20_r1_n3_E1_X3c_2_5,1114.9,484,-1675.6,235,926.7,80.8,107.4
155,b5_r1_n8_E1_X3b_2,1114.2,196,514.8,92,175.2,555.0,384.0
162,b5_r1_n8_E1_X3c_2_3,1113.5,196,532.2,92,193.9,534.5,385.1
2483,b30_r2_n6_E2_X7_5,1078.1,31,260.5,13,157.5,836.2,84.4
163,b5_r1_n8_E1_X3c_2_5,1068.3,196,502.9,92,183.1,530.1,355.1
983,b10_r3_n4_E2_X7_5,1049.1,334,-552.9,167,202.9,169.6,676.6
1202,b15_r1_n6_E1_X1_8,1048.3,94,-989.7,51,573.1,460.3,14.9
656,b10_r1_n5_E2_X3c_1_5,1016.6,245,475.6,119,111.5,486.8,418.3
649,b10_r1_n5_E2_X3b_1,973.7,244,475.6,119,111.5,486.8,375.4
655,b10_r1_n5_E2_X3c_1_3,973.7,244,475.6,119,111.5,486.8,375.4
909,b10_r3_n2_E1_X7_8,964.5,393,-870.2,210,174.6,152.8,637.1
939,b10_r3_n3_E1_X7_8,964.5,393,-870.2,210,174.6,152.8,637.1
2229,b30_r1_n4_E1_X7_8,956.9,100,325.3,54,19.5,220.8,716.6
1081,b15_r1_n2_E1_X1_5,938.8,632,-607.3,288,260.6,56.8,621.4
149,b5_r1_n6_E2_X3c_3_5,929.3,508,246.5,211,85.5,576.1,267.7
2477,b30_r2_n6_E2_X1_8,909.4,34,700.4,12,226.5,574.8,108.1
752,b10_r2_n3_E1_X1_8,892.0,651,-2105.9,298,69.5,494.9,327.6
2047,b20_r3_n4_E1_X7_3,857.4,113,-801.6,55,106.9,534.3,216.2
2544,b30_r3_n2_E2_X7_8,841.8,38,-154.1,22,359.5,421.3,61.0
2574,b30_r3_n3_E2_X7_8,841.8,38,-154.1,22,359.5,421.3,61.0
2062,b20_r3_n4_E2_X7_3,835.6,93,-333.0,42,31.6,649.1,154.9
2453,b30_r2_n5_E2_X7_5,815.5,44,918.6,20,237.0,466.6,111.9
982,b10_r3_n4_E2_X7_3,764.8,353,-340.1,167,349.9,1.3,413.6
171,b5_r1_n8_E2_X3b_3,722.6,165,267.7,75,76.2,318.1,328.3
2107,b20_r3_n6_E1_X7_3,687.2,89,139.1,43,44.3,78.1,564.8
1741,b20_r1_n6_E1_X1_5,649.1,70,-265.0,25,38.4,499.6,111.1
156,b5_r1_n8_E1_X3b_3,644.7,191,211.0,91,19.8,321.6,303.3
179,b5_r1_n8_E2_X3c_3_5,634.3,166,329.0,75,76.2,261.3,296.8
2362,b30_r2_n2_E2_X7_3,620.2,87,394.0,41,93.9,500.2,26.1
679,b10_r1_n6_E2_X3b_1,615.4,103,390.5,58,81.5,267.0,266.9
686,b10_r1_n6_E2_X3c_1_5,615.4,103,390.5,58,81.5,267.0,266.9
685,b10_r1_n6_E2_X3c_1_3,615.4,103,390.5,58,81.5,267.0,266.9
