ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
56,b5_r1_n3_E2_X3c_1_5,11337.5,5886,0.0,24.46,1,2504.8,1894,5.87,1
49,b5_r1_n3_E2_X3b_1,11261.8,5858,0.0,24.23,1,2463.7,1891,5.77,1
55,b5_r1_n3_E2_X3c_1_3,11330.1,5878,0.0,24.45,1,2452.4,1894,5.74,1
86,b5_r1_n4_E2_X3c_1_5,8330.4,2661,0.0,17.97,1,1883.1,846,4.41,1
85,b5_r1_n4_E2_X3c_1_3,8310.1,2660,0.0,17.88,1,1883.3,846,4.41,1
79,b5_r1_n4_E2_X3b_1,8276.8,2659,0.0,17.86,1,1877.1,846,4.4,1
969,b10_r3_n4_E1_X7_8,3729.8,519,0.03,1.04,1,1845.7,226,4.32,1
115,b5_r1_n5_E2_X3c_1_3,5730.5,1191,0.0,12.15,1,1172.5,355,2.75,1
109,b5_r1_n5_E2_X3b_1,5711.4,1191,0.0,12.12,1,1172.5,355,2.75,1
116,b5_r1_n5_E2_X3c_1_5,5736.5,1192,0.0,12.18,1,1172.5,355,2.75,1
146,b5_r1_n6_E2_X3c_1_5,4128.5,576,0.0,8.55,1,703.2,170,1.65,1
145,b5_r1_n6_E2_X3c_1_3,4114.4,575,0.0,8.55,1,703.2,170,1.65,1
139,b5_r1_n6_E2_X3b_1,4114.4,575,0.0,8.55,1,703.2,170,1.65,1
1652,b20_r1_n3_E1_X1_8,3826.8,265,0.025,1.2,1,687.2,93,1.61,1
1127,b15_r1_n3_E2_X1_8,2665.8,306,0.041,0.33,1,631.9,127,1.48,1
1874,b20_r2_n4_E1_X3c_3_5,3678.7,348,0.003,3.21,1,604.9,146,1.42,1
1866,b20_r2_n4_E1_X3b_3,3805.5,344,0.006,3.17,1,604.9,146,1.42,1
2192,b30_r1_n3_E1_X1_8,3964.5,129,0.032,1.64,1,591.3,48,1.38,1
2172,b30_r1_n2_E1_X3c_2_3,3406.1,465,0.026,0.84,1,512.6,185,1.2,1
130,b5_r1_n6_E1_X3c_1_3,3605.4,806,0.0,7.25,1,505.6,272,1.18,1
131,b5_r1_n6_E1_X3c_1_5,3614.6,807,0.0,7.23,1,505.6,272,1.18,1
124,b5_r1_n6_E1_X3b_1,3597.0,806,0.0,7.23,1,499.6,272,1.17,1
100,b5_r1_n5_E1_X3c_1_3,4566.1,1885,0.0,9.27,1,481.6,637,1.13,1
101,b5_r1_n5_E1_X3c_1_5,4570.9,1886,0.0,9.25,1,478.6,637,1.12,1
94,b5_r1_n5_E1_X3b_1,4573.2,1884,0.0,9.11,1,472.6,637,1.11,1
356,b5_r2_n8_E2_X3c_1_5,2606.5,777,0.0,4.93,1,448.4,247,1.05,1
