ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
2344,b30_r2_n2_E1_X3b_1,1993.0,540,-988.6,216,283.6,917.3,792.1
2159,b20_r3_n8_E2_X3c_3_5,1988.3,114,-386.3,42,144.6,1396.0,447.7
2151,b20_r3_n8_E2_X3b_3,1988.3,114,-386.3,42,144.6,1396.0,447.7
2422,b30_r2_n4_E2_X7_3,1982.2,91,246.5,30,24.7,1367.3,590.2
2603,b30_r3_n4_E2_X7_5,1971.5,62,-1007.7,25,130.9,921.9,918.7
2424,b30_r2_n4_E2_X7_8,1969.4,86,43.6,31,191.8,1250.2,527.4
1821,b20_r2_n2_E2_X3b_3,1956.8,398,-1136.2,168,351.8,1201.4,403.6
1467,b15_r3_n2_E2_X3c_2_3,1953.7,810,-648.2,293,269.1,496.6,1188.0
1460,b15_r3_n2_E2_X3b_2,1953.7,810,-648.2,293,269.1,496.6,1188.0
1468,b15_r3_n2_E2_X3c_2_5,1953.7,810,-648.2,293,269.1,496.6,1188.0
1497,b15_r3_n3_E2_X3c_2_3,1941.5,809,-648.2,293,256.9,496.6,1188.0
1498,b15_r3_n3_E2_X3c_2_5,1941.5,809,-648.2,293,256.9,496.6,1188.0
1490,b15_r3_n3_E2_X3b_2,1941.5,809,-648.2,293,256.9,496.6,1188.0
1829,b20_r2_n2_E2_X3c_3_5,1930.0,400,-939.5,169,351.8,1226.0,352.2
1548,b15_r3_n5_E2_X2,1924.9,454,-15.0,176,606.8,485.9,832.2
1042,b10_r3_n6_E2_X7_3,1911.2,412,-192.2,156,254.4,524.5,1132.3
1625,b20_r1_n2_E1_X3b_2,1905.0,1017,389.4,383,725.0,1065.3,114.7
2448,b30_r2_n5_E2_X2,1895.0,113,-788.9,39,16.6,1140.8,737.6
2463,b30_r2_n6_E1_X2,1889.7,119,-326.1,41,125.3,1191.2,573.2
1085,b15_r1_n2_E1_X3b_2,1889.4,1807,-1070.5,711,1218.2,400.5,270.7
1096,b15_r1_n2_E2_X1_5,1886.3,591,-229.9,250,215.4,929.2,741.7
2472,b30_r2_n6_E1_X3c_2_3,1874.1,119,-244.7,41,140.1,1240.8,493.2
2465,b30_r2_n6_E1_X3b_2,1874.1,119,-244.7,41,140.1,1240.8,493.2
2473,b30_r2_n6_E1_X3c_2_5,1874.1,119,-244.7,41,140.1,1240.8,493.2
2459,b30_r2_n5_E2_X3c_3_5,1865.3,79,-462.5,30,100.9,1491.5,272.9
2451,b30_r2_n5_E2_X3b_3,1865.3,79,-462.5,30,100.9,1491.5,272.9
2117,b20_r3_n6_E2_X1_8,1860.9,132,-531.8,47,349.8,668.0,843.1
1629,b20_r1_n2_E1_X7_8,1854.7,790,762.6,329,546.2,907.0,401.5
2444,b30_r2_n5_E1_X3c_3_5,1846.7,114,-610.8,46,251.0,1494.8,100.9
2436,b30_r2_n5_E1_X3b_3,1846.7,114,-610.8,46,251.0,1494.8,100.9
1342,b15_r2_n4_E2_X7_3,1841.6,335,555.2,132,243.2,1101.8,496.6
2085,b20_r3_n5_E2_X1_3,1816.9,246,-510.5,86,278.7,770.9,767.3
1848,b20_r2_n3_E2_X2,1804.8,534,-744.1,212,558.3,681.1,565.4
1865,b20_r2_n4_E1_X3b_2,1801.2,558,230.8,211,529.1,659.8,612.3
1878,b20_r2_n4_E2_X2,1794.5,354,-36.4,144,756.4,470.4,567.7
1647,b20_r1_n2_E2_X3c_2_3,1793.5,569,683.6,199,459.7,854.2,479.6
2116,b20_r3_n6_E2_X1_5,1776.8,159,-580.3,55,436.2,1164.2,176.4
1873,b20_r2_n4_E1_X3c_2_5,1756.2,559,230.8,211,529.1,659.8,567.3
1872,b20_r2_n4_E1_X3c_2_3,1756.2,559,230.8,211,529.1,659.8,567.3
1108,b15_r1_n2_E2_X3c_2_5,1741.7,918,310.7,361,317.7,1258.7,165.3
2136,b20_r3_n8_E1_X3b_3,1741.7,154,-450.6,57,317.2,1127.7,296.8
2144,b20_r3_n8_E1_X3c_3_5,1741.7,154,-450.6,57,317.2,1127.7,296.8
1347,b15_r2_n4_E2_X3c_2_3,1733.3,616,-115.0,228,310.0,451.8,971.5
1348,b15_r2_n4_E2_X3c_2_5,1733.3,616,-115.0,228,310.0,451.8,971.5
1340,b15_r2_n4_E2_X3b_2,1733.2,615,-83.2,228,310.0,451.7,971.5
2423,b30_r2_n4_E2_X7_5,1729.1,91,-83.4,32,69.6,1214.8,444.7
968,b10_r3_n4_E1_X7_5,1726.5,559,1143.2,235,88.0,534.7,1103.8
2361,b30_r2_n2_E2_X3b_3,1717.4,179,-1086.2,73,60.9,1071.3,585.2
1642,b20_r1_n2_E2_X7_3,1685.8,478,-13.5,182,543.5,451.4,690.9
1100,b15_r1_n2_E2_X3b_2,1672.0,898,176.0,355,417.6,1157.4,97.0
2533,b30_r3_n2_E1_X3c_2_5,1670.2,285,-1329.9,105,76.9,611.0,982.3
2555,b30_r3_n3_E1_X3b_2,1670.2,285,-1329.9,105,76.9,611.0,982.3
2525,b30_r3_n2_E1_X3b_2,1670.2,285,-1329.9,105,76.9,611.0,982.3
2562,b30_r3_n3_E1_X3c_2_3,1670.2,285,-1329.9,105,76.9,611.0,982.3
2563,b30_r3_n3_E1_X3c_2_5,1670.2,285,-1329.9,105,76.9,611.0,982.3
2532,b30_r3_n2_E1_X3c_2_3,1670.2,285,-1329.9,105,76.9,611.0,982.3
2421,b30_r2_n4_E2_X3b_3,1653.9,113,-114.6,38,145.6,877.0,631.3
2429,b30_r2_n4_E2_X3c_3_5,1653.9,113,-114.6,38,145.6,877.0,631.3
1578,b15_r3_n6_E2_X2,1643.7,346,-161.7,134,647.8,443.3,552.6
1937,b20_r2_n6_E2_X1_8,1627.6,117,-2148.0,52,200.1,160.5,1267.0
2147,b20_r3_n8_E2_X1_8,1623.5,94,221.5,35,206.0,851.3,566.2
125,b5_r1_n6_E1_X3b_2,1620.5,779,-5.8,268,41.2,321.8,1257.5
133,b5_r1_n6_E1_X3c_2_5,1619.0,783,18.0,268,1.3,411.2,1206.5
170,b5_r1_n8_E2_X3b_2,1615.8,198,154.8,50,199.5,410.6,1005.7
132,b5_r1_n6_E1_X3c_2_3,1615.1,782,49.3,268,17.6,375.8,1221.7
2055,b20_r3_n4_E2_X1_3,1607.4,317,-719.3,131,294.2,706.1,607.1
1643,b20_r1_n2_E2_X7_5,1606.0,474,-120.3,183,266.7,331.6,1007.7
162,b5_r1_n8_E1_X3c_2_3,1594.6,231,159.4,61,196.4,421.0,977.2
163,b5_r1_n8_E1_X3c_2_5,1592.3,231,144.1,61,170.4,428.2,993.7
178,b5_r1_n8_E2_X3c_2_5,1592.2,198,160.1,50,199.5,410.6,982.1
2169,b30_r1_n2_E1_X7_8,1585.6,354,-167.9,145,122.7,578.1,884.8
177,b5_r1_n8_E2_X3c_2_3,1581.5,198,162.6,50,200.4,423.6,957.5
