ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
8332,b20_r3_n5_E1_X3c_2_5,0,552.2,779,207.8,42.6,301.8
5603,b15_r2_n6_E2_X3b_2_bf7,7,548.7,116,90.3,149.9,308.5
4428,b15_r1_n2_E2_X3c_2_3,0,548.4,2062,29.3,418.0,101.1
3532,b10_r2_n8_E1_X3c_2_5,0,546.8,169,36.4,331.5,178.9
6426,b15_r3_n8_E2_X1_5_bf5,5,535.4,198,312.1,121.1,102.2
6243,b15_r3_n6_E1_X1_3_bf7,7,533.9,302,6.4,273.4,254.1
3528,b10_r2_n8_E1_X3c_2_3,0,529.0,169,18.0,338.5,172.5
2876,b10_r1_n8_E2_X3c_3_5,0,525.1,53,7.7,250.1,267.3
6832,b20_r1_n4_E2_X3c_2_5,0,523.6,58,86.0,227.2,210.4
6255,b15_r3_n6_E1_X2_bf7,7,520.8,304,135.2,10.1,375.5
9944,b30_r2_n6_E2_X3c_1_5,0,512.0,56,198.7,124.6,188.7
9940,b30_r2_n6_E2_X3c_1_3,0,512.0,56,198.7,124.6,188.7
9916,b30_r2_n6_E2_X3b_1,0,512.0,56,198.7,124.6,188.7
9824,b30_r2_n5_E2_X3c_1_5,0,511.9,115,362.4,95.1,54.4
9820,b30_r2_n5_E2_X3c_1_3,0,511.9,115,362.4,95.1,54.4
9796,b30_r2_n5_E2_X3b_1,0,511.9,115,362.4,95.1,54.4
2816,b10_r1_n8_E1_X3c_3_5,0,498.9,55,7.7,250.1,241.1
3500,b10_r2_n8_E1_X3b_2,0,495.8,169,23.7,331.5,140.6
2844,b10_r1_n8_E2_X3b_3,0,485.6,53,0.5,223.7,261.4
6772,b20_r1_n4_E1_X3c_2_5,0,483.3,72,45.3,276.5,161.5
6588,b20_r1_n2_E2_X3c_2_3,0,475.4,752,9.1,412.0,54.3
6768,b20_r1_n4_E1_X3c_2_3,0,474.2,72,42.2,347.5,84.5
5638,b15_r2_n6_E2_X3c_3_5_bf5,5,472.0,135,31.0,28.0,413.0
5635,b15_r2_n6_E2_X3c_2_5_bf7,7,469.6,117,61.7,166.6,241.3
6800,b20_r1_n4_E2_X3b_2,0,458.3,58,54.3,269.1,134.9
4700,b15_r1_n5_E1_X3b_2,0,453.7,77,149.9,230.6,73.2
7736,b20_r2_n6_E1_X3c_3_5,0,434.0,243,6.4,52.4,375.2
8600,b20_r3_n8_E2_X3b_2,0,432.1,128,136.5,210.7,84.9
8628,b20_r3_n8_E2_X3c_2_3,0,432.1,128,136.5,210.7,84.9
8632,b20_r3_n8_E2_X3c_2_5,0,432.1,128,136.5,210.7,84.9
2784,b10_r1_n8_E1_X3b_3,0,430.9,55,0.5,223.7,206.7
2648,b10_r1_n6_E1_X1_8,0,429.0,98,86.9,233.3,108.8
9900,b30_r2_n6_E2_X1_3,0,427.5,56,291.7,99.7,36.1
5631,b15_r2_n6_E2_X3c_2_3_bf7,7,418.7,117,102.8,127.6,188.3
7764,b20_r2_n6_E2_X3b_3,0,415.2,117,124.0,232.5,58.7
8536,b20_r3_n8_E1_X3b_1,0,399.5,195,141.2,45.0,213.3
8564,b20_r3_n8_E1_X3c_1_5,0,399.5,195,141.2,45.0,213.3
8560,b20_r3_n8_E1_X3c_1_3,0,399.5,195,141.2,45.0,213.3
4912,b15_r1_n6_E2_X3c_2_5,0,392.2,36,100.4,126.2,165.6
4908,b15_r1_n6_E2_X3c_2_3,0,392.2,36,100.4,126.2,165.6
7767,b20_r2_n6_E2_X3b_3_bf7,7,386.1,85,133.5,177.4,75.2
4848,b15_r1_n6_E1_X3c_2_3,0,385.0,38,100.4,126.2,158.4
3431,b10_r2_n6_E2_X1_8_bf7,7,374.3,123,53.5,244.3,76.5
4880,b15_r1_n6_E2_X3b_2,0,365.3,36,100.4,126.2,138.7
2516,b10_r1_n4_E2_X3c_3_5,0,357.7,609,34.0,152.0,171.7
1150,b5_r2_n5_E2_X1_8_bf5,5,351.4,379,114.0,57.0,180.4
6672,b20_r1_n3_E2_X2,0,351.3,207,32.5,109.6,209.2
2708,b10_r1_n6_E2_X1_8,0,350.6,97,86.9,233.3,30.4
4852,b15_r1_n6_E1_X3c_2_5,0,347.2,38,100.4,126.2,120.6
8360,b20_r3_n5_E2_X3b_2,0,343.8,501,41.3,40.1,262.4
1149,b5_r2_n5_E2_X1_8_bf3,3,338.4,432,60.3,198.9,79.2
7765,b20_r2_n6_E2_X3b_3_bf3,3,338.3,93,121.3,98.3,118.7
7766,b20_r2_n6_E2_X3b_3_bf5,5,329.0,92,91.2,128.5,109.3
4820,b15_r1_n6_E1_X3b_2,0,320.3,38,100.4,126.2,93.7
5680,b15_r2_n8_E1_X3c_1_3,0,291.7,93,16.2,111.9,163.6
5656,b15_r2_n8_E1_X3b_1,0,291.7,93,16.2,111.9,163.6
5684,b15_r2_n8_E1_X3c_1_5,0,291.7,93,16.2,111.9,163.6
5740,b15_r2_n8_E2_X3c_1_3,0,290.5,36,29.1,150.3,111.1
5744,b15_r2_n8_E2_X3c_1_5,0,290.5,36,29.1,150.3,111.1
5716,b15_r2_n8_E2_X3b_1,0,290.5,36,29.1,150.3,111.1
8594,b20_r3_n8_E2_X2_bf5,5,273.2,119,98.9,169.1,5.2
4796,b15_r1_n5_E2_X3c_3_5,0,258.8,67,94.7,43.5,120.6
4916,b15_r1_n6_E2_X3c_3_5,0,235.2,35,61.9,7.2,166.1
8595,b20_r3_n8_E2_X2_bf7,7,233.2,117,96.9,133.1,3.2
4764,b15_r1_n5_E2_X3b_3,0,229.2,67,74.7,134.4,20.1
