ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc
2080,b5_r3_n8_E1_X3c_1_3,0,20688.1,3201,0.0,46.2,1
2084,b5_r3_n8_E1_X3c_1_5,0,20688.1,3201,0.0,46.2,1
2056,b5_r3_n8_E1_X3b_1,0,20688.1,3201,0.0,46.2,1
2324,b10_r1_n3_E1_X3c_1_5,0,19956.4,4448,0.0,44.09,1
2320,b10_r1_n3_E1_X3c_1_3,0,19876.8,4446,0.0,43.95,1
468,b5_r1_n5_E2_X3c_2_3,0,19773.4,5189,0.0,43.62,1
472,b5_r1_n5_E2_X3c_2_5,0,19713.8,5201,0.0,43.39,1
2296,b10_r1_n3_E1_X3b_1,0,19692.4,4385,0.0,43.21,1
440,b5_r1_n5_E2_X3b_2,0,19588.5,5142,0.0,43.11,1
412,b5_r1_n5_E1_X3c_2_5,0,19530.5,5288,0.0,43.09,1
408,b5_r1_n5_E1_X3c_2_3,0,19507.9,5275,0.0,43.01,1
380,b5_r1_n5_E1_X3b_2,0,19317.8,5225,0.0,42.53,1
4424,b15_r1_n2_E2_X3c_1_5,0,18426.5,3797,0.0,40.24,1
2144,b5_r3_n8_E2_X3c_1_5,0,18362.9,2163,0.0,40.98,1
2116,b5_r3_n8_E2_X3b_1,0,18362.9,2163,0.0,40.98,1
2140,b5_r3_n8_E2_X3c_1_3,0,18362.9,2163,0.0,40.98,1
4420,b15_r1_n2_E2_X3c_1_3,0,18167.5,3778,0.0,39.66,1
4396,b15_r1_n2_E2_X3b_1,0,17834.0,3658,0.0,38.67,1
1308,b5_r2_n6_E2_X3c_2_3,0,15838.9,3103,0.0,34.75,1
1280,b5_r2_n6_E2_X3b_2,0,15829.2,3087,0.0,34.85,1
1312,b5_r2_n6_E2_X3c_2_5,0,15819.4,3104,0.0,34.76,1
560,b5_r1_n6_E2_X3b_2,0,14608.3,2571,0.0,31.98,1
588,b5_r1_n6_E2_X3c_2_3,0,14552.3,2580,0.0,31.94,1
500,b5_r1_n6_E1_X3b_2,0,14514.3,2601,0.0,31.77,1
528,b5_r1_n6_E1_X3c_2_3,0,14488.9,2610,0.0,31.73,1
592,b5_r1_n6_E2_X3c_2_5,0,14473.8,2581,0.0,31.71,1
532,b5_r1_n6_E1_X3c_2_5,0,14406.3,2611,0.0,31.58,1
1248,b5_r2_n6_E1_X3c_2_3,0,14353.3,3823,0.0,31.18,1
1220,b5_r2_n6_E1_X3b_2,0,14255.2,3801,0.0,30.92,1
1252,b5_r2_n6_E1_X3c_2_5,0,14160.4,3823,0.0,30.8,1
3220,b10_r2_n4_E2_X3c_1_3,0,12980.9,2473,0.0,27.61,1
3224,b10_r2_n4_E2_X3c_1_5,0,12959.3,2474,0.0,27.8,1
3196,b10_r2_n4_E2_X3b_1,0,12909.6,2469,0.0,27.57,1
1420,b5_r2_n8_E2_X3c_1_3,0,12097.3,921,0.0,26.86,1
1424,b5_r2_n8_E2_X3c_1_5,0,12094.4,921,0.0,26.85,1
1396,b5_r2_n8_E2_X3b_1,0,12094.4,921,0.0,26.85,1
1360,b5_r2_n8_E1_X3c_1_3,0,11944.0,1011,0.0,26.48,1
1364,b5_r2_n8_E1_X3c_1_5,0,11941.1,1011,0.0,26.47,1
1336,b5_r2_n8_E1_X3b_1,0,11941.1,1011,0.0,26.47,1
700,b5_r1_n8_E2_X3c_1_3,0,11413.9,865,0.0,25.2,1
676,b5_r1_n8_E2_X3b_1,0,11411.0,865,0.0,25.19,1
704,b5_r1_n8_E2_X3c_1_5,0,11411.0,865,0.0,25.19,1
640,b5_r1_n8_E1_X3c_1_3,0,11365.1,869,0.0,25.07,1
644,b5_r1_n8_E1_X3c_1_5,0,11362.2,869,0.0,25.07,1
616,b5_r1_n8_E1_X3b_1,0,11362.2,869,0.0,25.07,1
3256,b10_r2_n5_E1_X3b_1,0,10046.4,2393,0.0,21.33,1
3284,b10_r2_n5_E1_X3c_1_5,0,10020.9,2393,0.0,21.28,1
3280,b10_r2_n5_E1_X3c_1_3,0,10020.9,2393,0.0,21.28,1
2476,b10_r1_n4_E2_X3b_1,0,9994.1,1112,0.0,21.76,1
2500,b10_r1_n4_E2_X3c_1_3,0,9988.5,1114,0.0,21.71,1
2504,b10_r1_n4_E2_X3c_1_5,0,9981.6,1115,0.0,21.75,1
2416,b10_r1_n4_E1_X3b_1,0,9656.1,1208,0.0,20.8,1
2440,b10_r1_n4_E1_X3c_1_3,0,9605.9,1210,0.0,20.71,1
2444,b10_r1_n4_E1_X3c_1_5,0,9587.6,1211,0.0,20.7,1
4004,b10_r3_n5_E1_X3c_1_5,0,9460.7,4090,0.0,19.26,1
4000,b10_r3_n5_E1_X3c_1_3,0,9440.1,4090,0.0,19.21,1
3976,b10_r3_n5_E1_X3b_1,0,9440.1,4090,0.0,19.21,1
6584,b20_r1_n2_E2_X3c_1_5,0,8492.5,1327,0.0,17.78,1
3316,b10_r2_n5_E2_X3b_1,0,8439.4,1095,0.0,17.84,1
3340,b10_r2_n5_E2_X3c_1_3,0,8414.6,1095,0.0,17.79,1
3344,b10_r2_n5_E2_X3c_1_5,0,8414.6,1095,0.0,17.79,1
6580,b20_r1_n2_E2_X3c_1_3,0,8343.5,1326,0.0,17.35,1
6556,b20_r1_n2_E2_X3b_1,0,8075.2,1288,0.0,16.15,1
1428,b5_r2_n8_E2_X3c_2_3,0,8015.3,916,0.0,17.18,1
1400,b5_r2_n8_E2_X3b_2,0,8012.5,914,0.0,17.14,1
1432,b5_r2_n8_E2_X3c_2_5,0,7976.5,916,0.0,17.1,1
1368,b5_r2_n8_E1_X3c_2_3,0,7632.3,1002,0.0,16.26,1
1340,b5_r2_n8_E1_X3b_2,0,7622.5,1000,0.0,16.28,1
4096,b10_r3_n6_E1_X3b_1,0,7593.3,2599,0.0,15.33,1
4124,b10_r3_n6_E1_X3c_1_5,0,7593.3,2599,0.0,15.33,1
4120,b10_r3_n6_E1_X3c_1_3,0,7593.3,2599,0.0,15.33,1
1372,b5_r2_n8_E1_X3c_2_5,0,7578.1,1002,0.0,16.13,1
708,b5_r1_n8_E2_X3c_2_3,0,7516.6,857,0.0,16.06,1
680,b5_r1_n8_E2_X3b_2,0,7513.4,856,0.0,16.06,1
712,b5_r1_n8_E2_X3c_2_5,0,7499.7,857,0.0,16.02,1
648,b5_r1_n8_E1_X3c_2_3,0,7472.4,861,0.0,15.98,1
620,b5_r1_n8_E1_X3b_2,0,7459.5,860,0.0,16.04,1
10110,b30_r3_n2_E1_X7_3_bf5,5,7446.2,196,0.0,7.43,1
10230,b30_r3_n3_E1_X7_3_bf5,5,7446.2,196,0.0,7.43,1
652,b5_r1_n8_E1_X3c_2_5,0,7445.8,861,0.0,15.92,1
564,b5_r1_n6_E2_X3b_3,0,7400.4,2454,0.0,14.79,1
1284,b5_r2_n6_E2_X3b_3,0,7351.7,2966,0.0,14.5,1
504,b5_r1_n6_E1_X3b_3,0,7309.0,2476,0.0,14.53,1
4544,b15_r1_n3_E2_X3c_1_5,0,7218.8,908,0.0,15.31,1
4540,b15_r1_n3_E2_X3c_1_3,0,7185.4,909,0.0,15.25,1
4516,b15_r1_n3_E2_X3b_1,0,7164.2,899,0.0,15.02,1
4484,b15_r1_n3_E1_X3c_1_5,0,7161.8,1152,0.0,14.92,1
4456,b15_r1_n3_E1_X3b_1,0,7159.5,1137,0.0,14.76,1
1316,b5_r2_n6_E2_X3c_3_5,0,7118.2,3017,0.0,14.25,1
596,b5_r1_n6_E2_X3c_3_5,0,7029.8,2491,0.0,14.17,1
