ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
10405,b30_r3_n4_E2_X3b_3_bf3,3,4773.1,400,2129.9,2324.2,319.0
7484,b20_r2_n4_E1_X3c_1_5,0,4767.9,2513,566.0,1970.0,2231.9
10285,b30_r3_n3_E2_X3b_3_bf3,3,4766.9,554,2192.0,2374.6,200.3
10165,b30_r3_n2_E2_X3b_3_bf3,3,4766.9,554,2192.0,2374.6,200.3
8244,b20_r3_n4_E2_X3b_3,0,4742.3,985,1010.8,1592.0,2139.5
10438,b30_r3_n4_E2_X3c_3_5_bf5,5,4737.2,395,2106.0,2590.2,41.0
7480,b20_r2_n4_E1_X3c_1_3,0,4735.1,2512,566.0,1937.2,2231.9
8184,b20_r3_n4_E1_X3b_3,0,4724.6,1352,1667.3,2013.6,1043.7
7396,b20_r2_n3_E2_X3b_1,0,4712.0,2216,656.3,1069.9,2985.8
8249,b20_r3_n4_E2_X7_3_bf3,3,4707.1,574,1237.5,3325.7,143.9
7456,b20_r2_n4_E1_X3b_1,0,4691.7,2512,566.0,1897.0,2228.7
10317,b30_r3_n3_E2_X3c_3_5_bf3,3,4682.3,559,2192.0,2325.9,164.4
10197,b30_r3_n2_E2_X3c_3_5_bf3,3,4682.3,559,2192.0,2325.9,164.4
10437,b30_r3_n4_E2_X3c_3_5_bf3,3,4674.7,403,2129.9,2314.3,230.5
8276,b20_r3_n4_E2_X3c_3_5,0,4673.0,987,1019.0,1556.6,2097.4
7360,b20_r2_n3_E1_X3c_1_3,0,4660.1,5369,254.7,1300.4,3105.0
10508,b30_r3_n5_E2_X1_8,0,4623.4,216,621.8,1049.6,2952.0
6090,b15_r3_n4_E2_X7_3_bf5,5,4532.1,969,570.3,1214.8,2747.0
9561,b30_r2_n3_E2_X3b_2_bf3,3,4518.3,680,780.4,2273.0,1464.9
7336,b20_r2_n3_E1_X3b_1,0,4479.2,5363,237.9,1221.2,3020.1
9588,b30_r2_n3_E2_X3c_2_3,0,4401.9,769,781.7,1806.9,1813.3
3524,b10_r2_n8_E1_X3c_1_5,0,4393.9,266,458.5,1160.0,2775.4
3520,b10_r2_n8_E1_X3c_1_3,0,4393.9,266,458.5,1160.0,2775.4
3496,b10_r2_n8_E1_X3b_1,0,4393.9,266,458.5,1160.0,2775.4
9593,b30_r2_n3_E2_X3c_2_5_bf3,3,4390.1,688,781.0,2140.4,1468.7
8008,b20_r3_n2_E2_X7_3,0,4379.6,737,1235.5,2543.0,601.1
