ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
834,b10_r2_n5_E2_X7_8,539.5,346,0.271,-2.36,0,-1397.3,116
111,b5_r1_n5_E2_X3b_3,539.0,564,0.074,-0.19,0,-13.9,210
1176,b15_r1_n5_E1_X3b_3,532.7,180,0.245,-1.37,0,58.2,52
1419,b15_r2_n8_E1_X7_8,481.5,77,0.225,-1.44,0,44.4,24
595,b10_r1_n3_E2_X3c_1_3,474.3,853,0.139,-0.51,0,-140.1,316
596,b10_r1_n3_E2_X3c_1_5,474.3,853,0.139,-0.51,0,-140.1,316
1685,b20_r1_n4_E1_X3b_2,467.9,210,0.273,-1.61,0,-402.7,57
1724,b20_r1_n5_E1_X3c_3_5,454.3,94,0.242,-1.25,0,-68.2,26
1267,b15_r2_n2_E1_X7_3,453.7,310,0.364,-3.01,0,557.9,88
1575,b15_r3_n6_E2_X1_3,425.8,175,0.201,-0.85,0,449.3,64
1747,b20_r1_n6_E1_X7_3,421.9,51,0.156,-0.63,0,205.9,16
1515,b15_r3_n4_E2_X1_3,412.9,314,0.251,-1.63,0,231.2,97
1282,b15_r2_n2_E2_X7_3,407.4,257,0.352,-3.18,0,-95.6,78
688,b10_r1_n6_E2_X3c_2_5,405.6,91,0.072,-0.05,0,70.9,32
2040,b20_r3_n4_E1_X1_3,397.0,240,0.308,-2.11,0,-104.0,72
687,b10_r1_n6_E2_X3c_2_3,386.5,91,0.055,-0.04,0,94.8,32
680,b10_r1_n6_E2_X3b_2,381.2,91,0.084,-0.1,0,70.9,32
1965,b20_r2_n8_E2_X1_3,367.4,32,0.113,-0.31,0,-74.2,9
826,b10_r2_n5_E2_X1_5,359.6,425,0.329,-2.17,0,-179.1,124
1268,b15_r2_n2_E1_X7_5,354.3,282,0.376,-3.32,0,-686.6,91
666,b10_r1_n6_E1_X3b_3,352.9,201,0.269,-1.13,0,-51.9,55
2232,b30_r1_n4_E1_X3c_2_3,310.6,87,0.283,-1.3,0,491.3,29
1186,b15_r1_n5_E2_X1_5,304.7,86,0.289,-1.27,0,-653.7,27
1980,b20_r3_n2_E1_X1_3,302.1,295,0.346,-2.58,0,-176.6,93
2010,b20_r3_n3_E1_X1_3,302.1,295,0.346,-2.58,0,-176.6,93
1717,b20_r1_n5_E1_X7_3,293.7,99,0.286,-1.2,0,-88.6,26
1500,b15_r3_n4_E1_X1_3,221.4,397,0.38,-2.31,0,208.6,119
1726,b20_r1_n5_E2_X1_5,203.8,46,0.356,-1.77,0,61.3,12
2227,b30_r1_n4_E1_X7_3,170.2,84,0.424,-2.07,0,-246.3,27
683,b10_r1_n6_E2_X7_5,170.1,90,0.33,-0.92,0,-24.3,30
2231,b30_r1_n4_E1_X3c_1_5,88.0,104,0.431,-1.08,0,112.0,32
2224,b30_r1_n4_E1_X3b_1,88.0,104,0.431,-1.08,0,112.0,32
2230,b30_r1_n4_E1_X3c_1_3,88.0,104,0.431,-1.08,0,112.0,32
