ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
1996,b5_r3_n6_E2_X3b_1,0,36019.7,5898,0.0,81.51,1,12053.6,1750,28.25,1
1276,b5_r2_n6_E2_X3b_1,0,29073.1,3144,0.0,65.82,1,10045.1,1029,23.54,1
1300,b5_r2_n6_E2_X3c_1_3,0,29073.1,3144,0.0,65.83,1,10045.1,1029,23.54,1
1304,b5_r2_n6_E2_X3c_1_5,0,29048.7,3144,0.0,65.79,1,10045.1,1029,23.54,1
1216,b5_r2_n6_E1_X3b_1,0,28907.6,3892,0.0,65.32,1,9849.1,1209,23.08,1
1244,b5_r2_n6_E1_X3c_1_5,0,28873.8,3892,0.0,65.25,1,9845.1,1209,23.07,1
1240,b5_r2_n6_E1_X3c_1_3,0,28905.2,3892,0.0,65.33,1,9845.1,1209,23.07,1
584,b5_r1_n6_E2_X3c_1_5,0,25473.2,2633,0.0,57.53,1,8811.1,925,20.65,1
580,b5_r1_n6_E2_X3c_1_3,0,25483.7,2633,0.0,57.55,1,8811.1,925,20.65,1
556,b5_r1_n6_E2_X3b_1,0,25502.2,2633,0.0,57.58,1,8812.4,925,20.65,1
520,b5_r1_n6_E1_X3c_1_3,0,25362.3,2666,0.0,57.2,1,8780.7,932,20.58,1
496,b5_r1_n6_E1_X3b_1,0,25389.9,2666,0.0,57.26,1,8771.9,932,20.56,1
524,b5_r1_n6_E1_X3c_1_5,0,25364.7,2666,0.0,57.22,1,8770.6,932,20.55,1
1192,b5_r2_n5_E2_X3c_2_5,0,21408.2,6408,0.0,47.37,1,7605.5,2183,17.82,1
1188,b5_r2_n5_E2_X3c_2_3,0,21384.2,6405,0.0,47.19,1,7574.4,2181,17.75,1
1160,b5_r2_n5_E2_X3b_2,0,21219.9,6347,0.0,46.69,1,7573.5,2166,17.75,1
352,b5_r1_n4_E2_X3c_2_5,0,22581.1,11470,0.0,49.33,1,7533.8,4262,17.65,1
348,b5_r1_n4_E2_X3c_2_3,0,22628.3,11455,0.0,49.5,1,7280.0,4260,17.06,1
320,b5_r1_n4_E2_X3b_2,0,22228.8,11166,0.0,48.47,1,7269.6,4165,17.04,1
292,b5_r1_n4_E1_X3c_2_5,0,21550.7,11863,0.0,46.93,1,7163.4,4390,16.79,1
260,b5_r1_n4_E1_X3b_2,0,21099.3,11524,0.0,45.62,1,7015.5,4282,16.44,1
288,b5_r1_n4_E1_X3c_2_3,0,21576.9,11850,0.0,46.79,1,6987.9,4389,16.37,1
2380,b10_r1_n3_E2_X3c_1_3,0,21280.3,3697,0.0,47.44,1,6887.3,1299,16.14,1
2384,b10_r1_n3_E2_X3c_1_5,0,21318.6,3700,0.0,47.33,1,6868.1,1299,16.09,1
472,b5_r1_n5_E2_X3c_2_5,0,19713.8,5201,0.0,43.39,1,6850.8,1937,16.05,1
468,b5_r1_n5_E2_X3c_2_3,0,19773.4,5189,0.0,43.62,1,6841.6,1937,16.03,1
440,b5_r1_n5_E2_X3b_2,0,19588.5,5142,0.0,43.11,1,6828.3,1916,16.0,1
380,b5_r1_n5_E1_X3b_2,0,19317.8,5225,0.0,42.53,1,6815.8,1942,15.97,1
2356,b10_r1_n3_E2_X3b_1,0,20988.9,3661,0.0,46.66,1,6783.3,1293,15.9,1
408,b5_r1_n5_E1_X3c_2_3,0,19507.9,5275,0.0,43.01,1,6753.0,1963,15.82,1
412,b5_r1_n5_E1_X3c_2_5,0,19530.5,5288,0.0,43.09,1,6752.5,1963,15.82,1
4424,b15_r1_n2_E2_X3c_1_5,0,18426.5,3797,0.0,40.24,1,6468.0,1361,15.16,1
4396,b15_r1_n2_E2_X3b_1,0,17834.0,3658,0.0,38.67,1,6318.1,1330,14.81,1
2084,b5_r3_n8_E1_X3c_1_5,0,20688.1,3201,0.0,46.2,1,6319.8,919,14.81,1
2056,b5_r3_n8_E1_X3b_1,0,20688.1,3201,0.0,46.2,1,6317.9,919,14.8,1
2080,b5_r3_n8_E1_X3c_1_3,0,20688.1,3201,0.0,46.2,1,6317.9,919,14.8,1
4420,b15_r1_n2_E2_X3c_1_3,0,18167.5,3778,0.0,39.66,1,6304.0,1360,14.77,1
2324,b10_r1_n3_E1_X3c_1_5,0,19956.4,4448,0.0,44.09,1,6257.1,1567,14.66,1
2296,b10_r1_n3_E1_X3b_1,0,19692.4,4385,0.0,43.21,1,6223.9,1553,14.58,1
2320,b10_r1_n3_E1_X3c_1_3,0,19876.8,4446,0.0,43.95,1,6217.7,1568,14.57,1
2116,b5_r3_n8_E2_X3b_1,0,18362.9,2163,0.0,40.98,1,5610.0,575,13.15,1
2144,b5_r3_n8_E2_X3c_1_5,0,18362.9,2163,0.0,40.98,1,5610.0,575,13.15,1
2140,b5_r3_n8_E2_X3c_1_3,0,18362.9,2163,0.0,40.98,1,5610.0,575,13.15,1
1280,b5_r2_n6_E2_X3b_2,0,15829.2,3087,0.0,34.85,1,5463.7,1022,12.8,1
1312,b5_r2_n6_E2_X3c_2_5,0,15819.4,3104,0.0,34.76,1,5440.7,1022,12.75,1
1308,b5_r2_n6_E2_X3c_2_3,0,15838.9,3103,0.0,34.75,1,5427.7,1022,12.72,1
1220,b5_r2_n6_E1_X3b_2,0,14255.2,3801,0.0,30.92,1,5018.3,1196,11.76,1
560,b5_r1_n6_E2_X3b_2,0,14608.3,2571,0.0,31.98,1,4962.6,915,11.63,1
1252,b5_r2_n6_E1_X3c_2_5,0,14160.4,3823,0.0,30.8,1,4943.0,1196,11.58,1
500,b5_r1_n6_E1_X3b_2,0,14514.3,2601,0.0,31.77,1,4937.2,922,11.57,1
592,b5_r1_n6_E2_X3c_2_5,0,14473.8,2581,0.0,31.71,1,4904.5,915,11.49,1
