ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
125,b5_r1_n6_E1_X3b_2,1654.4,737,0.0,2.61,1,907.2,316
535,b5_r3_n8_E2_X3c_1_3,1645.8,1200,0.0,2.61,1,889.1,541
536,b5_r3_n8_E2_X3c_1_5,1645.8,1200,0.0,2.61,1,889.1,541
1146,b15_r1_n4_E1_X3b_3,1612.9,416,0.067,-0.2,0,-527.5,195
969,b10_r3_n4_E1_X7_8,1611.5,389,0.126,-1.8,0,-1181.3,204
529,b5_r3_n8_E2_X3b_1,1608.2,1199,0.0,2.56,1,889.1,541
1059,b10_r3_n8_E1_X7_8,1587.4,261,0.097,-0.82,0,-1386.6,128
596,b10_r1_n3_E2_X3c_1_5,1584.4,1086,0.001,1.8,1,697.7,531
1655,b20_r1_n3_E1_X3b_2,1536.7,466,0.064,-0.21,0,-1669.3,231
80,b5_r1_n4_E2_X3b_2,1534.1,1981,0.0,1.95,1,896.4,889
589,b10_r1_n3_E2_X3b_1,1502.8,1080,0.0,1.6,1,622.3,530
595,b10_r1_n3_E2_X3c_1_3,1502.8,1080,0.0,1.6,1,676.3,531
133,b5_r1_n6_E1_X3c_2_5,1500.4,740,0.0,2.4,1,944.6,316
132,b5_r1_n6_E1_X3c_2_3,1482.5,740,0.0,2.4,1,911.6,317
95,b5_r1_n5_E1_X3b_2,1480.9,1565,0.0,1.64,1,749.5,683
744,b10_r2_n2_E2_X7_8,1453.9,711,0.156,-2.27,0,-2150.2,366
1052,b10_r3_n8_E1_X1_8,1433.9,358,0.089,-0.84,0,-616.2,150
722,b10_r2_n2_E1_X1_8,1429.6,661,0.161,-2.49,0,-1998.0,307
2168,b30_r1_n2_E1_X7_5,1324.6,258,0.158,-1.91,0,14.5,130
2174,b30_r1_n2_E1_X3c_3_5,1324.5,267,0.172,-1.75,0,19.7,135
141,b5_r1_n6_E2_X3b_3,1288.6,504,0.0,1.8,1,99.9,211
626,b10_r1_n4_E2_X3c_1_5,1271.3,499,0.0,1.78,1,764.3,257
170,b5_r1_n8_E2_X3b_2,1242.5,168,0.0,2.22,1,546.1,76
177,b5_r1_n8_E2_X3c_2_3,1235.7,168,0.0,2.22,1,553.4,76
178,b5_r1_n8_E2_X3c_2_5,1227.1,168,0.0,2.2,1,546.1,76
619,b10_r1_n4_E2_X3b_1,1199.2,497,0.002,1.61,1,764.3,257
625,b10_r1_n4_E2_X3c_1_3,1199.2,497,0.002,1.61,1,764.3,257
1074,b10_r3_n8_E2_X7_8,1197.1,199,0.137,-1.0,0,-1082.8,89
1742,b20_r1_n6_E1_X1_8,1191.1,59,0.109,-0.58,0,-442.0,23
1656,b20_r1_n3_E1_X3b_3,1181.2,374,0.185,-2.03,0,-1056.0,176
1663,b20_r1_n3_E1_X3c_2_5,1114.9,484,0.129,-1.16,0,-1675.6,235
155,b5_r1_n8_E1_X3b_2,1114.2,196,0.0,1.91,1,514.8,92
162,b5_r1_n8_E1_X3c_2_3,1113.5,196,0.0,1.93,1,532.2,92
2483,b30_r2_n6_E2_X7_5,1078.1,31,0.174,-1.43,0,260.5,13
