ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
1129,b15_r1_n3_E2_X3b_1,1101.0,494,0.011,0.67,1,285.3,165
177,b5_r1_n8_E2_X3c_2_3,1091.4,132,0.0,1.82,1,388.5,46
178,b5_r1_n8_E2_X3c_2_5,1080.1,132,0.0,1.81,1,379.0,46
170,b5_r1_n8_E2_X3b_2,1080.1,132,0.0,1.81,1,376.0,46
1166,b15_r1_n4_E2_X3c_1_5,1073.4,243,0.001,1.09,1,335.3,82
1676,b20_r1_n3_E2_X3c_1_5,1064.2,265,0.017,0.58,1,12.4,100
163,b5_r1_n8_E1_X3c_2_5,1041.9,174,0.0,1.63,1,392.6,68
162,b5_r1_n8_E1_X3c_2_3,1034.3,174,0.0,1.63,1,386.4,68
1151,b15_r1_n4_E1_X3c_1_5,1030.4,505,0.032,0.47,1,465.4,162
1748,b20_r1_n6_E1_X7_5,1030.3,61,0.042,0.45,1,-131.4,12
1669,b20_r1_n3_E2_X3b_1,1022.9,263,0.014,0.55,1,12.4,100
1675,b20_r1_n3_E2_X3c_1_3,1022.9,263,0.014,0.55,1,12.4,100
1159,b15_r1_n4_E2_X3b_1,1022.1,241,0.002,1.0,1,335.3,82
1165,b15_r1_n4_E2_X3c_1_3,1022.1,241,0.002,1.0,1,335.3,82
2612,b30_r3_n5_E1_X1_8,1013.8,48,0.236,-2.69,0,-380.4,15
155,b5_r1_n8_E1_X3b_2,1004.4,172,0.0,1.59,1,389.7,68
1921,b20_r2_n6_E1_X1_5,1002.0,148,0.164,-1.4,0,562.6,48
627,b10_r1_n4_E2_X3c_2_3,987.9,455,0.02,0.42,1,-563.6,162
1144,b15_r1_n4_E1_X3b_1,979.1,503,0.031,0.34,1,457.1,162
1150,b15_r1_n4_E1_X3c_1_3,979.1,503,0.031,0.34,1,465.4,162
1657,b20_r1_n3_E1_X7_3,938.4,371,0.208,-2.02,0,-995.3,135
1131,b15_r1_n3_E2_X3b_3,920.1,342,0.149,-1.29,0,-605.8,118
1167,b15_r1_n4_E2_X3c_2_3,908.1,215,0.042,0.19,1,-177.8,75
2660,b30_r3_n6_E2_X3b_2,889.7,51,0.056,-0.17,0,-420.8,17
2667,b30_r3_n6_E2_X3c_2_3,889.7,51,0.056,-0.17,0,-420.8,17
2668,b30_r3_n6_E2_X3c_2_5,889.7,51,0.056,-0.17,0,-420.8,17
1193,b15_r1_n5_E2_X7_5,870.3,95,0.054,0.17,0,91.2,29
171,b5_r1_n8_E2_X3b_3,866.4,130,0.0,1.22,1,313.3,44
2669,b30_r3_n6_E2_X3c_3_5,865.8,51,0.133,-0.98,0,-424.2,17
2661,b30_r3_n6_E2_X3b_3,865.8,51,0.133,-0.98,0,-424.2,17
2588,b30_r3_n4_E1_X7_5,865.2,36,0.22,-1.94,0,-26.1,12
1176,b15_r1_n5_E1_X3b_3,864.0,197,0.141,-0.96,0,670.7,54
1121,b15_r1_n3_E1_X3c_1_5,845.8,1044,0.117,-0.62,0,2.5,371
2658,b30_r3_n6_E2_X2,833.7,51,0.143,-1.07,0,-423.9,17
1754,b20_r1_n6_E1_X3c_3_5,820.7,61,0.073,-0.02,0,-104.6,12
1156,b15_r1_n4_E2_X1_5,817.8,192,0.168,-1.19,0,-612.2,62
1036,b10_r3_n6_E2_X1_5,802.6,418,0.159,-1.29,0,35.2,141
156,b5_r1_n8_E1_X3b_3,780.6,170,0.0,0.92,1,319.5,66
1501,b15_r3_n4_E1_X1_5,780.5,327,0.226,-2.39,0,106.8,109
961,b10_r3_n4_E1_X1_5,767.1,721,0.232,-2.05,0,693.9,240
1198,b15_r1_n5_E2_X3c_2_5,759.1,97,0.019,0.35,1,324.4,29
2587,b30_r3_n4_E1_X7_3,758.4,41,0.25,-1.97,0,-18.8,13
1114,b15_r1_n3_E1_X3b_1,757.7,1039,0.14,-1.02,0,-5.8,371
1120,b15_r1_n3_E1_X3c_1_3,754.9,1040,0.148,-0.89,0,2.5,371
1604,b15_r3_n8_E1_X3c_3_5,750.2,166,0.153,-1.08,0,477.1,55
1596,b15_r3_n8_E1_X3b_3,750.2,166,0.153,-1.08,0,477.1,55
179,b5_r1_n8_E2_X3c_3_5,744.7,130,0.0,1.06,1,342.0,44
2655,b30_r3_n6_E2_X1_3,743.3,49,0.092,-0.37,0,-320.0,15
1745,b20_r1_n6_E1_X3b_2,742.9,61,0.072,0.04,0,-24.1,13
1531,b15_r3_n5_E1_X1_5,741.6,297,0.223,-2.2,0,-185.8,102
1199,b15_r1_n5_E2_X3c_3_5,725.9,95,0.066,-0.0,0,158.1,29
1125,b15_r1_n3_E2_X1_3,723.2,404,0.156,-1.1,0,-323.6,132
1190,b15_r1_n5_E2_X3b_2,721.3,96,0.023,0.23,1,347.9,29
1753,b20_r1_n6_E1_X3c_2_5,716.7,61,0.086,-0.04,0,-44.9,13
1177,b15_r1_n5_E1_X7_3,695.9,208,0.167,-1.06,0,605.0,59
1944,b20_r2_n6_E2_X7_8,693.2,64,0.242,-1.96,0,-185.2,26
796,b10_r2_n4_E2_X1_5,679.2,612,0.238,-2.2,0,-15.6,199
2480,b30_r2_n6_E2_X3b_2,676.8,40,0.128,-0.5,0,-154.7,10
2487,b30_r2_n6_E2_X3c_2_3,676.8,40,0.128,-0.5,0,-154.7,10
2488,b30_r2_n6_E2_X3c_2_5,676.8,40,0.128,-0.5,0,-154.7,10
1155,b15_r1_n4_E2_X1_3,674.5,229,0.13,-0.52,0,-174.6,77
2226,b30_r1_n4_E1_X3b_3,672.2,88,0.269,-2.41,0,481.6,30
1197,b15_r1_n5_E2_X3c_2_3,659.9,96,0.031,0.21,1,357.8,29
2478,b30_r2_n6_E2_X2,647.4,40,0.136,-0.56,0,-147.8,10
1067,b10_r3_n8_E2_X1_8,606.6,229,0.257,-1.95,0,241.4,75
1196,b15_r1_n5_E2_X3c_1_5,597.9,107,0.008,0.48,1,515.0,33
1749,b20_r1_n6_E1_X7_8,590.5,61,0.18,-0.75,0,-162.0,12
1591,b15_r3_n8_E1_X1_5,580.9,166,0.231,-1.74,0,92.2,55
766,b10_r2_n3_E2_X1_5,574.3,689,0.28,-2.7,0,131.4,235
789,b10_r2_n4_E1_X7_8,573.5,625,0.325,-3.36,0,-134.9,218
658,b10_r1_n5_E2_X3c_2_5,559.8,224,0.064,0.0,0,-224.5,80
1189,b15_r1_n5_E2_X3b_1,548.3,106,0.013,0.41,1,515.0,33
1195,b15_r1_n5_E2_X3c_1_3,548.3,106,0.013,0.41,1,515.0,33
1934,b20_r2_n6_E1_X3c_3_5,541.7,125,0.25,-1.62,0,657.2,37
1926,b20_r2_n6_E1_X3b_3,541.7,125,0.25,-1.62,0,657.2,37
650,b10_r1_n5_E2_X3b_2,536.4,222,0.075,-0.17,0,-163.6,80
1752,b20_r1_n6_E1_X3c_2_3,529.1,61,0.123,-0.28,0,-26.2,13
1006,b10_r3_n5_E2_X1_5,528.3,488,0.279,-2.13,0,-363.1,164
838,b10_r2_n5_E2_X3c_2_5,526.0,597,0.193,-1.05,0,-136.1,217
867,b10_r2_n6_E2_X3c_2_3,516.2,393,0.134,-0.71,0,36.6,145
860,b10_r2_n6_E2_X3b_2,516.2,393,0.134,-0.71,0,36.6,145
1948,b20_r2_n6_E2_X3c_2_5,514.4,96,0.146,-0.6,0,490.2,35
