ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
1127,b15_r1_n3_E2_X1_8,368.4,96,30.0,20,1.1,85.0,282.3
112,b5_r1_n5_E2_X7_3,364.4,301,0.9,104,63.3,285.1,16.0
2235,b30_r1_n4_E2_X1_3,336.1,31,50.6,4,41.5,89.9,204.7
1190,b15_r1_n5_E2_X3b_2,294.7,44,-143.8,14,77.8,132.9,84.0
119,b5_r1_n5_E2_X3c_3_5,288.8,331,10.9,113,89.4,140.4,59.0
872,b10_r2_n8_E1_X1_8,276.1,105,-36.7,27,85.7,171.0,19.4
2175,b30_r1_n2_E2_X1_3,267.0,76,-153.0,17,19.5,50.2,197.3
1197,b15_r1_n5_E2_X3c_2_3,251.5,44,-143.8,14,17.2,150.3,84.0
1198,b15_r1_n5_E2_X3c_2_5,244.0,44,-143.8,14,14.9,145.1,84.0
170,b5_r1_n8_E2_X3b_2,222.1,41,80.8,13,36.9,169.5,15.7
178,b5_r1_n8_E2_X3c_2_5,221.1,41,89.8,13,36.9,168.5,15.7
177,b5_r1_n8_E2_X3c_2_3,216.5,41,87.3,13,44.8,170.4,1.3
664,b10_r1_n6_E1_X3b_1,63.8,105,-6.3,33,30.9,4.2,28.7
670,b10_r1_n6_E1_X3c_1_3,63.8,105,-6.3,33,30.9,4.2,28.7
671,b10_r1_n6_E1_X3c_1_5,63.8,105,-6.3,33,30.9,4.2,28.7
