ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
2361,b30_r2_n2_E2_X3b_3,1757.4,193,0.162,-2.12,0,-314.8,75
2571,b30_r3_n3_E2_X3b_3,1753.6,237,0.181,-2.32,0,-1290.8,75
2000,b20_r3_n2_E2_X3b_2,1740.7,494,0.06,0.08,0,-973.3,175
2008,b20_r3_n2_E2_X3c_2_5,1740.7,494,0.06,0.08,0,-973.3,175
2007,b20_r3_n2_E2_X3c_2_3,1740.7,494,0.06,0.08,0,-973.3,175
1267,b15_r2_n2_E1_X7_3,1715.3,623,0.185,-3.13,0,-638.7,273
1372,b15_r2_n5_E2_X7_3,1712.6,295,0.098,-1.59,0,55.7,123
2549,b30_r3_n2_E2_X3c_3_5,1689.1,238,0.176,-2.86,0,-1290.8,75
2151,b20_r3_n8_E2_X3b_3,1684.6,120,0.061,0.31,0,-440.2,42
2159,b20_r3_n8_E2_X3c_3_5,1684.6,120,0.061,0.31,0,-440.2,42
2373,b30_r2_n3_E1_X2,1677.4,400,0.16,-2.48,0,-2078.3,146
2609,b30_r3_n4_E2_X3c_3_5,1675.3,181,0.157,-1.9,0,-861.9,60
2541,b30_r3_n2_E2_X3b_3,1657.4,238,0.179,-2.91,0,-1290.8,75
2390,b30_r2_n3_E2_X3b_2,1647.0,265,0.125,-1.17,0,-964.9,85
2398,b30_r2_n3_E2_X3c_2_5,1647.0,265,0.125,-1.17,0,-964.9,85
2397,b30_r2_n3_E2_X3c_2_3,1647.0,265,0.125,-1.17,0,-964.9,85
2601,b30_r3_n4_E2_X3b_3,1643.6,181,0.161,-1.98,0,-861.9,60
1552,b15_r3_n5_E2_X7_3,1621.3,222,0.236,-3.0,0,1623.5,83
2611,b30_r3_n5_E1_X1_5,1566.6,129,0.135,-1.35,0,554.9,48
2114,b20_r3_n6_E1_X3c_3_5,1536.8,310,0.141,-1.86,0,-1223.2,98
2106,b20_r3_n6_E1_X3b_3,1536.8,310,0.141,-1.86,0,-1223.2,98
163,b5_r1_n8_E1_X3c_2_5,1529.6,222,0.0,2.62,1,529.3,73
1662,b20_r1_n3_E1_X3c_2_3,1519.0,733,0.125,-1.61,0,-468.9,269
177,b5_r1_n8_E2_X3c_2_3,1513.7,187,0.0,2.66,1,596.7,63
178,b5_r1_n8_E2_X3c_2_5,1510.3,187,0.0,2.62,1,596.7,63
155,b5_r1_n8_E1_X3b_2,1507.9,222,0.0,2.58,1,522.8,73
1492,b15_r3_n3_E2_X7_3,1498.9,272,0.239,-3.92,0,2247.3,100
170,b5_r1_n8_E2_X3b_2,1498.7,187,0.0,2.6,1,594.3,63
2367,b30_r2_n2_E2_X3c_2_3,1481.9,407,0.186,-2.69,0,-1103.1,138
2368,b30_r2_n2_E2_X3c_2_5,1481.9,407,0.186,-2.69,0,-1103.1,138
2360,b30_r2_n2_E2_X3b_2,1481.9,407,0.186,-2.69,0,-1103.1,138
162,b5_r1_n8_E1_X3c_2_3,1471.6,222,0.0,2.52,1,539.7,73
2446,b30_r2_n5_E2_X1_5,1463.6,104,0.134,-1.09,0,464.6,31
1843,b20_r2_n3_E1_X3c_2_5,1460.5,911,0.188,-2.43,0,1739.8,314
1842,b20_r2_n3_E1_X3c_2_3,1460.5,911,0.188,-2.43,0,1739.8,314
2133,b20_r3_n8_E1_X2,1445.7,169,0.105,-1.07,0,-944.3,62
1835,b20_r2_n3_E1_X3b_2,1425.9,911,0.19,-2.52,0,1739.8,314
1462,b15_r3_n2_E2_X7_3,1376.0,273,0.252,-3.99,0,2247.3,100
2362,b30_r2_n2_E2_X7_3,1371.6,137,0.229,-3.39,0,-487.0,63
2386,b30_r2_n3_E2_X1_5,1362.7,139,0.173,-2.44,0,575.1,53
1314,b15_r2_n3_E2_X7_8,1341.6,405,0.217,-3.33,0,-702.8,177
2090,b20_r3_n5_E2_X3b_2,1341.4,276,0.037,0.08,1,-797.1,99
2098,b20_r3_n5_E2_X3c_2_5,1341.4,276,0.037,0.08,1,-797.1,99
2097,b20_r3_n5_E2_X3c_2_3,1341.4,276,0.037,0.08,1,-797.1,99
2433,b30_r2_n5_E1_X2,1324.8,186,0.144,-1.52,0,-970.0,62
2656,b30_r3_n6_E2_X1_5,1313.7,82,0.121,-0.92,0,172.3,29
2127,b20_r3_n6_E2_X3c_2_3,1308.5,219,0.049,0.29,1,-513.6,70
2120,b20_r3_n6_E2_X3b_2,1308.5,219,0.049,0.29,1,-513.6,70
2128,b20_r3_n6_E2_X3c_2_5,1308.5,219,0.049,0.29,1,-513.6,70
2068,b20_r3_n4_E2_X3c_2_5,1284.8,354,0.091,-0.7,0,-829.7,132
2060,b20_r3_n4_E2_X3b_2,1284.8,354,0.091,-0.7,0,-829.7,132
2067,b20_r3_n4_E2_X3c_2_3,1284.8,354,0.091,-0.7,0,-829.7,132
1858,b20_r2_n3_E2_X3c_2_5,1227.5,606,0.161,-2.17,0,1485.9,212
1850,b20_r2_n3_E2_X3b_2,1227.5,606,0.161,-2.17,0,1485.9,212
1857,b20_r2_n3_E2_X3c_2_3,1227.5,606,0.161,-2.17,0,1485.9,212
2086,b20_r3_n5_E2_X1_5,1182.5,203,0.165,-1.71,0,-1221.4,73
2555,b30_r3_n3_E1_X3b_2,1181.1,305,0.2,-2.51,0,-1059.2,108
2563,b30_r3_n3_E1_X3c_2_5,1181.1,305,0.2,-2.51,0,-1059.2,108
2562,b30_r3_n3_E1_X3c_2_3,1181.1,305,0.2,-2.51,0,-1059.2,108
