ppd,nc,is_wf,oos_wf,p5,p_pos,passed,win_pct,avg_pnl,pair,strategy,fast,slow,atr_sl,atr_trail,N
-1.7073291154229977,49,2,0,,,False,34.69387755102041,-14.773623366109206,GBP_JPY,sma_cross,10,100,2.0,1.0,0
-1.705818645942252,48,2,1,,,False,37.5,-15.068064705823225,GBP_JPY,sma_cross,10,100,2.0,2.0,0
-2.0374783501927487,48,3,0,,,False,33.33333333333333,-17.997725426702615,GBP_JPY,sma_cross,10,100,2.0,3.0,0
-2.0130475423119654,49,2,0,,,False,34.69387755102041,-17.41902363143415,GBP_JPY,sma_cross,10,100,3.0,1.0,0
-2.0196303632184174,48,2,1,,,False,37.5,-17.840068208429354,GBP_JPY,sma_cross,10,100,3.0,2.0,0
-2.925220829101397,48,3,0,,,False,33.33333333333333,-25.83945065706234,GBP_JPY,sma_cross,10,100,3.0,3.0,0
-1.952537278347717,63,0,0,,,False,31.746031746031743,-13.140885809832255,GBP_JPY,sma_cross,20,50,1.0,1.0,0
-3.047011251498808,62,1,0,,,False,27.419354838709676,-20.83762533283056,GBP_JPY,sma_cross,20,50,1.0,2.0,0
-1.7044695843700828,62,2,1,,,False,29.03225806451613,-11.656372641498631,GBP_JPY,sma_cross,20,50,1.0,3.0,0
-2.4247698569119924,63,0,0,,,False,31.746031746031743,-16.319086021121983,GBP_JPY,sma_cross,20,50,2.0,1.0,0
-3.4579544991247637,62,1,0,,,False,35.483870967741936,-23.64794689724032,GBP_JPY,sma_cross,20,50,2.0,2.0,0
-4.267754380069987,62,3,0,,,False,32.25806451612903,-29.185933179833462,GBP_JPY,sma_cross,20,50,2.0,3.0,0
-2.852741364701887,63,0,0,,,False,31.746031746031743,-19.199402200533335,GBP_JPY,sma_cross,20,50,3.0,1.0,0
-3.8894675370981857,62,1,0,,,False,35.483870967741936,-26.598939285961787,GBP_JPY,sma_cross,20,50,3.0,2.0,0
-4.932029271815333,62,3,0,,,False,32.25806451612903,-33.72871631047905,GBP_JPY,sma_cross,20,50,3.0,3.0,0
-0.46328973204549073,32,2,1,,,False,43.75,-6.138588949602752,GBP_JPY,sma_cross,20,100,1.0,1.0,0
-1.2273028110144237,32,2,1,,,False,31.25,-16.261762245941114,GBP_JPY,sma_cross,20,100,1.0,2.0,0
-0.6825438864031537,32,2,1,,,False,28.125,-9.043706494841786,GBP_JPY,sma_cross,20,100,1.0,3.0,0
-0.4559523132808339,32,2,1,,,False,43.75,-6.041368150971049,GBP_JPY,sma_cross,20,100,2.0,1.0,0
-1.5047508788265538,32,1,1,,,False,34.375,-19.93794914445184,GBP_JPY,sma_cross,20,100,2.0,2.0,0
-2.0103754353688457,32,2,1,,,False,34.375,-26.637474518637205,GBP_JPY,sma_cross,20,100,2.0,3.0,0
-0.2574413468707751,32,2,1,,,False,43.75,-3.4110978460377694,GBP_JPY,sma_cross,20,100,3.0,1.0,0
-1.4493981467468238,32,1,1,,,False,34.375,-19.204525444395415,GBP_JPY,sma_cross,20,100,3.0,2.0,0
-2.6270809091686367,32,2,1,,,False,34.375,-34.80882204648444,GBP_JPY,sma_cross,20,100,3.0,3.0,0
26.1759267223438,268,3,3,22.1628389134749,1.0,True,74.25373134328358,41.4126601875887,GBP_JPY,donchian,0,0,1.0,1.0,10
13.851211094973966,169,3,3,9.153911961769605,1.0,True,52.662721893491124,34.75096748088143,GBP_JPY,donchian,0,0,1.0,2.0,10
14.648341889642264,130,3,3,8.670786734777703,1.0,True,49.23076923076923,47.77613047083323,GBP_JPY,donchian,0,0,1.0,3.0,10
26.178739302038142,267,3,3,22.313125098292513,1.0,True,74.53183520599251,41.57223020248754,GBP_JPY,donchian,0,0,2.0,1.0,10
13.659424765763884,165,3,3,8.905097732126524,1.0,True,54.54545454545454,35.10058242838719,GBP_JPY,donchian,0,0,2.0,2.0,10
13.49651037462191,120,3,3,6.843354509732772,1.0,True,53.333333333333336,47.68766999033075,GBP_JPY,donchian,0,0,2.0,3.0,10
26.178739302038142,267,3,3,22.239339352748694,1.0,True,74.53183520599251,41.57223020248754,GBP_JPY,donchian,0,0,3.0,1.0,10
13.659424765763884,165,3,3,8.572540781942264,1.0,True,54.54545454545454,35.10058242838719,GBP_JPY,donchian,0,0,3.0,2.0,10
14.084887789595037,118,3,3,7.525874323137204,0.9995,True,54.23728813559322,50.610105277866914,GBP_JPY,donchian,0,0,3.0,3.0,10
16.885758526032472,188,3,3,13.885986887266174,1.0,True,72.87234042553192,38.08277454807323,GBP_JPY,donchian,0,0,1.0,1.0,20
9.286810833161189,118,3,3,5.591629620741517,1.0,True,54.23728813559322,33.36955757000292,GBP_JPY,donchian,0,0,1.0,2.0,20
7.049585513851242,94,3,3,2.5037512915579607,0.9965,True,44.680851063829785,31.798130402903475,GBP_JPY,donchian,0,0,1.0,3.0,20
16.779236391426576,187,3,3,13.645731314702676,1.0,True,73.2620320855615,38.044899625480575,GBP_JPY,donchian,0,0,2.0,1.0,20
8.81872939495658,116,3,3,4.963991626790811,1.0,True,54.310344827586206,32.233976409151644,GBP_JPY,donchian,0,0,2.0,2.0,20
6.2932716128654675,86,3,3,1.359433688870217,0.9815,True,48.837209302325576,31.02729260296463,GBP_JPY,donchian,0,0,2.0,3.0,20
16.668250733730094,187,3,3,13.568003081024804,1.0,True,73.2620320855615,37.793253000543096,GBP_JPY,donchian,0,0,3.0,1.0,20
8.81872939495658,116,3,3,4.904477214174176,1.0,True,54.310344827586206,32.233976409151644,GBP_JPY,donchian,0,0,3.0,2.0,20
6.439737223009145,85,3,3,1.6675977440477054,0.985,True,49.411764705882355,32.12292450065738,GBP_JPY,donchian,0,0,3.0,3.0,20
12.040923833249806,104,3,3,9.482933342755059,1.0,True,81.73076923076923,49.08992024324921,GBP_JPY,donchian,0,0,1.0,1.0,50
6.64730694940797,67,3,3,3.981349063304568,1.0,True,58.2089552238806,42.06653950073104,GBP_JPY,donchian,0,0,1.0,2.0,50
5.432992816629886,52,3,3,1.977487401953759,0.9965,True,50.0,44.29978758175138,GBP_JPY,donchian,0,0,1.0,3.0,50
12.040923833249806,104,3,3,9.624481052121611,1.0,True,81.73076923076923,49.08992024324921,GBP_JPY,donchian,0,0,2.0,1.0,50
6.64398335992364,66,3,3,3.8278506905637926,1.0,True,59.09090909090909,42.68255976678217,GBP_JPY,donchian,0,0,2.0,2.0,50
4.988077726181625,49,3,3,1.1501568033894196,0.9875,True,55.10204081632652,43.16214195716345,GBP_JPY,donchian,0,0,2.0,3.0,50
12.040923833249806,104,3,3,9.508591181052669,1.0,True,81.73076923076923,49.08992024324921,GBP_JPY,donchian,0,0,3.0,1.0,50
