pair,tp,sl,max_hold,is_pd_amddp5,oos_pd_amddp5,oos_pd_raw,is_trd,oos_trd,oos_wr,oos_max_dd,mc_p,wf_pass,wf_pos_chunks,sp_gate,is_chunk_amddp,is_chunk_pnl,is_chunk_trd
EUR_USD,15.0,50.0,288,-120.888,-129.904,-6.571,2169,947,0.7054,106.9,1.0,False,0,1.7,"[-41987.5, -39422.6, -39581.2]","[-853.0, -1813.4, -809.9]","[618, 957, 594]"
EUR_USD,20.0,0.0,12,-25.208,-28.729,-16.784,6305,2706,0.3555,102.4,1.0,False,0,1.7,"[-7714.2, -9037.2, -8477.9]","[-4453.7, -4474.2, -5177.9]","[2100, 2056, 2149]"
EUR_USD,20.0,0.0,60,-69.569,-73.968,-9.934,3400,1464,0.4761,148.2,1.0,False,0,1.7,"[-18931.0, -29595.0, -21102.5]","[-2229.9, -3326.7, -3468.9]","[1112, 1173, 1115]"
EUR_USD,20.0,0.0,288,-221.609,-265.502,-5.842,1496,618,0.6456,298.2,1.0,False,0,1.7,"[-59170.2, -100292.9, -62336.1]","[-152.9, -74.3, -1067.9]","[468, 582, 446]"
EUR_USD,20.0,10.0,12,-20.998,-25.623,-19.254,6622,2862,0.3281,52.2,1.0,False,0,1.7,"[-6779.4, -6987.6, -7248.6]","[-4806.5, -5104.1, -5164.2]","[2190, 2211, 2221]"
EUR_USD,20.0,10.0,60,-21.936,-24.442,-13.817,4824,2143,0.3276,52.2,1.0,False,0,1.7,"[-7172.5, -6933.7, -7848.7]","[-3674.5, -4046.0, -3764.1]","[1521, 1810, 1493]"
EUR_USD,20.0,10.0,288,-20.712,-23.577,-12.597,4176,1934,0.2968,71.8,1.0,False,0,1.7,"[-6682.5, -6296.1, -7751.1]","[-2897.6, -3279.0, -3375.7]","[1271, 1730, 1175]"
EUR_USD,20.0,20.0,12,-23.378,-27.814,-17.752,6381,2732,0.3521,52.2,1.0,False,0,1.7,"[-7372.1, -7985.7, -8040.4]","[-4470.9, -4586.3, -5134.1]","[2118, 2104, 2159]"
EUR_USD,20.0,20.0,60,-35.888,-37.404,-10.921,3959,1713,0.4402,83.5,1.0,False,0,1.7,"[-11357.2, -11732.8, -12828.4]","[-2576.2, -3865.0, -3725.2]","[1239, 1481, 1239]"
EUR_USD,20.0,20.0,288,-40.882,-42.516,-8.089,2928,1325,0.4732,83.5,1.0,False,0,1.7,"[-13646.9, -12232.4, -15038.2]","[-1380.9, -2722.0, -2318.0]","[845, 1298, 785]"
EUR_USD,20.0,50.0,12,-24.874,-28.345,-16.646,6309,2708,0.3556,73.9,1.0,False,0,1.7,"[-7690.2, -8819.6, -8385.9]","[-4441.7, -4413.9, -5144.0]","[2100, 2060, 2149]"
EUR_USD,20.0,50.0,60,-59.851,-62.861,-10.416,3473,1498,0.4793,83.5,1.0,False,0,1.7,"[-17712.8, -23388.4, -18801.3]","[-2394.5, -3289.0, -3245.7]","[1119, 1221, 1133]"
EUR_USD,20.0,50.0,288,-113.92,-127.504,-6.018,1865,820,0.6463,106.9,1.0,False,0,1.7,"[-37186.5, -38229.5, -38601.2]","[-413.8, -981.4, -1167.5]","[540, 814, 511]"
EUR_USD,30.0,0.0,12,-24.98,-28.316,-16.449,6263,2694,0.3515,134.1,1.0,False,0,1.7,"[-7516.3, -8948.4, -8536.6]","[-4308.5, -4459.6, -5266.4]","[2091, 2032, 2140]"
EUR_USD,30.0,0.0,60,-66.847,-71.912,-9.659,3196,1380,0.4399,140.1,1.0,False,0,1.7,"[-17473.1, -29227.3, -20203.6]","[-1831.0, -3462.9, -3183.8]","[1059, 1076, 1061]"
EUR_USD,30.0,0.0,288,-212.233,-229.677,-3.894,1186,528,0.5682,298.2,1.0,False,0,1.7,"[-56736.1, -95366.0, -60312.4]","[-921.6, -979.2, -1811.3]","[375, 450, 361]"
EUR_USD,30.0,10.0,12,-20.902,-25.419,-19.065,6573,2848,0.3251,52.2,1.0,False,0,1.7,"[-6671.2, -6870.4, -7378.5]","[-4707.7, -5001.1, -5305.4]","[2178, 2184, 2211]"
EUR_USD,30.0,10.0,60,-20.525,-24.17,-13.764,4520,2010,0.296,52.2,1.0,False,0,1.7,"[-6723.8, -6724.7, -7094.1]","[-3391.1, -3929.0, -3110.5]","[1428, 1679, 1413]"
EUR_USD,30.0,10.0,288,-18.195,-21.425,-11.033,3560,1668,0.2248,51.7,1.0,False,0,1.7,"[-6094.2, -5842.8, -6274.1]","[-2607.3, -3039.4, -2281.9]","[1064, 1491, 1005]"
EUR_USD,30.0,20.0,12,-23.317,-27.528,-17.488,6334,2720,0.3482,52.2,1.0,False,0,1.7,"[-7303.4, -7853.7, -8180.0]","[-4419.7, -4505.7, -5291.7]","[2108, 2076, 2150]"
EUR_USD,30.0,20.0,60,-34.484,-36.782,-10.957,3698,1611,0.3985,83.5,1.0,False,0,1.7,"[-10940.5, -11532.1, -12040.6]","[-2464.0, -3968.7, -3214.2]","[1164, 1358, 1176]"
EUR_USD,30.0,20.0,288,-37.425,-37.631,-5.777,2369,1075,0.3898,88.9,1.0,False,0,1.7,"[-12241.6, -11034.9, -14180.3]","[-1098.6, -2564.9, -1957.9]","[664, 1057, 648]"
EUR_USD,30.0,50.0,12,-24.711,-28.086,-16.426,6266,2696,0.3516,73.9,1.0,False,0,1.7,"[-7492.3, -8795.3, -8444.6]","[-4296.5, -4450.2, -5232.5]","[2091, 2035, 2140]"
EUR_USD,30.0,50.0,60,-57.222,-60.603,-9.742,3256,1404,0.4423,83.5,1.0,False,0,1.7,"[-16678.3, -22370.3, -18222.5]","[-2083.3, -2988.7, -3076.3]","[1063, 1119, 1074]"
EUR_USD,30.0,50.0,288,-106.95,-116.811,-4.312,1480,666,0.5556,106.9,1.0,False,0,1.7,"[-32884.7, -37384.8, -36771.8]","[-40.1, -1422.0, -1665.2]","[430, 634, 416]"
GBP_USD,10.0,0.0,12,-36.411,-39.187,-23.829,6796,2975,0.4121,98.8,1.0,False,0,2.4,"[-12125.5, -12467.3, -11834.8]","[-6979.9, -6435.4, -7206.8]","[2249, 2240, 2307]"
GBP_USD,10.0,0.0,60,-96.878,-94.977,-13.807,4510,1929,0.6444,150.9,1.0,False,0,2.4,"[-30281.8, -37401.7, -29239.4]","[-4019.1, -4737.0, -4645.0]","[1488, 1576, 1446]"
GBP_USD,10.0,0.0,288,-305.417,-298.273,-6.425,2618,1078,0.8247,234.5,1.0,False,0,2.4,"[-95835.6, -123434.2, -86286.9]","[-1463.8, -1317.8, -1418.4]","[843, 986, 789]"
GBP_USD,10.0,10.0,12,-28.542,-31.811,-25.324,7321,3229,0.3707,98.8,1.0,False,0,2.4,"[-9786.5, -9611.0, -9157.2]","[-7673.6, -7814.5, -7024.8]","[2435, 2437, 2449]"
GBP_USD,10.0,10.0,60,-29.603,-31.335,-21.745,6582,2909,0.4325,98.8,1.0,False,0,2.4,"[-10500.1, -9437.1, -9679.1]","[-7380.5, -7020.8, -6047.5]","[2199, 2307, 2076]"
GBP_USD,10.0,10.0,288,-29.627,-31.029,-21.124,6471,2873,0.441,98.8,1.0,False,0,2.4,"[-10503.0, -9463.9, -9673.6]","[-7256.8, -7003.9, -5805.8]","[2172, 2290, 2009]"
GBP_USD,10.0,20.0,12,-32.741,-36.153,-24.448,6977,3039,0.4093,98.8,1.0,False,0,2.4,"[-10911.4, -10843.1, -11001.6]","[-7138.9, -7177.1, -7419.9]","[2303, 2331, 2343]"
GBP_USD,10.0,20.0,60,-43.474,-45.72,-18.098,5644,2400,0.5725,98.8,1.0,False,0,2.4,"[-15152.9, -13363.1, -14978.0]","[-6184.2, -6235.8, -5456.3]","[1854, 2048, 1742]"
GBP_USD,10.0,20.0,288,-46.486,-49.85,-17.6,5306,2265,0.611,98.8,1.0,False,0,2.4,"[-16406.6, -14042.6, -16058.0]","[-5674.0, -6154.3, -4418.1]","[1751, 1996, 1559]"
GBP_USD,10.0,50.0,12,-35.968,-39.299,-24.232,6805,2976,0.4113,98.8,1.0,False,0,2.4,"[-11947.7, -12311.5, -11725.1]","[-6933.1, -6587.2, -7229.3]","[2251, 2245, 2309]"
