pair,n_live,live_mean,n_harness,harness_mean
USD_JPY,9,15.38888888888889,7,11.433951953032258
NZD_USD,15,10.506666666666668,14,10.016941354207352
GBP_USD,17,5.129411764705883,24,-1.4455151689495764
CAD_JPY,20,5.79,0,
AUD_USD,21,6.076190476190476,16,9.161970737157727
GBP_JPY,30,11.603333333333333,50,3.487965128766247
