arm,n,wr,net,gross,realized_pnl,worst_open_excursion,n_open_at_end,open_book_unrealized,pct_time_blocked
A,849,0.6372202591283863,3.7091982966612598,6.8292108362779675,3149.1093538654095,-7100.299999999998,6,-12420.099999999999,0.0
E,20290,0.6528339083292262,-2.4711361435116888,0.027181145223064595,-50139.35235185217,-367.1999999999997,4,-32.50000000000114,0.0
coin_A,704,0.5923295454545454,2.5447210185127545,5.081107954545353,1791.483597032979,-6550.800000000001,6,-13095.5,0.0
coin_E,19967,0.6499223719136575,-2.808796539036379,-0.20177075562295546,-56083.24049493938,-334.6000000000004,3,-10.600000000000612,0.0
B,431,0.6334106728538283,4.132734263530398,7.1000000000000005,1781.2084675816013,-7090.199999999999,6,-12358.899999999998,0.391812865497076
C,801,0.602996254681648,2.79326907565874,5.322596754057403,2237.408529602651,-7100.299999999998,6,-11138.399999999998,0.5623159553730662
D,11666,0.6454654551688668,-2.8450656722080314,-0.39162256261832035,-33190.53613197889,-334.6000000000004,1,-51.90000000000055,0.6130811662726556
coin_D,9468,0.6427967891846219,-2.586255404432863,-0.09023854628327287,-24486.66616917035,-270.5999999999989,2,-77.49999999999812,0.6165235784496703
coin_overlay,445,0.6112359550561798,2.166787928618482,4.8649438202246875,964.2206282352245,-6902.699999999999,6,-13637.899999999998,0.5541039359628386
