pair,arm,direction,entry_ts,entry_px,exit_ts,exit_px,exit_reason,held_bars,gross_pips,spread_rt_pips,carry_pips,net_pips,mfe_pips,mae_pips,entry_W_pips
AUD_USD,A,-1,2026-06-19 00:00:00+00:00,0.70139,2026-06-19 04:00:00+00:00,0.69939,tp,48,20.000000000000018,1.2499999999998623,0.0,18.750000000000156,15.799999999999148,0.0,20.424338514773773
GBP_JPY,A,-1,2026-06-19 02:00:00+00:00,212.698,2026-06-19 04:55:00+00:00,212.49800000000002,tp,35,19.999999999998863,3.300000000000125,0.0,16.699999999998738,15.800000000001546,-11.599999999998545,46.767423691445146
AUD_USD,A,-1,2026-06-19 04:00:00+00:00,0.69942,2026-06-19 16:00:00+00:00,0.70088,scratch,144,-14.599999999999058,1.3499999999994072,0.0,-15.949999999998465,2.4000000000001798,-25.89999999999981,20.34914995788934
GBP_USD,A,-1,2026-06-19 04:45:00+00:00,1.3172,2026-06-21 21:00:00+00:00,1.31951,scratch,195,-23.100000000000342,11.049999999999116,-0.378125698630137,-34.528125698629594,4.199999999998649,-65.3999999999999,25.652851076419317
GBP_JPY,A,-1,2026-06-19 04:55:00+00:00,212.534,2026-06-21 21:00:00+00:00,212.749,scratch,193,-21.50000000000034,17.74999999999949,-2.3198749315068494,-41.56987493150668,0.0,-97.59999999999991,44.59366491039587
GBP_JPY,A,1,2026-06-21 21:00:00+00:00,212.749,2026-06-21 21:35:00+00:00,212.94899999999998,tp,7,19.999999999998863,24.549999999999272,0.0,-4.550000000000409,23.30000000000041,-0.7000000000005002,37.09416413446766
GBP_USD,A,1,2026-06-21 21:00:00+00:00,1.31951,2026-06-22 00:25:00+00:00,1.32151,tp,41,20.000000000000018,10.999999999999899,0.0,9.000000000000119,21.900000000001363,-2.4999999999986144,24.291576312565557
NZD_USD,A,-1,2026-06-19 04:50:00+00:00,0.57294,2026-06-22 04:50:00+00:00,0.57254,scratch,288,3.9999999999995595,1.5499999999996072,0.0406305205479452,2.4906305205478976,3.9999999999995595,-16.00000000000046,14.989369954045557
GBP_JPY,A,1,2026-06-22 02:30:00+00:00,213.664,2026-06-22 08:30:00+00:00,213.54,scratch,72,-12.399999999999523,3.4000000000020236,0.0,-15.800000000001546,6.800000000001205,-40.799999999998704,41.350084110396956
GBP_JPY,A,1,2026-06-22 08:30:00+00:00,213.54,2026-06-22 09:00:00+00:00,213.73999999999998,tp,6,19.999999999998863,3.0000000000015348,0.0,16.99999999999733,26.69999999999959,-15.399999999999636,38.73567870363271
GBP_JPY,A,1,2026-06-22 09:00:00+00:00,213.79,2026-06-22 09:45:00+00:00,213.98999999999998,tp,9,19.999999999998863,3.0000000000001137,0.0,16.99999999999875,25.300000000001432,-1.5999999999991132,40.71807022989782
GBP_JPY,A,1,2026-06-22 09:45:00+00:00,214.006,2026-06-22 10:05:00+00:00,214.206,tp,4,19.999999999998863,3.2499999999998863,0.0,16.749999999998977,22.399999999998954,-5.19999999999925,40.71807022989782
GBP_JPY,A,1,2026-06-22 10:05:00+00:00,214.171,2026-06-22 12:10:00+00:00,214.37099999999998,tp,25,19.999999999998863,3.15000000000083,0.0,16.849999999998033,24.2999999999995,-16.100000000000136,42.163695566451395
GBP_JPY,A,1,2026-06-22 12:10:00+00:00,214.374,2026-06-22 12:30:00+00:00,214.57399999999998,tp,4,19.999999999998863,2.950000000001296,0.0,17.049999999997567,20.199999999999818,-6.399999999999295,40.966688406785295
AUD_USD,A,-1,2026-06-22 05:00:00+00:00,0.70056,2026-06-22 17:00:00+00:00,0.70037,scratch,144,1.8999999999991246,1.3499999999999623,0.0,0.5499999999991623,9.500000000000064,-5.800000000000249,16.873987426105852
GBP_JPY,A,1,2026-06-22 12:30:00+00:00,214.565,2026-06-22 19:50:00+00:00,214.156,scratch,88,-40.89999999999918,2.950000000001296,0.0,-43.85000000000048,11.600000000001387,-98.09999999999945,40.966688406785295
GBP_USD,A,-1,2026-06-22 10:00:00+00:00,1.32308,2026-06-22 22:00:00+00:00,1.32514,scratch,144,-20.599999999999508,2.2999999999995246,-0.378125698630137,-23.278125698629168,0.0,-39.00000000000014,27.534392438298752
NZD_USD,A,-1,2026-06-22 04:50:00+00:00,0.57254,2026-06-23 00:10:00+00:00,0.57054,tp,232,20.000000000000018,1.3499999999999623,0.0406305205479452,18.690630520548,19.200000000000326,-8.299999999999974,11.064846334723725
AUD_USD,A,-1,2026-06-22 22:30:00+00:00,0.7,2026-06-23 01:45:00+00:00,0.698,tp,39,20.000000000000018,1.3499999999994072,0.0,18.65000000000061,16.799999999999038,0.0,15.089046905121766
GBP_JPY,A,1,2026-06-22 19:50:00+00:00,214.156,2026-06-23 01:50:00+00:00,214.01,scratch,72,-14.6000000000015,3.2499999999998863,1.064763109589041,-16.785236890412346,1.300000000000523,-26.000000000001933,46.092659297624046
AUD_USD,A,-1,2026-06-23 01:45:00+00:00,0.69798,2026-06-23 06:10:00+00:00,0.69598,tp,53,20.000000000000018,1.3499999999994072,0.0,18.65000000000061,17.100000000001003,-4.799999999999249,15.111530334556
NZD_USD,A,-1,2026-06-23 00:10:00+00:00,0.57045,2026-06-23 06:40:00+00:00,0.56845,tp,78,20.000000000000018,1.30000000000019,0.0,18.69999999999983,16.899999999999693,-2.0999999999993246,11.085526015055661
AUD_USD,A,-1,2026-06-23 06:10:00+00:00,0.69622,2026-06-23 08:45:00+00:00,0.69422,tp,31,20.000000000000018,1.2999999999996348,0.0,18.700000000000383,16.799999999999038,0.0,16.768436896768204
GBP_USD,A,1,2026-06-22 22:00:00+00:00,1.32514,2026-06-23 10:00:00+00:00,1.32296,scratch,144,-21.800000000000708,2.1999999999999797,0.0,-24.00000000000069,0.0,-38.7000000000004,23.566122314003874
