ci,name,is_pnl,is_ntrd,c0,c1,c2
3398,atr20_m3p0_r1_n4_E1_X3c_1_3,870.9,56,127.2,212.2,531.5
1474,atr14_m1p0_r1_n4_E1_X3b_3,865.9,832,308.7,100.3,456.9
774,atr7_m2p0_r1_n5_E1_X3c_1_3,858.9,57,248.9,70.5,539.5
1733,atr14_m1p5_r1_n5_E1_X3c_2_5,858.7,101,165.2,102.2,591.3
772,atr7_m2p0_r1_n5_E1_X3c_1_5,853.9,57,248.9,70.5,534.4
2773,atr20_m1p0_r2_n5_E1_X3c_2_5,849.5,1312,190.7,154.2,504.6
3392,atr20_m3p0_r1_n4_E1_X3b_1,847.9,56,127.2,212.2,508.4
2769,atr20_m1p0_r2_n5_E1_X3b_2,836.3,1310,176.6,153.7,506.1
842,atr7_m2p0_r2_n4_E2_X3b_3,836.0,252,69.8,484.6,281.6
1735,atr14_m1p5_r1_n5_E1_X3c_2_3,829.3,101,166.8,102.2,560.3
385,atr7_m1p0_r2_n6_E1_X3b_2,808.1,499,67.0,255.4,485.7
1729,atr14_m1p5_r1_n5_E1_X3b_2,807.6,101,161.4,102.2,544.0
2322,atr14_m3p0_r3_n2_E1_X3b_3,796.0,524,514.6,196.5,84.9
2674,atr20_m1p0_r1_n4_E1_X3b_3,787.3,971,248.1,20.2,518.9
3338,atr20_m2p0_r3_n5_E2_X3b_3,756.1,181,385.7,270.3,100.1
1749,atr14_m1p5_r1_n6_E1_X3c_2_5,751.6,57,117.8,71.5,562.3
2786,atr20_m1p0_r2_n6_E1_X3b_3,751.5,514,24.5,269.9,457.0
1745,atr14_m1p5_r1_n6_E1_X3b_2,725.5,57,117.8,71.5,536.2
1751,atr14_m1p5_r1_n6_E1_X3c_2_3,720.6,57,117.8,71.5,531.3
954,atr7_m2p0_r3_n6_E2_X3b_3,716.0,105,92.8,166.0,457.1
389,atr7_m1p0_r2_n6_E1_X3c_2_5,715.4,499,80.0,151.7,483.6
1426,atr14_m0p5_r3_n6_E1_X3b_3,713.9,3046,135.3,155.5,423.1
1173,atr7_m3p0_r3_n5_E1_X3c_2_5,674.9,173,367.5,214.9,92.5
1169,atr7_m3p0_r3_n5_E1_X3b_2,674.9,173,367.5,214.9,92.5
870,atr7_m2p0_r2_n6_E1_X3c_1_3,672.7,243,119.8,86.0,466.9
868,atr7_m2p0_r2_n6_E1_X3c_1_5,672.7,243,119.8,86.0,466.9
864,atr7_m2p0_r2_n6_E1_X3b_1,672.7,243,119.8,86.0,466.9
3169,atr20_m2p0_r1_n5_E1_X3b_2,658.6,54,183.5,55.0,420.1
2198,atr14_m3p0_r1_n4_E1_X3c_1_3,651.0,51,79.2,42.8,529.0
391,atr7_m1p0_r2_n6_E1_X3c_2_3,647.7,499,75.4,135.4,436.9
1175,atr7_m3p0_r3_n5_E1_X3c_2_3,616.1,174,290.6,214.9,110.5
2196,atr14_m3p0_r1_n4_E1_X3c_1_5,601.2,51,79.2,42.8,479.2
3173,atr20_m2p0_r1_n5_E1_X3c_2_5,594.5,54,129.1,55.0,410.5
3175,atr20_m2p0_r1_n5_E1_X3c_2_3,585.9,54,121.2,55.0,409.8
3025,atr20_m1p5_r2_n6_E1_X3b_2,554.8,425,205.8,117.5,231.5
3337,atr20_m2p0_r3_n5_E2_X3b_2,553.3,199,381.0,27.7,144.5
3341,atr20_m2p0_r3_n5_E2_X3c_2_5,553.3,199,381.0,27.7,144.5
3343,atr20_m2p0_r3_n5_E2_X3c_2_3,553.3,199,381.0,27.7,144.5
3517,atr20_m3p0_r2_n6_E2_X3c_2_5,551.8,38,5.8,173.2,372.7
3513,atr20_m3p0_r2_n6_E2_X3b_2,546.5,38,2.0,171.7,372.7
3031,atr20_m1p5_r2_n6_E1_X3c_2_3,534.2,425,179.4,93.5,261.3
2192,atr14_m3p0_r1_n4_E1_X3b_1,523.0,51,79.2,37.6,406.2
3029,atr20_m1p5_r2_n6_E1_X3c_2_5,510.9,425,135.6,131.3,244.0
3354,atr20_m2p0_r3_n6_E2_X3b_3,504.9,114,251.3,62.2,191.4
2946,atr20_m1p5_r1_n6_E1_X3b_3,492.9,60,88.5,1.7,402.7
1975,atr14_m2p0_r1_n5_E1_X3c_2_3,390.8,59,77.8,10.1,302.9
998,atr7_m3p0_r1_n4_E1_X3c_1_3,340.1,43,34.4,17.5,288.2
1969,atr14_m2p0_r1_n5_E1_X3b_2,335.6,59,84.5,10.1,241.0
3170,atr20_m2p0_r1_n5_E1_X3b_3,329.3,54,101.9,4.8,222.6
1973,atr14_m2p0_r1_n5_E1_X3c_2_5,322.9,59,86.1,10.1,226.7
2446,atr20_m0p5_r1_n4_E2_X3c_1_3,310.6,1015,63.1,128.2,119.3
2444,atr20_m0p5_r1_n4_E2_X3c_1_5,308.3,1015,70.1,123.1,115.1
2047,atr14_m2p0_r2_n4_E2_X3c_2_3,307.7,274,7.6,50.1,249.9
2440,atr20_m0p5_r1_n4_E2_X3b_1,278.9,1015,79.9,83.5,115.5
996,atr7_m3p0_r1_n4_E1_X3c_1_5,269.5,43,43.0,6.7,219.8
3359,atr20_m2p0_r3_n6_E2_X3c_2_3,250.5,120,149.5,39.4,61.5
3357,atr20_m2p0_r3_n6_E2_X3c_2_5,250.5,120,149.5,39.4,61.5
3353,atr20_m2p0_r3_n6_E2_X3b_2,250.5,120,149.5,39.4,61.5
941,atr7_m2p0_r3_n5_E2_X3c_2_5,246.1,158,114.9,40.0,91.2
937,atr7_m2p0_r3_n5_E2_X3b_2,246.1,158,114.9,40.0,91.2
943,atr7_m2p0_r3_n5_E2_X3c_2_3,246.1,158,114.9,40.0,91.2
2462,atr20_m0p5_r1_n5_E2_X3c_1_3,221.1,186,76.1,47.3,97.7
551,atr7_m1p5_r1_n6_E1_X3c_2_3,209.2,46,54.3,17.2,137.6
2460,atr20_m0p5_r1_n5_E2_X3c_1_5,206.2,186,77.4,34.8,94.0
2456,atr20_m0p5_r1_n5_E2_X3b_1,206.2,186,77.4,34.8,94.0
545,atr7_m1p5_r1_n6_E1_X3b_2,196.1,46,138.1,17.2,40.8
1246,atr14_m0p5_r1_n4_E2_X3c_1_3,194.3,869,38.9,107.3,48.2
549,atr7_m1p5_r1_n6_E1_X3c_2_5,180.4,46,58.1,17.2,105.0
1244,atr14_m0p5_r1_n4_E2_X3c_1_5,170.2,869,28.4,96.9,44.9
2314,atr14_m3p0_r2_n6_E2_X3b_3,169.7,33,7.6,31.8,130.4
1240,atr14_m0p5_r1_n4_E2_X3b_1,168.1,869,40.6,78.4,49.1
1262,atr14_m0p5_r1_n5_E2_X3c_1_3,143.8,128,39.4,52.4,51.9
1260,atr14_m0p5_r1_n5_E2_X3c_1_5,118.6,128,32.2,40.2,46.2
1256,atr14_m0p5_r1_n5_E2_X3b_1,118.6,128,32.2,40.2,46.2
1342,atr14_m0p5_r2_n5_E2_X3c_1_3,116.5,48,24.2,43.8,48.4
2478,atr20_m0p5_r1_n6_E2_X3c_1_3,106.1,46,5.4,23.4,77.4
1340,atr14_m0p5_r2_n5_E2_X3c_1_5,103.5,48,17.0,43.8,42.7
1336,atr14_m0p5_r2_n5_E2_X3b_1,103.5,48,17.0,43.8,42.7
2542,atr20_m0p5_r2_n5_E2_X3c_1_3,103.0,64,14.6,25.4,63.0
2476,atr20_m0p5_r1_n6_E2_X3c_1_5,102.4,46,5.4,23.4,73.7
2472,atr20_m0p5_r1_n6_E2_X3b_1,102.4,46,5.4,23.4,73.7
2536,atr20_m0p5_r2_n5_E2_X3b_1,99.3,64,14.6,25.4,59.3
2540,atr20_m0p5_r2_n5_E2_X3c_1_5,99.3,64,14.6,25.4,59.3
1326,atr14_m0p5_r2_n4_E2_X3c_1_3,83.3,126,7.1,54.3,21.8
2682,atr20_m1p0_r1_n4_E2_X3b_3,60.1,39,15.8,33.1,11.3
1708,atr14_m1p5_r1_n3_E2_X3c_1_5,35.9,53,17.4,10.7,7.8
1710,atr14_m1p5_r1_n3_E2_X3c_1_3,19.7,53,1.9,9.7,8.2
3020,atr20_m1p5_r2_n5_E2_X3c_1_5,15.1,156,11.9,2.7,0.5
3022,atr20_m1p5_r2_n5_E2_X3c_1_3,15.1,156,11.9,2.7,0.5
3016,atr20_m1p5_r2_n5_E2_X3b_1,15.1,156,11.9,2.7,0.5
