ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
1329,atr14_m0p5_r2_n5_E1_X3b_2,9555.9,2420,0.0,14.36,3064.2,849,7.18,1
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,9390.1,2421,0.0,14.16,3062.4,849,7.17,1
2551,atr20_m0p5_r2_n6_E1_X3c_2_3,8238.5,1054,0.0,12.52,3056.4,346,7.16,1
2549,atr20_m0p5_r2_n6_E1_X3c_2_5,8283.7,1054,0.0,12.59,3026.6,346,7.09,1
2545,atr20_m0p5_r2_n6_E1_X3b_2,8242.6,1054,0.0,12.53,3026.6,346,7.09,1
135,atr7_m0p5_r2_n5_E1_X3c_2_3,7550.7,2114,0.0,11.24,2938.3,766,6.88,1
256,atr7_m1p0_r1_n3_E1_X3b_1,8776.7,5597,0.0,12.38,2898.8,2058,6.79,1
129,atr7_m0p5_r2_n5_E1_X3b_2,7539.9,2114,0.0,11.21,2858.3,766,6.69,1
2513,atr20_m0p5_r2_n4_E1_X3b_2,8282.4,8038,0.0,11.64,2847.5,2948,6.67,1
133,atr7_m0p5_r2_n5_E1_X3c_2_5,7614.1,2114,0.0,11.33,2837.8,766,6.65,1
2465,atr20_m0p5_r1_n6_E1_X3b_2,8436.7,1143,0.0,12.78,2833.5,396,6.64,1
2471,atr20_m0p5_r1_n6_E1_X3c_2_3,8464.1,1143,0.0,12.82,2836.3,396,6.64,1
2469,atr20_m0p5_r1_n6_E1_X3c_2_5,8397.0,1143,0.0,12.71,2815.0,396,6.59,1
262,atr7_m1p0_r1_n3_E1_X3c_1_3,9114.2,5635,0.0,13.14,2708.8,2071,6.34,1
2678,atr20_m1p0_r1_n4_E1_X3c_1_3,7257.6,846,0.0,10.93,2686.9,266,6.29,1
2672,atr20_m1p0_r1_n4_E1_X3b_1,7326.9,846,0.0,11.01,2665.9,266,6.24,1
1271,atr14_m0p5_r1_n6_E1_X3c_2_3,7264.7,996,0.0,10.86,2663.2,343,6.24,1
2676,atr20_m1p0_r1_n4_E1_X3c_1_5,7263.0,846,0.0,10.93,2663.1,266,6.24,1
260,atr7_m1p0_r1_n3_E1_X3c_1_5,9217.5,5619,0.0,13.3,2648.9,2068,6.2,1
2517,atr20_m0p5_r2_n4_E1_X3c_2_5,8541.7,8051,0.0,12.01,2642.7,2953,6.19,1
2519,atr20_m0p5_r2_n4_E1_X3c_2_3,8538.4,8058,0.0,12.13,2622.3,2957,6.14,1
53,atr7_m0p5_r1_n5_E1_X3c_2_5,7184.1,2248,0.0,10.6,2609.0,907,6.11,1
55,atr7_m0p5_r1_n5_E1_X3c_2_3,7294.3,2247,0.0,10.77,2599.7,907,6.09,1
1269,atr14_m0p5_r1_n6_E1_X3c_2_5,7280.3,996,0.0,10.87,2592.1,343,6.07,1
1265,atr14_m0p5_r1_n6_E1_X3b_2,7272.9,996,0.0,10.88,2584.6,343,6.05,1
49,atr7_m0p5_r1_n5_E1_X3b_2,7006.7,2247,0.0,10.29,2525.4,907,5.91,1
1351,atr14_m0p5_r2_n6_E1_X3c_2_3,7242.7,930,0.0,10.96,2334.3,313,5.47,1
1349,atr14_m0p5_r2_n6_E1_X3c_2_5,7237.9,930,0.0,10.94,2298.4,313,5.38,1
1345,atr14_m0p5_r2_n6_E1_X3b_2,7247.1,930,0.0,10.96,2298.4,313,5.38,1
2625,atr20_m0p5_r3_n6_E1_X3b_2,7468.7,3165,0.0,10.86,2298.0,1251,5.38,1
2629,atr20_m0p5_r3_n6_E1_X3c_2_5,7468.7,3165,0.0,10.86,2293.4,1251,5.37,1
2631,atr20_m0p5_r3_n6_E1_X3c_2_3,7461.2,3165,0.0,10.85,2276.3,1251,5.33,1
1478,atr14_m1p0_r1_n4_E1_X3c_1_3,6465.4,800,0.0,9.62,2248.0,237,5.26,1
1476,atr14_m1p0_r1_n4_E1_X3c_1_5,6486.8,800,0.0,9.65,2234.1,237,5.23,1
151,atr7_m0p5_r2_n6_E1_X3c_2_3,5617.3,797,0.0,8.38,2230.8,263,5.22,1
149,atr7_m0p5_r2_n6_E1_X3c_2_5,5625.3,797,0.0,8.39,2213.5,263,5.18,1
145,atr7_m0p5_r2_n6_E1_X3b_2,5618.3,797,0.0,8.38,2197.9,263,5.15,1
1472,atr14_m1p0_r1_n4_E1_X3b_1,6421.6,800,0.0,9.54,2180.6,237,5.11,1
2615,atr20_m0p5_r3_n5_E1_X3c_2_3,7051.9,6321,0.0,9.83,2112.0,2493,4.95,1
2609,atr20_m0p5_r3_n5_E1_X3b_2,7037.3,6321,0.0,9.81,2102.9,2493,4.92,1
2613,atr20_m0p5_r3_n5_E1_X3c_2_5,7063.4,6321,0.0,9.84,2085.7,2493,4.88,1
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,9815.0,11030,0.0,13.39,2052.3,4313,4.81,1
69,atr7_m0p5_r1_n6_E1_X3c_2_5,5618.3,838,0.0,8.35,2033.7,273,4.76,1
71,atr7_m0p5_r1_n6_E1_X3c_2_3,5662.8,838,0.0,8.43,2031.3,273,4.76,1
2758,atr20_m1p0_r2_n4_E1_X3c_1_3,9236.4,3733,0.0,13.34,2012.5,1478,4.71,1
65,atr7_m0p5_r1_n6_E1_X3b_2,5575.9,838,0.0,8.26,2006.5,273,4.7,1
352,atr7_m1p0_r2_n4_E1_X3b_1,5851.3,3637,0.0,7.79,1980.1,1407,4.64,1
2736,atr20_m1p0_r2_n3_E1_X3b_1,9692.4,11029,0.0,13.19,1980.1,4312,4.64,1
2756,atr20_m1p0_r2_n4_E1_X3c_1_5,9237.6,3733,0.0,13.38,1977.9,1478,4.63,1
2752,atr20_m1p0_r2_n4_E1_X3b_1,9234.8,3733,0.0,13.34,1973.9,1478,4.62,1
2740,atr20_m1p0_r2_n3_E1_X3c_1_5,9656.3,11030,0.0,13.19,1956.5,4314,4.58,1
356,atr7_m1p0_r2_n4_E1_X3c_1_5,5835.7,3638,0.0,7.73,1950.7,1408,4.57,1
358,atr7_m1p0_r2_n4_E1_X3c_1_3,5764.6,3638,0.0,7.65,1942.1,1408,4.55,1
2902,atr20_m1p5_r1_n3_E1_X3c_1_3,6086.8,1841,0.0,8.68,1778.9,580,4.17,1
1313,atr14_m0p5_r2_n4_E1_X3b_2,7407.9,7585,0.0,10.17,1762.8,2761,4.13,1
1317,atr14_m0p5_r2_n4_E1_X3c_2_5,7448.6,7597,0.0,10.34,1758.4,2763,4.12,1
898,atr7_m2p0_r3_n3_E1_X3b_3,6665.9,809,0.003,4.92,1725.9,364,4.04,1
2900,atr20_m1p5_r1_n3_E1_X3c_1_5,6235.4,1839,0.0,8.86,1682.2,580,3.94,1
1319,atr14_m0p5_r2_n4_E1_X3c_2_3,7552.5,7616,0.0,10.66,1614.7,2766,3.78,1
1425,atr14_m0p5_r3_n6_E1_X3b_2,6989.2,3092,0.0,10.1,1505.7,1189,3.53,1
1429,atr14_m0p5_r3_n6_E1_X3c_2_5,7000.3,3092,0.0,10.12,1493.0,1189,3.5,1
2896,atr20_m1p5_r1_n3_E1_X3b_1,5984.4,1827,0.0,8.22,1481.4,580,3.47,1
1431,atr14_m0p5_r3_n6_E1_X3c_2_3,7008.9,3092,0.0,10.12,1473.9,1189,3.45,1
1556,atr14_m1p0_r2_n4_E1_X3c_1_5,7744.1,3735,0.0,10.94,1436.7,1481,3.36,1
1552,atr14_m1p0_r2_n4_E1_X3b_1,7690.7,3735,0.0,10.85,1417.6,1481,3.32,1
1558,atr14_m1p0_r2_n4_E1_X3c_1_3,7716.4,3735,0.0,10.88,1387.4,1481,3.25,1
2772,atr20_m1p0_r2_n5_E1_X3c_1_5,5855.4,1256,0.0,8.42,1381.1,454,3.23,1
2768,atr20_m1p0_r2_n5_E1_X3b_1,5843.2,1256,0.0,8.39,1367.5,454,3.2,1
2774,atr20_m1p0_r2_n5_E1_X3c_1_3,5847.1,1256,0.0,8.39,1363.2,454,3.19,1
882,atr7_m2p0_r3_n2_E1_X3b_3,5730.6,974,0.019,3.03,1308.9,449,3.07,1
1122,atr7_m3p0_r3_n2_E1_X3b_3,6626.7,354,0.002,3.29,1279.2,162,3.0,1
1409,atr14_m0p5_r3_n5_E1_X3b_2,6525.8,6190,0.0,8.98,1080.5,2469,2.53,1
1413,atr14_m0p5_r3_n5_E1_X3c_2_5,6551.6,6190,0.0,9.02,1050.4,2469,2.46,1
1415,atr14_m0p5_r3_n5_E1_X3c_2_3,6572.8,6190,0.0,9.06,1046.7,2470,2.45,1
1542,atr14_m1p0_r2_n3_E1_X3c_1_3,8180.6,10909,0.0,10.57,989.4,4289,2.32,1
