ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
1424,atr14_m0p5_r3_n6_E1_X3b_1,11720.6,3113,0.0,828.3,18.07,1
1430,atr14_m0p5_r3_n6_E1_X3c_1_3,11711.6,3113,0.0,822.1,18.04,1
134,atr7_m0p5_r2_n5_E1_X3c_1_3,11644.6,1928,0.0,780.5,18.04,1
128,atr7_m0p5_r2_n5_E1_X3b_1,11639.0,1928,0.0,777.8,18.03,1
132,atr7_m0p5_r2_n5_E1_X3c_1_5,11636.1,1928,0.0,775.6,18.02,1
2662,atr20_m1p0_r1_n3_E1_X3c_1_3,10986.9,7011,0.0,934.3,16.62,1
2660,atr20_m1p0_r1_n3_E1_X3c_1_5,10965.9,6994,0.0,929.5,16.45,1
230,atr7_m0p5_r3_n6_E1_X3c_1_3,10630.1,3116,0.0,701.2,16.39,1
228,atr7_m0p5_r3_n6_E1_X3c_1_5,10626.5,3116,0.0,700.1,16.38,1
224,atr7_m0p5_r3_n6_E1_X3b_1,10626.5,3116,0.0,700.1,16.38,1
2656,atr20_m1p0_r1_n3_E1_X3b_1,10921.2,6976,0.0,1036.8,16.28,1
2470,atr20_m0p5_r1_n6_E1_X3c_1_3,10004.2,959,0.0,747.7,15.47,1
2468,atr20_m0p5_r1_n6_E1_X3c_1_5,9996.9,959,0.0,740.4,15.46,1
2464,atr20_m0p5_r1_n6_E1_X3b_1,9996.9,959,0.0,740.4,15.46,1
1456,atr14_m1p0_r1_n3_E1_X3b_1,9881.4,6417,0.0,961.7,14.71,1
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,9793.3,6459,0.0,893.0,14.7,1
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,9824.1,6444,0.0,853.0,14.69,1
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9549.3,2531,0.0,724.2,14.55,1
2449,atr20_m0p5_r1_n5_E1_X3b_2,9547.7,2527,0.0,818.5,14.47,1
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9519.1,2529,0.0,760.2,14.47,1
