ci,name,is_pnl,is_ntrd,c0,c1,c2
1165,atr7_m3p0_r3_n4_E2_X3c_2_5,785.3,85,231.1,373.5,180.7
1749,atr14_m1p5_r1_n6_E1_X3c_2_5,784.3,39,116.1,102.0,566.2
768,atr7_m2p0_r1_n5_E1_X3b_1,776.2,32,108.7,149.6,517.8
3484,atr20_m3p0_r2_n4_E2_X3c_1_5,767.9,195,211.3,82.2,474.3
3486,atr20_m3p0_r2_n4_E2_X3c_1_3,767.9,195,211.3,82.2,474.3
3480,atr20_m3p0_r2_n4_E2_X3b_1,767.9,195,211.3,82.2,474.3
2951,atr20_m1p5_r1_n6_E1_X3c_2_3,739.5,36,79.2,71.8,588.5
1751,atr14_m1p5_r1_n6_E1_X3c_2_3,736.3,39,116.1,102.0,518.2
1898,atr14_m1p5_r3_n5_E2_X3b_3,736.3,270,13.0,644.7,78.7
831,atr7_m2p0_r2_n3_E2_X3c_2_3,735.0,523,118.1,236.9,380.1
682,atr7_m1p5_r3_n4_E2_X3b_3,732.8,337,96.2,318.2,318.3
772,atr7_m2p0_r1_n5_E1_X3c_1_5,726.6,32,108.7,135.9,482.0
2949,atr20_m1p5_r1_n6_E1_X3c_2_5,722.5,36,79.2,71.8,571.5
774,atr7_m2p0_r1_n5_E1_X3c_1_3,719.8,32,108.7,129.1,482.0
1506,atr14_m1p0_r1_n6_E1_X3b_3,704.0,111,60.6,43.6,599.8
825,atr7_m2p0_r2_n3_E2_X3b_2,669.3,522,68.2,501.5,99.7
385,atr7_m1p0_r2_n6_E1_X3b_2,634.6,455,81.7,189.8,363.1
829,atr7_m2p0_r2_n3_E2_X3c_2_5,616.0,523,148.3,112.0,355.8
2268,atr14_m3p0_r2_n3_E2_X3c_1_5,613.7,379,294.3,193.7,125.7
2264,atr14_m3p0_r2_n3_E2_X3b_1,613.7,379,294.3,193.7,125.7
2270,atr14_m3p0_r2_n3_E2_X3c_1_3,613.7,379,294.3,193.7,125.7
1719,atr14_m1p5_r1_n4_E1_X3c_2_3,592.0,229,67.7,32.3,492.1
3159,atr20_m2p0_r1_n4_E1_X3c_2_3,580.8,98,77.1,90.5,413.2
391,atr7_m1p0_r2_n6_E1_X3c_2_3,578.4,455,101.9,253.6,222.9
3173,atr20_m2p0_r1_n5_E1_X3c_2_5,565.4,35,58.6,32.9,473.9
3314,atr20_m2p0_r3_n4_E1_X3b_3,557.4,920,300.4,248.6,8.4
3157,atr20_m2p0_r1_n4_E1_X3c_2_5,556.4,98,51.2,62.4,442.8
3175,atr20_m2p0_r1_n5_E1_X3c_2_3,542.9,35,58.6,32.9,451.4
3169,atr20_m2p0_r1_n5_E1_X3b_2,524.2,35,58.6,3.5,462.1
3465,atr20_m3p0_r2_n3_E2_X3b_2,499.3,310,361.8,30.9,106.7
982,atr7_m3p0_r1_n3_E1_X3c_1_3,493.2,173,202.1,113.9,177.3
1144,atr7_m3p0_r3_n3_E2_X3b_1,460.0,150,2.2,92.2,365.5
1148,atr7_m3p0_r3_n3_E2_X3c_1_5,460.0,150,2.2,92.2,365.5
