ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
129,atr7_m0p5_r2_n5_E1_X3b_2,7539.9,2114,0.0,797.5,11.21,1
2672,atr20_m1p0_r1_n4_E1_X3b_1,7326.9,846,0.0,744.5,11.01,1
1345,atr14_m0p5_r2_n6_E1_X3b_2,7247.1,930,0.0,695.3,10.96,1
1351,atr14_m0p5_r2_n6_E1_X3c_2_3,7242.7,930,0.0,692.0,10.96,1
1349,atr14_m0p5_r2_n6_E1_X3c_2_5,7237.9,930,0.0,692.8,10.94,1
1556,atr14_m1p0_r2_n4_E1_X3c_1_5,7744.1,3735,0.0,1065.3,10.94,1
2678,atr20_m1p0_r1_n4_E1_X3c_1_3,7257.6,846,0.0,740.5,10.93,1
2676,atr20_m1p0_r1_n4_E1_X3c_1_5,7263.0,846,0.0,741.6,10.93,1
1558,atr14_m1p0_r2_n4_E1_X3c_1_3,7716.4,3735,0.0,1084.0,10.88,1
1265,atr14_m0p5_r1_n6_E1_X3b_2,7272.9,996,0.0,728.6,10.88,1
1269,atr14_m0p5_r1_n6_E1_X3c_2_5,7280.3,996,0.0,720.9,10.87,1
1271,atr14_m0p5_r1_n6_E1_X3c_2_3,7264.7,996,0.0,716.9,10.86,1
2629,atr20_m0p5_r3_n6_E1_X3c_2_5,7468.7,3165,0.0,864.5,10.86,1
2625,atr20_m0p5_r3_n6_E1_X3b_2,7468.7,3165,0.0,864.5,10.86,1
2631,atr20_m0p5_r3_n6_E1_X3c_2_3,7461.2,3165,0.0,869.2,10.85,1
1552,atr14_m1p0_r2_n4_E1_X3b_1,7690.7,3735,0.0,1082.1,10.85,1
55,atr7_m0p5_r1_n5_E1_X3c_2_3,7294.3,2247,0.0,733.8,10.77,1
1540,atr14_m1p0_r2_n3_E1_X3c_1_5,8215.9,10908,0.0,1467.1,10.68,1
1319,atr14_m0p5_r2_n4_E1_X3c_2_3,7552.5,7616,0.0,1155.3,10.66,1
53,atr7_m0p5_r1_n5_E1_X3c_2_5,7184.1,2248,0.0,714.4,10.6,1
1542,atr14_m1p0_r2_n3_E1_X3c_1_3,8180.6,10909,0.0,1594.8,10.57,1
1536,atr14_m1p0_r2_n3_E1_X3b_1,8116.0,10904,0.0,1666.0,10.55,1
1317,atr14_m0p5_r2_n4_E1_X3c_2_5,7448.6,7597,0.0,1159.1,10.34,1
49,atr7_m0p5_r1_n5_E1_X3b_2,7006.7,2247,0.0,737.4,10.29,1
1313,atr14_m0p5_r2_n4_E1_X3b_2,7407.9,7585,0.0,1195.5,10.17,1
1429,atr14_m0p5_r3_n6_E1_X3c_2_5,7000.3,3092,0.0,862.9,10.12,1
1431,atr14_m0p5_r3_n6_E1_X3c_2_3,7008.9,3092,0.0,872.2,10.12,1
1425,atr14_m0p5_r3_n6_E1_X3b_2,6989.2,3092,0.0,859.6,10.1,1
2613,atr20_m0p5_r3_n5_E1_X3c_2_5,7063.4,6321,0.0,1095.0,9.84,1
2615,atr20_m0p5_r3_n5_E1_X3c_2_3,7051.9,6321,0.0,1099.1,9.83,1
2609,atr20_m0p5_r3_n5_E1_X3b_2,7037.3,6321,0.0,1098.1,9.81,1
1476,atr14_m1p0_r1_n4_E1_X3c_1_5,6486.8,800,0.0,738.0,9.65,1
1478,atr14_m1p0_r1_n4_E1_X3c_1_3,6465.4,800,0.0,721.9,9.62,1
1472,atr14_m1p0_r1_n4_E1_X3b_1,6421.6,800,0.0,727.1,9.54,1
1415,atr14_m0p5_r3_n5_E1_X3c_2_3,6572.8,6190,0.0,1006.5,9.06,1
1413,atr14_m0p5_r3_n5_E1_X3c_2_5,6551.6,6190,0.0,1009.8,9.02,1
1409,atr14_m0p5_r3_n5_E1_X3b_2,6525.8,6190,0.0,1011.3,8.98,1
2900,atr20_m1p5_r1_n3_E1_X3c_1_5,6235.4,1839,0.0,885.9,8.86,1
2902,atr20_m1p5_r1_n3_E1_X3c_1_3,6086.8,1841,0.0,803.3,8.68,1
