ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,11553.5,6739,0.0,17.39,7679.2,2846,18.0,1
2439,atr20_m0p5_r1_n4_E1_X3c_2_3,10471.2,8363,0.0,15.49,7638.1,4674,17.9,1
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,11644.1,6753,0.0,17.57,7608.4,2853,17.83,1
2437,atr20_m0p5_r1_n4_E1_X3c_2_5,10632.9,8354,0.0,15.77,7521.4,4665,17.63,1
2433,atr20_m0p5_r1_n4_E1_X3b_2,10742.1,8341,0.0,15.9,7504.5,4653,17.59,1
1456,atr14_m1p0_r1_n3_E1_X3b_1,11490.2,6717,0.0,17.24,7484.5,2842,17.54,1
2468,atr20_m0p5_r1_n6_E1_X3c_1_5,11373.9,1122,0.0,17.54,7065.7,630,16.56,1
2464,atr20_m0p5_r1_n6_E1_X3b_1,11373.9,1122,0.0,17.54,7066.6,630,16.56,1
2470,atr20_m0p5_r1_n6_E1_X3c_1_3,11373.9,1122,0.0,17.54,7060.0,630,16.55,1
2449,atr20_m0p5_r1_n5_E1_X3b_2,10493.4,2766,0.0,15.94,6679.7,1528,15.65,1
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,10516.0,2766,0.0,16.0,6671.8,1528,15.64,1
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,10533.3,2766,0.0,16.03,6669.6,1528,15.63,1
336,atr7_m1p0_r2_n3_E1_X3b_1,10269.0,10559,0.0,14.7,6648.9,4859,15.58,1
340,atr7_m1p0_r2_n3_E1_X3c_1_5,10166.9,10566,0.0,14.62,6626.3,4863,15.53,1
1319,atr14_m0p5_r2_n4_E1_X3c_2_3,9705.7,7252,0.0,14.34,6596.9,3523,15.46,1
2544,atr20_m0p5_r2_n6_E1_X3b_1,11371.0,1129,0.0,17.55,6596.1,527,15.46,1
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,11371.0,1129,0.0,17.55,6595.2,527,15.46,1
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,11370.1,1129,0.0,17.55,6587.2,527,15.44,1
342,atr7_m1p0_r2_n3_E1_X3c_1_3,10100.0,10571,0.0,14.4,6545.8,4863,15.34,1
1317,atr14_m0p5_r2_n4_E1_X3c_2_5,9607.7,7240,0.0,14.25,6537.8,3519,15.32,1
1233,atr14_m0p5_r1_n4_E1_X3b_2,9178.3,7769,0.0,13.29,6515.5,4381,15.27,1
1313,atr14_m0p5_r2_n4_E1_X3b_2,9813.4,7226,0.0,14.49,6476.4,3515,15.18,1
1237,atr14_m0p5_r1_n4_E1_X3c_2_5,9225.0,7784,0.0,13.55,6456.6,4392,15.13,1
1239,atr14_m0p5_r1_n4_E1_X3c_2_3,9243.3,7796,0.0,13.53,6450.4,4398,15.12,1
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,10378.7,2763,0.0,15.79,6420.8,1289,15.05,1
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,10344.7,2763,0.0,15.77,6420.3,1290,15.05,1
260,atr7_m1p0_r1_n3_E1_X3c_1_5,9878.8,6134,0.0,14.74,6412.1,2656,15.03,1
2529,atr20_m0p5_r2_n5_E1_X3b_2,10323.5,2763,0.0,15.71,6392.8,1289,14.98,1
2615,atr20_m0p5_r3_n5_E1_X3c_2_3,10239.7,5979,0.0,15.25,6364.2,2984,14.92,1
2613,atr20_m0p5_r3_n5_E1_X3c_2_5,10223.9,5979,0.0,15.22,6350.3,2984,14.88,1
262,atr7_m1p0_r1_n3_E1_X3c_1_3,9771.5,6154,0.0,14.57,6336.6,2660,14.85,1
2609,atr20_m0p5_r3_n5_E1_X3b_2,10203.3,5979,0.0,15.2,6332.0,2984,14.84,1
256,atr7_m1p0_r1_n3_E1_X3b_1,10072.4,6109,0.0,14.87,6286.0,2653,14.73,1
1409,atr14_m0p5_r3_n5_E1_X3b_2,9503.9,5970,0.0,13.99,5988.9,2933,14.04,1
1413,atr14_m0p5_r3_n5_E1_X3c_2_5,9482.8,5971,0.0,14.04,5988.5,2933,14.03,1
1264,atr14_m0p5_r1_n6_E1_X3b_1,10389.6,995,0.0,16.02,5979.8,495,14.01,1
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,10388.5,995,0.0,16.02,5975.7,495,14.0,1
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,10385.9,995,0.0,16.01,5967.6,495,13.99,1
1415,atr14_m0p5_r3_n5_E1_X3c_2_3,9495.8,5973,0.0,13.97,5969.2,2933,13.99,1
2758,atr20_m1p0_r2_n4_E1_X3c_1_3,10983.7,4013,0.0,16.48,5942.8,1869,13.93,1
2756,atr20_m1p0_r2_n4_E1_X3c_1_5,11000.6,4013,0.0,16.51,5935.7,1867,13.91,1
2752,atr20_m1p0_r2_n4_E1_X3b_1,10972.1,4013,0.0,16.46,5932.8,1867,13.9,1
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,10429.7,1023,0.0,15.96,5878.7,450,13.78,1
1344,atr14_m0p5_r2_n6_E1_X3b_1,10429.7,1023,0.0,15.96,5878.7,450,13.78,1
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,10432.0,1023,0.0,15.97,5878.7,450,13.78,1
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,9017.0,2408,0.0,13.59,5828.9,1340,13.66,1
1249,atr14_m0p5_r1_n5_E1_X3b_2,8915.0,2408,0.0,13.44,5829.0,1340,13.66,1
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,9071.2,2408,0.0,13.66,5824.8,1340,13.65,1
117,atr7_m0p5_r2_n4_E1_X3c_2_5,7473.4,6566,0.0,10.9,5777.5,3177,13.54,1
119,atr7_m0p5_r2_n4_E1_X3c_2_3,7517.7,6580,0.0,10.95,5766.7,3178,13.51,1
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,9374.9,2585,0.0,14.2,5728.9,1153,13.43,1
