ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9549.3,2531,0.0,14.55,3667.3,1088,8.6,1
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9519.1,2529,0.0,14.47,3638.9,1088,8.53,1
2660,atr20_m1p0_r1_n3_E1_X3c_1_5,10965.9,6994,0.0,16.45,3607.3,2916,8.46,1
2662,atr20_m1p0_r1_n3_E1_X3c_1_3,10986.9,7011,0.0,16.62,3536.8,2923,8.29,1
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,9124.3,925,0.0,14.03,3471.6,386,8.14,1
2544,atr20_m0p5_r2_n6_E1_X3b_1,9124.3,925,0.0,14.03,3471.6,386,8.14,1
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,9133.6,925,0.0,14.05,3471.6,386,8.14,1
2656,atr20_m1p0_r1_n3_E1_X3b_1,10921.2,6976,0.0,16.28,3468.9,2910,8.13,1
1456,atr14_m1p0_r1_n3_E1_X3b_1,9881.4,6417,0.0,14.71,3446.3,2800,8.08,1
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,9824.1,6444,0.0,14.69,3372.1,2814,7.91,1
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,9793.3,6459,0.0,14.7,3349.2,2822,7.85,1
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,8908.2,820,0.0,13.75,3336.0,337,7.82,1
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,8912.0,820,0.0,13.75,3336.0,337,7.82,1
1264,atr14_m0p5_r1_n6_E1_X3b_1,8905.9,820,0.0,13.74,3336.0,337,7.82,1
1249,atr14_m0p5_r1_n5_E1_X3b_2,8316.5,2198,0.0,12.53,3217.3,949,7.54,1
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,8215.8,2202,0.0,12.39,3186.8,949,7.47,1
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,8271.9,2373,0.0,12.51,3167.3,997,7.43,1
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,8502.4,823,0.0,13.01,3158.2,335,7.4,1
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,8508.0,823,0.0,13.02,3153.0,335,7.39,1
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,8336.2,2373,0.0,12.63,3150.7,999,7.39,1
1344,atr14_m0p5_r2_n6_E1_X3b_1,8505.7,823,0.0,13.01,3153.0,335,7.39,1
2529,atr20_m0p5_r2_n5_E1_X3b_2,8299.0,2373,0.0,12.51,3137.1,997,7.36,1
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,8253.4,2202,0.0,12.47,3123.0,950,7.32,1
148,atr7_m0p5_r2_n6_E1_X3c_1_5,6975.7,691,0.0,10.63,2897.5,308,6.79,1
144,atr7_m0p5_r2_n6_E1_X3b_1,6975.7,691,0.0,10.63,2897.5,308,6.79,1
150,atr7_m0p5_r2_n6_E1_X3c_1_3,6975.7,691,0.0,10.63,2897.5,308,6.79,1
68,atr7_m0p5_r1_n6_E1_X3c_1_5,7627.0,666,0.0,11.74,2893.7,276,6.78,1
64,atr7_m0p5_r1_n6_E1_X3b_1,7627.0,666,0.0,11.74,2888.3,276,6.77,1
70,atr7_m0p5_r1_n6_E1_X3c_1_3,7627.9,666,0.0,11.74,2886.3,276,6.77,1
2469,atr20_m0p5_r1_n6_E1_X3c_2_5,7071.3,958,0.0,10.71,2784.1,391,6.53,1
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,7817.6,2172,0.0,11.78,2766.8,881,6.49,1
2465,atr20_m0p5_r1_n6_E1_X3b_2,7062.5,958,0.0,10.71,2767.3,391,6.49,1
2471,atr20_m0p5_r1_n6_E1_X3c_2_3,7072.2,958,0.0,10.73,2759.2,391,6.47,1
1329,atr14_m0p5_r2_n5_E1_X3b_2,7879.0,2169,0.0,11.85,2735.2,881,6.41,1
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,7795.3,2173,0.0,11.72,2690.2,885,6.31,1
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,8510.3,11497,0.0,12.04,2664.0,5165,6.25,1
2678,atr20_m1p0_r1_n4_E1_X3c_1_3,6744.2,992,0.0,10.14,2626.4,383,6.16,1
