pair,ltf,htf,strat,n_ltf,n_htf,trail,max_hold,sp_gate,nt_is,pd_is,nt_oos,tp_oos,pd_oos,tpd_oos,md_oos,calmar,score
USD_JPY,H1,H4,counter,10,20,1.5,48,2.1,228,0.2,373,226.2,0.5,0.87,437.4,0.0,0.0
USD_JPY,H1,H4,counter,10,20,1.5,96,2.1,228,0.2,373,226.2,0.5,0.87,437.4,0.0,0.0
USD_JPY,H1,H4,counter,10,20,2.0,24,2.1,224,0.2,358,25.6,0.1,0.84,553.0,0.0,0.0
USD_JPY,H1,H4,counter,10,20,2.0,48,2.1,224,0.2,358,25.6,0.1,0.84,553.0,0.0,0.0
USD_JPY,H1,H4,counter,10,20,2.0,96,2.1,224,0.2,358,25.6,0.1,0.84,553.0,0.0,0.0
GBP_USD,M30,H4,counter,20,40,2.5,24,2.4,580,0.1,446,20.6,0.0,1.05,495.2,0.0,0.0
GBP_USD,M30,H4,counter,20,40,2.5,48,2.4,580,0.1,446,22.9,0.1,1.05,495.2,0.0,0.0
GBP_USD,M30,H4,counter,20,40,2.5,96,2.4,580,0.1,446,22.9,0.1,1.05,495.2,0.0,0.0
EUR_USD,M30,H4,counter,20,10,2.0,24,1.7,353,0.3,272,106.1,0.2,0.64,269.2,0.0,0.0
EUR_USD,M30,H4,counter,20,10,2.0,48,1.7,353,0.3,272,106.1,0.2,0.64,269.2,0.0,0.0
EUR_USD,M30,H4,counter,20,10,2.0,96,1.7,353,0.3,272,106.1,0.2,0.64,269.2,0.0,0.0
EUR_USD,M30,H4,counter,20,10,2.5,24,1.7,345,0.4,258,225.2,0.5,0.6,223.7,0.0,0.0
EUR_USD,M30,H4,counter,20,10,2.5,48,1.7,345,0.4,258,225.2,0.5,0.6,223.7,0.0,0.0
EUR_USD,M30,H4,counter,20,10,2.5,96,1.7,345,0.4,258,225.2,0.5,0.6,223.7,0.0,0.0
EUR_USD,H1,H4,counter,10,10,2.0,24,1.7,200,0.2,162,179.8,0.4,0.38,191.9,0.0,0.0
EUR_USD,H1,H4,counter,10,10,2.0,48,1.7,200,0.2,162,179.8,0.4,0.38,191.9,0.0,0.0
EUR_USD,H1,H4,counter,10,10,2.0,96,1.7,200,0.2,162,179.8,0.4,0.38,191.9,0.0,0.0
EUR_USD,H1,H4,counter,10,10,2.5,24,1.7,199,0.1,159,146.1,0.3,0.37,220.4,0.0,0.0
EUR_USD,H1,H4,counter,10,10,2.5,48,1.7,199,0.1,159,146.1,0.3,0.37,220.4,0.0,0.0
