pair,activate,trail,init_sl,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,trail_pct,init_sl_pct,days
GBP_JPY,2.0,0.05,1.5,16,-1.2,18.8,530.5,-0.0,7.7,-87.9,135.1,18.8,81.2,429.5
GBP_JPY,2.0,0.05,2.0,16,-1.04,31.2,452.5,-0.0,14.1,-108.8,135.1,31.2,68.8,429.5
GBP_JPY,2.0,0.075,0.5,16,-0.46,12.5,177.0,-0.0,2.5,-33.1,58.4,12.5,87.5,429.5
GBP_JPY,2.0,0.075,1.0,16,-0.65,18.8,329.9,-0.0,4.4,-61.7,133.9,18.8,81.2,429.5
GBP_JPY,2.0,0.075,1.5,16,-1.2,18.8,531.9,-0.0,7.7,-87.9,133.9,18.8,81.2,429.5
GBP_JPY,2.0,0.075,2.0,16,-1.05,31.2,454.6,-0.0,14.1,-108.8,133.9,31.2,68.8,429.5
GBP_JPY,2.0,0.1,0.5,16,-0.46,12.5,178.4,-0.0,2.5,-33.1,57.6,12.5,87.5,429.5
GBP_JPY,2.0,0.1,1.0,16,-0.65,18.8,331.3,-0.0,4.4,-61.7,132.6,18.8,81.2,429.5
GBP_JPY,2.0,0.1,1.5,16,-1.21,18.8,533.3,-0.0,7.7,-87.9,132.6,18.8,81.2,429.5
GBP_JPY,2.0,0.1,2.0,16,-1.06,31.2,456.8,-0.0,14.1,-108.8,132.6,31.2,68.8,429.5
GBP_JPY,2.0,0.15,0.5,16,-0.47,12.5,181.2,-0.0,2.5,-33.1,56.1,12.5,87.5,429.5
GBP_JPY,2.0,0.15,1.0,16,-0.66,18.8,334.2,-0.0,4.4,-61.7,130.2,18.8,81.2,429.5
GBP_JPY,2.0,0.15,1.5,16,-1.22,18.8,536.2,-0.0,7.7,-87.9,130.2,18.8,81.2,429.5
GBP_JPY,2.0,0.15,2.0,16,-1.08,31.2,461.1,-0.0,14.1,-108.8,130.2,31.2,68.8,429.5
GBP_JPY,2.0,0.2,0.5,16,-0.48,12.5,184.1,-0.0,2.5,-33.1,54.5,12.5,87.5,429.5
GBP_JPY,2.0,0.2,1.0,16,-0.68,18.8,337.0,-0.0,4.4,-61.7,127.8,18.8,81.2,429.5
GBP_JPY,2.0,0.2,1.5,16,-1.23,18.8,539.0,-0.0,7.7,-87.9,127.8,18.8,81.2,429.5
GBP_JPY,2.0,0.2,2.0,16,-1.1,31.2,465.3,-0.0,14.1,-108.8,127.8,31.2,68.8,429.5
USD_JPY,1.0,0.05,0.5,23,0.24,43.5,94.2,0.0,2.5,-38.4,49.7,43.5,56.5,429.5
USD_JPY,1.0,0.05,1.0,23,-0.12,47.8,203.2,-0.0,4.2,-74.8,49.7,47.8,52.2,429.5
USD_JPY,1.0,0.05,1.5,23,0.09,65.2,195.9,0.0,6.1,-111.3,56.4,65.2,34.8,429.5
USD_JPY,1.0,0.05,2.0,23,-0.23,65.2,285.7,-0.0,7.2,-147.2,56.4,65.2,34.8,429.5
USD_JPY,1.0,0.075,0.5,23,0.22,43.5,94.8,0.0,2.5,-38.4,48.8,43.5,56.5,429.5
USD_JPY,1.0,0.075,1.0,23,-0.14,47.8,203.8,-0.0,4.2,-74.8,48.8,47.8,52.2,429.5
USD_JPY,1.0,0.075,1.5,23,0.07,65.2,197.5,0.0,6.1,-111.3,55.5,65.2,34.8,429.5
USD_JPY,1.0,0.075,2.0,23,-0.25,65.2,287.8,-0.0,7.2,-147.2,55.5,65.2,34.8,429.5
USD_JPY,1.0,0.1,0.5,23,0.21,43.5,95.4,0.0,2.5,-38.4,48.0,43.5,56.5,429.5
USD_JPY,1.0,0.1,1.0,23,-0.16,47.8,204.4,-0.0,4.2,-74.8,48.0,47.8,52.2,429.5
USD_JPY,1.0,0.1,1.5,23,0.05,65.2,199.0,0.0,6.1,-111.3,54.5,65.2,34.8,429.5
USD_JPY,1.0,0.1,2.0,23,-0.28,65.2,292.3,-0.0,7.2,-147.2,54.5,65.2,34.8,429.5
USD_JPY,1.0,0.15,0.5,23,0.18,43.5,96.6,0.0,2.5,-38.4,46.4,43.5,56.5,429.5
USD_JPY,1.0,0.15,1.0,23,-0.19,47.8,205.6,-0.0,4.2,-74.8,46.4,47.8,52.2,429.5
USD_JPY,1.0,0.15,1.5,23,0.01,65.2,202.1,0.0,6.1,-111.3,52.6,65.2,34.8,429.5
USD_JPY,1.0,0.15,2.0,23,-0.32,65.2,301.2,-0.0,7.2,-147.2,52.6,65.2,34.8,429.5
USD_JPY,1.0,0.2,0.5,23,0.15,43.5,97.8,0.0,2.5,-38.4,44.7,43.5,56.5,429.5
USD_JPY,1.0,0.2,1.0,23,-0.22,47.8,206.8,-0.0,4.2,-74.8,44.7,47.8,52.2,429.5
USD_JPY,1.0,0.2,1.5,23,-0.03,65.2,205.2,-0.0,6.1,-111.3,50.7,65.2,34.8,429.5
USD_JPY,1.0,0.2,2.0,23,-0.36,65.2,310.1,-0.0,7.2,-147.2,50.7,65.2,34.8,429.5
USD_JPY,1.5,0.05,0.5,23,0.4,34.8,74.6,0.01,3.2,-38.4,144.1,34.8,65.2,429.5
USD_JPY,1.5,0.05,1.0,23,0.29,43.5,183.6,0.0,5.3,-74.8,144.1,43.5,56.5,429.5
USD_JPY,1.5,0.05,1.5,23,0.57,60.9,176.3,0.0,7.5,-111.3,144.1,60.9,39.1,429.5
USD_JPY,1.5,0.05,2.0,23,0.23,60.9,266.1,0.0,8.8,-147.2,144.1,60.9,39.1,429.5
USD_JPY,1.5,0.075,0.5,23,0.39,34.8,75.2,0.01,3.2,-38.4,143.1,34.8,65.2,429.5
USD_JPY,1.5,0.075,1.0,23,0.28,43.5,184.2,0.0,5.3,-74.8,143.1,43.5,56.5,429.5
USD_JPY,1.5,0.075,1.5,23,0.55,60.9,177.9,0.0,7.5,-111.3,143.1,60.9,39.1,429.5
USD_JPY,1.5,0.075,2.0,23,0.21,60.9,267.6,0.0,8.8,-147.2,143.1,60.9,39.1,429.5
USD_JPY,1.5,0.1,0.5,23,0.37,34.8,75.8,0.0,3.2,-38.4,142.1,34.8,65.2,429.5
USD_JPY,1.5,0.1,1.0,23,0.26,43.5,184.8,0.0,5.3,-74.8,142.1,43.5,56.5,429.5
USD_JPY,1.5,0.1,1.5,23,0.53,60.9,179.4,0.0,7.5,-111.3,142.1,60.9,39.1,429.5
USD_JPY,1.5,0.1,2.0,23,0.19,60.9,269.2,0.0,8.8,-147.2,142.1,60.9,39.1,429.5
USD_JPY,1.5,0.15,0.5,23,0.35,34.8,77.0,0.0,3.2,-38.4,140.0,34.8,65.2,429.5
USD_JPY,1.5,0.15,1.0,23,0.23,43.5,186.0,0.0,5.3,-74.8,140.0,43.5,56.5,429.5
USD_JPY,1.5,0.15,1.5,23,0.49,60.9,182.5,0.0,7.5,-111.3,140.0,60.9,39.1,429.5
USD_JPY,1.5,0.15,2.0,23,0.14,60.9,272.3,0.0,8.8,-147.2,140.0,60.9,39.1,429.5
USD_JPY,1.5,0.2,0.5,23,0.32,34.8,78.2,0.0,3.2,-38.4,138.0,34.8,65.2,429.5
USD_JPY,1.5,0.2,1.0,23,0.2,43.5,187.2,0.0,5.3,-74.8,138.0,43.5,56.5,429.5
USD_JPY,1.5,0.2,1.5,23,0.45,60.9,185.6,0.0,7.5,-111.3,138.0,60.9,39.1,429.5
USD_JPY,1.5,0.2,2.0,23,0.1,60.9,275.4,0.0,8.8,-147.2,138.0,60.9,39.1,429.5
USD_JPY,2.0,0.05,0.5,23,0.62,30.4,131.2,0.0,4.3,-38.4,144.1,30.4,69.6,429.5
USD_JPY,2.0,0.05,1.0,23,0.48,39.1,252.1,0.0,6.3,-74.8,144.1,39.1,60.9,429.5
USD_JPY,2.0,0.05,1.5,23,0.88,56.5,230.7,0.0,9.3,-111.3,144.1,56.5,43.5,429.5
USD_JPY,2.0,0.05,2.0,23,0.5,56.5,332.8,0.0,10.6,-147.2,144.1,56.5,43.5,429.5
USD_JPY,2.0,0.075,0.5,23,0.6,30.4,131.2,0.0,4.3,-38.4,143.1,30.4,69.6,429.5
USD_JPY,2.0,0.075,1.0,23,0.47,39.1,252.1,0.0,6.3,-74.8,143.1,39.1,60.9,429.5
USD_JPY,2.0,0.075,1.5,23,0.86,56.5,231.7,0.0,9.3,-111.3,143.1,56.5,43.5,429.5
