pair,activate,trail,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,days
USD_JPY,1.5,0.3,21,-0.86,71.4,791.1,-0.0,39.5,-431.8,133.9,429.5
USD_JPY,1.5,0.4,21,-0.77,71.4,797.2,-0.0,39.8,-431.8,129.8,429.5
USD_JPY,1.5,0.5,21,-0.86,71.4,803.4,-0.0,39.8,-431.8,125.7,429.5
USD_JPY,2.0,0.1,21,-0.38,66.7,824.2,-0.0,45.7,-431.8,142.1,429.5
USD_JPY,2.0,0.2,21,-0.47,66.7,830.4,-0.0,45.7,-431.8,138.0,429.5
USD_JPY,2.0,0.25,21,-0.51,66.7,833.5,-0.0,45.7,-431.8,135.9,429.5
USD_JPY,2.0,0.3,21,-0.55,66.7,836.6,-0.0,45.7,-431.8,133.9,429.5
USD_JPY,2.0,0.4,21,-0.64,66.7,842.7,-0.0,45.7,-431.8,129.8,429.5
USD_JPY,2.0,0.5,21,-0.72,66.7,848.9,-0.0,45.7,-431.8,125.7,429.5
EUR_JPY,0.25,0.1,8,0.11,75.0,76.0,0.0,33.4,-76.0,73.3,429.5
EUR_JPY,0.25,0.2,8,0.07,75.0,76.0,0.0,33.4,-76.0,68.9,429.5
EUR_JPY,0.25,0.25,8,0.05,75.0,76.0,0.0,33.4,-76.0,66.7,429.5
EUR_JPY,0.25,0.3,8,0.03,75.0,76.0,0.0,33.4,-76.0,64.5,429.5
EUR_JPY,0.25,0.4,8,-0.02,62.5,76.0,-0.0,33.4,-76.0,60.1,429.5
EUR_JPY,0.25,0.5,8,-0.07,37.5,76.3,-0.0,33.8,-76.0,55.7,429.5
EUR_JPY,0.5,0.1,8,0.1,75.0,76.0,0.0,45.2,-76.0,73.3,429.5
EUR_JPY,0.5,0.2,8,0.06,75.0,76.0,0.0,45.2,-76.0,68.9,429.5
EUR_JPY,0.5,0.25,8,0.04,75.0,76.0,0.0,45.2,-76.0,66.7,429.5
EUR_JPY,0.5,0.3,8,0.03,75.0,76.0,0.0,45.2,-76.0,64.5,429.5
EUR_JPY,0.5,0.4,8,-0.01,75.0,76.0,-0.0,45.2,-76.0,60.1,429.5
EUR_JPY,0.5,0.5,8,-0.04,50.0,76.3,-0.0,45.2,-76.0,55.7,429.5
EUR_JPY,1.0,0.1,8,0.35,75.0,76.0,0.0,45.6,-76.0,74.1,429.5
EUR_JPY,1.0,0.2,8,0.32,75.0,76.0,0.0,45.6,-76.0,71.6,429.5
EUR_JPY,1.0,0.25,8,0.3,75.0,76.0,0.0,45.6,-76.0,70.4,429.5
EUR_JPY,1.0,0.3,8,0.28,75.0,76.0,0.0,45.6,-76.0,69.2,429.5
EUR_JPY,1.0,0.4,8,0.25,75.0,76.0,0.0,45.6,-76.0,66.7,429.5
EUR_JPY,1.0,0.5,8,0.21,75.0,76.0,0.0,45.6,-76.0,64.3,429.5
EUR_JPY,1.5,0.1,8,0.42,75.0,76.0,0.01,45.9,-76.0,74.1,429.5
EUR_JPY,1.5,0.2,8,0.38,75.0,76.0,0.01,45.9,-76.0,71.6,429.5
EUR_JPY,1.5,0.25,8,0.36,75.0,76.0,0.0,45.9,-76.0,70.4,429.5
EUR_JPY,1.5,0.3,8,0.35,75.0,76.0,0.0,45.9,-76.0,69.2,429.5
EUR_JPY,1.5,0.4,8,0.31,75.0,76.0,0.0,45.9,-76.0,66.7,429.5
EUR_JPY,1.5,0.5,8,0.28,75.0,76.0,0.0,46.0,-76.0,64.3,429.5
EUR_JPY,2.0,0.1,8,0.68,75.0,76.0,0.01,48.1,-76.0,122.2,429.5
EUR_JPY,2.0,0.2,8,0.65,75.0,76.0,0.01,48.1,-76.0,118.9,429.5
EUR_JPY,2.0,0.25,8,0.63,75.0,76.0,0.01,48.1,-76.0,117.2,429.5
EUR_JPY,2.0,0.3,8,0.61,75.0,76.0,0.01,48.1,-76.0,115.5,429.5
EUR_JPY,2.0,0.4,8,0.58,75.0,76.0,0.01,48.1,-76.0,112.2,429.5
EUR_JPY,2.0,0.5,8,0.55,75.0,76.0,0.01,48.1,-76.0,108.8,429.5
GBP_USD,0.25,0.1,18,0.19,94.4,135.5,0.0,12.1,-135.5,39.2,429.5
GBP_USD,0.25,0.2,18,0.11,94.4,135.5,0.0,12.1,-135.5,35.3,429.5
GBP_USD,0.25,0.25,18,0.07,94.4,135.5,0.0,12.1,-135.5,33.4,429.5
GBP_USD,0.25,0.3,18,0.03,83.3,135.5,0.0,12.1,-135.5,31.5,429.5
GBP_USD,0.25,0.4,18,-0.05,66.7,135.5,-0.0,12.1,-135.5,27.6,429.5
GBP_USD,0.25,0.5,18,-0.13,50.0,144.1,-0.0,12.1,-135.5,23.7,429.5
GBP_USD,0.5,0.1,18,0.24,94.4,135.5,0.0,12.7,-135.5,39.2,429.5
GBP_USD,0.5,0.2,18,0.16,94.4,135.5,0.0,12.8,-135.5,35.3,429.5
GBP_USD,0.5,0.25,18,0.12,94.4,135.5,0.0,12.8,-135.5,33.4,429.5
GBP_USD,0.5,0.3,18,0.08,94.4,135.5,0.0,12.8,-135.5,31.5,429.5
GBP_USD,0.5,0.4,18,-0.0,88.9,135.5,-0.0,12.8,-135.5,27.6,429.5
GBP_USD,0.5,0.5,18,-0.08,66.7,135.5,-0.0,13.2,-135.5,23.7,429.5
GBP_USD,1.0,0.1,18,0.34,88.9,135.5,0.0,26.5,-135.5,39.2,429.5
GBP_USD,1.0,0.2,18,0.27,88.9,135.5,0.0,26.5,-135.5,35.3,429.5
GBP_USD,1.0,0.25,18,0.23,88.9,135.5,0.0,26.5,-135.5,33.4,429.5
GBP_USD,1.0,0.3,18,0.19,88.9,135.5,0.0,26.5,-135.5,31.5,429.5
GBP_USD,1.0,0.4,18,0.12,88.9,135.5,0.0,26.5,-135.5,27.6,429.5
GBP_USD,1.0,0.5,18,0.04,88.9,135.5,0.0,26.5,-135.5,23.7,429.5
GBP_USD,1.5,0.1,18,0.47,83.3,135.5,0.0,41.5,-135.5,68.8,429.5
GBP_USD,1.5,0.2,18,0.4,83.3,135.5,0.0,41.5,-135.5,64.9,429.5
GBP_USD,1.5,0.25,18,0.37,83.3,135.5,0.0,41.5,-135.5,63.0,429.5
GBP_USD,1.5,0.3,18,0.34,83.3,135.5,0.0,41.6,-135.5,61.1,429.5
GBP_USD,1.5,0.4,18,0.27,83.3,135.5,0.0,41.6,-135.5,57.2,429.5
GBP_USD,1.5,0.5,18,0.24,83.3,135.5,0.0,41.8,-135.5,53.3,429.5
GBP_USD,2.0,0.1,17,0.36,76.5,174.8,0.0,53.4,-135.5,82.5,429.5
GBP_USD,2.0,0.2,17,0.31,76.5,181.7,0.0,53.4,-135.5,78.6,429.5
GBP_USD,2.0,0.25,17,0.28,76.5,185.1,0.0,53.4,-135.5,76.7,429.5
GBP_USD,2.0,0.3,17,0.25,76.5,188.5,0.0,53.4,-135.5,74.8,429.5
GBP_USD,2.0,0.4,17,0.2,76.5,195.4,0.0,53.5,-135.5,70.9,429.5
GBP_USD,2.0,0.5,17,0.14,76.5,202.3,0.0,53.6,-135.5,67.0,429.5
AUD_JPY,0.25,0.1,14,0.05,92.9,91.1,0.0,20.0,-91.1,18.2,429.5
AUD_JPY,0.25,0.2,14,-0.01,85.7,91.1,-0.0,20.0,-91.1,14.2,429.5
AUD_JPY,0.25,0.25,14,-0.05,85.7,91.1,-0.0,20.0,-91.1,12.4,429.5
AUD_JPY,0.25,0.3,14,-0.08,78.6,91.1,-0.0,20.0,-91.1,11.4,429.5
AUD_JPY,0.25,0.4,14,-0.14,71.4,93.1,-0.0,20.0,-91.1,9.3,429.5
AUD_JPY,0.25,0.5,14,-0.2,50.0,100.5,-0.0,20.1,-91.1,7.3,429.5
AUD_JPY,0.5,0.1,14,0.11,92.9,91.1,0.0,22.1,-91.1,27.2,429.5
AUD_JPY,0.5,0.2,14,0.05,92.9,91.1,0.0,22.1,-91.1,24.9,429.5
AUD_JPY,0.5,0.25,14,0.02,92.9,91.1,0.0,22.1,-91.1,23.7,429.5
AUD_JPY,0.5,0.3,14,-0.01,92.9,91.1,-0.0,22.1,-91.1,22.6,429.5
AUD_JPY,0.5,0.4,14,-0.05,92.9,91.1,-0.0,22.1,-91.1,20.3,429.5
AUD_JPY,0.5,0.5,14,-0.11,64.3,93.5,-0.0,22.1,-91.1,17.9,429.5
AUD_JPY,1.0,0.1,13,0.5,92.3,91.1,0.01,32.7,-91.1,43.2,429.5
AUD_JPY,1.0,0.2,13,0.44,92.3,91.1,0.0,32.7,-91.1,39.2,429.5
AUD_JPY,1.0,0.25,13,0.42,92.3,91.1,0.0,32.7,-91.1,37.2,429.5
AUD_JPY,1.0,0.3,13,0.39,92.3,91.1,0.0,32.7,-91.1,35.4,429.5
AUD_JPY,1.0,0.4,13,0.36,92.3,91.1,0.0,32.8,-91.1,33.0,429.5
AUD_JPY,1.0,0.5,13,0.3,92.3,91.1,0.0,32.8,-91.1,30.6,429.5
AUD_JPY,1.5,0.1,13,0.81,92.3,91.1,0.01,33.8,-91.1,91.8,429.5
AUD_JPY,1.5,0.2,13,0.76,92.3,91.1,0.01,33.8,-91.1,87.8,429.5
