name,net,maxdd,sharpe,n_days
equal_weight_always_on,-3792.4643448218426,-5174.08199134199,-2.263444646787524,104
switch_W10,-1869.3726082251071,-4559.571991341991,-1.1310522126051625,104
switch_W20,-1949.1356385281367,-4559.571991341991,-1.1817067625670739,104
switch_W40,-3630.083020035517,-5174.08199134199,-2.1613120885046477,104
random_null_mean(k=switchW20),-3798.5545124958358,-5237.42986991342,-2.239065519042525,104
