pair,tf,ind,framing,ic_is,ic_oos,avg_is,avg_oos,t_oos,n_oos
GBP_JPY,M15,TRIX14,trend,0.0010679867544950948,-0.00422781945575832,-3.487879733017281,-4.380241612692033,-73.24940128664075,41223
GBP_JPY,M15,TRIX14,contra,-0.0010679867544950948,0.00422781945575832,-3.5213794107250567,-4.29192683696004,-72.54638285672597,41223
GBP_JPY,M15,Vortex14,trend,0.001557437595825026,-0.002000832176209946,-3.4835263393368106,-4.355759708737955,-72.73428647314266,41200
GBP_JPY,M15,Vortex14,contra,-0.001557437595825026,0.002000832176209946,-3.525766041348028,-4.316594660194263,-73.00479177392505,41200
GBP_JPY,M15,Fisher10,trend,0.003929313201469934,-0.0045306687677736344,-3.457409178814285,-4.383501928535131,-73.49022229436643,41223
GBP_JPY,M15,Fisher10,contra,-0.003929313201469934,0.0045306687677736344,-3.5520742789411326,-4.288666521116942,-72.30463357004741,41223
GBP_JPY,M15,RSI2,trend,0.026021141595949145,0.00963461143214396,-3.1227305490778017,-4.090146089945655,-32.62691225822773,10473
GBP_JPY,M15,RSI2,contra,-0.026021141595949145,-0.00963461143214396,-3.7386856052575825,-4.325131289983849,-33.565596575205575,10473
GBP_JPY,H1,TRIX14,trend,0.012975991322699016,-0.018430865985806004,-3.2992681304058507,-4.813506695129151,-21.590197152775776,10306
GBP_JPY,H1,TRIX14,contra,-0.012975991322699016,0.018430865985806004,-3.9184755489021956,-4.041713564913745,-18.166918538664003,10306
GBP_JPY,H1,Vortex14,trend,0.0052671446842713085,-0.00055168172896773,-3.473810613943802,-4.423779481704462,-19.857301073202233,10303
GBP_JPY,H1,Vortex14,contra,-0.0052671446842713085,0.00055168172896773,-3.743766909469305,-4.432165388721828,-19.894252847821416,10303
GBP_JPY,H1,Fisher10,trend,0.004614394596518013,-0.014938522770737032,-3.4853078202995036,-4.742421890161174,-21.2577333229008,10306
GBP_JPY,H1,Fisher10,contra,-0.004614394596518013,0.014938522770737032,-3.7325748752079795,-4.112798369881721,-18.4965399719723,10306
GBP_JPY,H1,RSI2,trend,0.012807367520625501,0.0030563443336900495,-3.1144535651054346,-4.001390454716357,-8.380208859693777,2661
GBP_JPY,H1,RSI2,contra,-0.012807367520625501,-0.0030563443336900495,-3.593481409946885,-4.1414130026307125,-8.559806836351424,2661
GBP_JPY,H4,TRIX14,trend,-0.008117002441061645,-0.035174110834462646,-3.473370876910693,-5.223986486486555,-6.093700387453466,2664
GBP_JPY,H4,TRIX14,contra,0.008117002441061645,0.035174110834462646,-3.070442477876103,-2.4763513513514153,-2.892538003741028,2664
GBP_JPY,H4,Vortex14,trend,0.0126219536702359,-0.022177948446736772,-2.625705531365904,-4.727064564564627,-5.513079901780121,2664
GBP_JPY,H4,Vortex14,contra,-0.0126219536702359,0.022177948446736772,-3.9199161425576476,-2.9732732732733425,-3.471597487636351,2664
GBP_JPY,H4,Fisher10,trend,0.027931521275260152,-0.04872982298711067,-1.9479458675688597,-5.879729729729801,-6.867621020674755,2664
GBP_JPY,H4,Fisher10,contra,-0.027931521275260152,0.04872982298711067,-4.5978250362494,-1.820608108108169,-2.1262247849830356,2664
GBP_JPY,H4,RSI2,trend,-0.016071314652664193,0.058339574487368956,-3.933820947922723,-1.430656934306629,-0.8671409668449738,685
GBP_JPY,H4,RSI2,contra,0.016071314652664193,-0.058339574487368956,-2.394090111176091,-5.972992700730046,-3.607507630074798,685
GBP_JPY,D1,TRIX14,trend,-0.036182948705566625,-0.03092805640085505,-7.124315352697113,-6.871760154738941,-1.62864399222747,517
GBP_JPY,D1,TRIX14,contra,0.036182948705566625,0.03092805640085505,-2.8440663900415077,-5.597678916827918,-1.324745177975166,517
GBP_JPY,D1,Vortex14,trend,-0.012922804246159174,-0.009992778588504234,-5.191694630872492,-5.858607350096759,-1.3896759799208238,517
GBP_JPY,D1,Vortex14,contra,0.012922804246159174,0.009992778588504234,-4.772734899328878,-6.610831721470102,-1.5631788980760803,517
GBP_JPY,D1,Fisher10,trend,-0.018990849749223795,-0.03747765985597366,-5.815622389306605,-8.351644100580339,-1.980557733153908,517
GBP_JPY,D1,Fisher10,contra,0.018990849749223795,0.03747765985597366,-4.141019214703446,-4.117794970986518,-0.974371906693697,517
GBP_JPY,D1,RSI2,trend,-0.07386854596504121,0.15709957091847646,-12.59129213483146,9.352343749999868,1.0260290349702985,128
GBP_JPY,D1,RSI2,contra,0.07386854596504121,-0.15709957091847646,2.481460674157224,-20.962500000000126,-2.311995708209254,128
USD_JPY,M15,TRIX14,trend,0.0009992720735323235,0.006256480785122765,-1.812707142114591,-1.868342025469981,-41.44285130585034,41225
USD_JPY,M15,TRIX14,contra,-0.0009992720735323235,-0.006256480785122765,-1.837302214367422,-1.987189812007277,-44.101707717036234,41225
USD_JPY,M15,Vortex14,trend,0.0029119878460753244,-0.0029963832009727077,-1.7977561767583463,-1.9531760479623284,-43.28514144300439,41199
USD_JPY,M15,Vortex14,contra,-0.0029119878460753244,0.0029963832009727077,-1.852278167474995,-1.902495206194325,-42.23429263282368,41199
USD_JPY,M15,Fisher10,trend,0.006153411352856574,-0.004050416215678207,-1.770749204632909,-1.9627507580351713,-43.51125032372627,41225
USD_JPY,M15,Fisher10,contra,-0.006153411352856574,0.004050416215678207,-1.8793755588363976,-1.8927810794420867,-42.03023891732707,41225
USD_JPY,M15,RSI2,trend,0.008032478428348314,0.009234282796130023,-1.7253759946673575,-1.7666020850632058,-19.247003605222062,10839
USD_JPY,M15,RSI2,contra,-0.008032478428348314,-0.009234282796130023,-1.8663042119735282,-1.9472921856259826,-21.08248833694036,10839
USD_JPY,H1,TRIX14,trend,0.004705547328659125,-0.0043173605549956485,-1.7688082168995634,-2.018948287571562,-11.434086371471938,10307
USD_JPY,H1,TRIX14,contra,-0.004705547328659125,0.0043173605549956485,-1.9706711576846596,-1.8955079072475116,-10.736662441113051,10307
USD_JPY,H1,Vortex14,trend,0.012365701612130952,0.007886426698790921,-1.647974688813983,-1.8052508977967656,-10.20689250453419,10303
