ec,vc,IS_avg,IS_t,n_IS,IS_f1,IS_f2,minf
0.3,0.3,7.327522935779959,0.7147401407316947,109,24.820588235294093,-0.6026666666664422,-0.6026666666664422
0.3,0.4,0.014598540146069008,0.001687658769517457,137,9.163999999999811,-5.243678160919302,-5.243678160919302
0.3,0.5,3.6552631578948627,0.4488605692655685,152,6.659259259259229,2.0000000000002083,2.0000000000002083
0.3,0.6,5.358083832335419,0.6904150185899767,167,4.940000000000022,5.592523364486111,4.940000000000022
0.3,0.7,-0.49411764705877054,-0.06583905641914804,187,-11.498630136986343,6.552631578947479,-11.498630136986343
0.4,0.3,9.494029850746424,1.0967426040009494,134,28.35609756097563,1.1784946236561282,1.1784946236561282
0.4,0.4,4.266467065868353,0.5762462027220636,167,15.254237288135458,-1.7361111111108984,-1.7361111111108984
0.4,0.5,5.2651282051282955,0.7646865823109545,195,10.699999999999934,2.2888888888890655,2.2888888888890655
0.4,0.6,9.266203703703772,1.3423071990107323,216,8.085714285714277,9.920143884892196,8.085714285714277
0.4,0.7,2.765020576131738,0.41993880026545843,243,-7.790425531914927,9.424161073825609,-7.790425531914927
0.5,0.3,10.103378378378517,1.2713406718551328,148,27.400000000000016,2.302941176470776,2.302941176470776
0.5,0.4,5.318579234972771,0.7770910618124601,183,15.861538461538377,-0.48898305084726773,-0.48898305084726773
0.5,0.5,5.745833333333424,0.9002099179979678,216,10.857142857142831,2.914388489208788,2.914388489208788
0.5,0.6,10.563485477178492,1.6592783027072757,241,11.251136363636379,10.167973856209251,10.167973856209251
0.5,0.7,5.147841726618744,0.8610193069276583,278,-3.266055045871605,10.574556213017845,-3.266055045871605
0.6,0.3,7.257803468208292,1.00949694649488,173,14.285185185185364,4.0689075630254115,4.0689075630254115
0.6,0.4,4.575454545454652,0.7399475176985092,220,7.50000000000003,3.031944444444593,3.031944444444593
0.6,0.5,4.029296875000101,0.6900424359029343,256,3.926666666666736,4.0849397590362635,3.926666666666736
0.6,0.6,9.49201388888897,1.6175831586018607,288,9.118095238095336,9.70655737704925,9.118095238095336
0.6,0.7,4.947590361445837,0.901830715196902,332,-3.0671874999999686,9.976470588235362,-3.0671874999999686
0.7,0.3,1.1005235602095802,0.1575634666638758,191,12.4586206896553,-3.8526315789472005,-3.8526315789472005
0.7,0.4,0.27258064516137154,0.04649531494260488,248,5.011904761904771,-2.15487804878037,-2.15487804878037
0.7,0.5,0.4541379310345625,0.08322495431610977,290,2.3728155339806283,-0.6026737967913456,-0.6026737967913456
0.7,0.6,6.428484848484924,1.1817552037024037,330,7.94500000000009,5.561904761904829,5.561904761904829
0.7,0.7,2.6603174603175126,0.5236457365172495,378,-2.7438356164383206,6.061206896551788,-2.7438356164383206
