gate,f1,f2,f3,f4,allpos,fold_range,n
G0 ungated,-13.77148148148143,19.58029739776958,-1.2541666666665827,23.750362318840633,False,37.5,1103
G1 vol&ac (curr),-2.734374999999769,32.46046511627918,15.591549295774584,57.85446428571434,False,60.6,301
G2 eff_chop,-17.043065693430588,16.576515151515057,-0.18671328671309304,30.547586206896625,False,47.6,557
G3 path_calm,-1.1357142857141156,10.67626262626267,14.490298507462851,26.859090909091016,False,28.0,550
G4 fastvol,-30.357746478873196,8.545112781954968,-13.290476190475898,32.788721804511454,False,63.1,442
G5 eff&ac,-26.876190476190438,24.659677419354754,10.478205128205202,42.26914893617029,False,69.1,297
G6 eff&vol,14.845714285714426,8.575238095238069,2.9702380952382765,30.028181818181963,True,27.1,334
