fast,slow,ag,trig,ma,K,exp,wr,n,tdpp,pdpp,pairs_pos,pairs_n,wf_pos,med_meat,med_sp
10s,5m,basis,two_outside,5,1.5,-3.664384385654208,0.0032733224222585926,611,1.9581658355570462,-0.5979560260280637,0,12,0,0.347117344398562,2.2502899169921875
10s,5m,basis,two_outside,9,1.0,-2.2903436305590823,0.021449267953354962,547711,1755.3338264464571,-335.0264707422121,0,12,0,0.5908564049732945,1.9001960754394531
10s,5m,basis,two_outside,9,1.5,-3.01207804901991,0.015048822515795519,17410,55.79650932413776,-14.005286745597507,0,12,0,0.7072355463488833,2.100372314453125
10s,5m,basis,two_outside,9,2.0,-5.442995365343034,0.013157894736842105,152,0.48713781833825043,-0.22095740729153446,0,12,0,1.0614102133295944,2.9750823974609375
10s,5m,basis,two_outside,14,1.0,-2.2932038557227323,0.045670788664746505,898189,2878.56467049615,-550.094633444084,0,12,0,0.828589131354196,1.9502639770507812
10s,5m,basis,two_outside,14,1.5,-2.2796770687784598,0.08140570295266428,197652,633.4458162512623,-120.33765846847137,0,12,0,1.250806545051164,1.9001007080078125
10s,5m,basis,two_outside,14,2.0,-4.163500325126828,0.05580896163133888,3727,11.94449111149118,-4.144241052180669,0,12,0,1.317738613002728,2.3502349853515625
10s,5m,basis,two_outside,20,1.0,-2.3152468263874746,0.06791185411630277,938172,3006.704350697586,-580.1052254864999,0,12,0,1.013293214818134,1.999664306640625
10s,5m,basis,two_outside,20,1.5,-2.239833890786379,0.11881077010167107,400999,1285.143276419869,-239.87562208678912,0,12,0,1.6163921609418708,1.9496679306030273
10s,5m,basis,two_outside,20,2.0,-2.472826364605338,0.13054638797213056,40905,131.0945556521456,-27.014506122737284,0,12,0,2.016102276401477,1.9001960754394531
10s,5m,basis,two_outside,20,2.5,-6.947923852426948,0.08050314465408805,795,2.5478589840717705,-1.4751941840043787,0,12,0,2.4194814097661776,3.800201416015625
10s,5m,basis,two_outside,50,1.0,-2.367177683567816,0.16158422476034096,662608,2123.561944299154,-418.9040370182366,0,12,0,1.6519349324117805,2.0003318786621094
10s,5m,basis,two_outside,50,1.5,-2.269516260244565,0.2011563754782004,506064,1621.8612690758443,-306.73671016904285,0,12,0,2.6126238897035137,1.999664306640625
10s,5m,basis,two_outside,50,2.0,-2.2458218748223806,0.18782906649580744,215382,690.2678788771648,-129.18489182246518,0,12,0,3.5967161256988955,1.9502639770507812
10s,5m,basis,two_outside,50,2.5,-2.3554886920993416,0.17268160819834177,49571,158.86782100556192,-31.18427965975528,0,12,0,4.536336807831853,1.9502639770507812
10s,5m,basis,two_outside,50,3.0,-3.2193974880976137,0.1522535435578914,6279,20.123278693064965,-5.398736073061798,0,12,0,5.701542568788964,2.0498037338256836
30s,1h,both,reenter,5,1.0,-2.205958318486055,0.038461538461538464,156,0.499957435514805,-0.09190710531356998,0,12,0,0.5310905171540536,1.7999649047851562
30s,1h,both,reenter,9,1.0,-2.186675879778188,0.09222665317540622,33602,107.68954966774665,-19.623511730219732,0,12,0,1.1276620677269644,1.93328857421875
