pair,ws_thr,tp,tc_s5,n,ppd,wr,mdd,calmar,mean_hold_s5,days
GBP_JPY,2.0,20.0,60,2478,-46.26,22.8,17635.4,-0.0,58.5,381.4
GBP_JPY,2.0,20.0,720,1689,-30.54,49.1,11666.7,-0.0,542.0,381.4
GBP_JPY,2.0,20.0,2880,1248,-24.12,64.7,9265.3,-0.0,1531.6,381.4
GBP_JPY,2.0,20.0,17280,808,-5.33,84.4,2852.3,-0.0,4675.1,381.4
GBP_JPY,2.0,30.0,60,2471,-46.23,22.5,17621.4,-0.0,59.5,381.4
GBP_JPY,2.0,30.0,720,1586,-29.91,42.2,11414.9,-0.0,626.3,381.4
GBP_JPY,2.0,30.0,2880,1083,-24.72,54.0,9522.9,-0.0,1987.4,381.4
GBP_JPY,2.0,30.0,17280,598,-12.22,74.6,5191.3,-0.0,7084.2,381.4
USD_JPY,0.5,5.0,60,28394,-264.26,28.4,96363.8,-0.0,53.3,364.7
USD_JPY,0.5,5.0,720,11949,-104.02,69.4,37945.0,-0.0,345.6,364.7
USD_JPY,0.5,5.0,2880,6471,-56.02,83.3,20451.1,-0.0,801.5,364.7
USD_JPY,0.5,5.0,17280,2875,-22.17,93.4,8141.7,-0.0,2028.6,364.7
USD_JPY,0.5,10.0,60,27432,-255.76,23.8,93264.4,-0.0,58.4,364.7
USD_JPY,0.5,10.0,720,9016,-77.53,53.8,28290.8,-0.0,505.1,364.7
USD_JPY,0.5,10.0,2880,4275,-40.11,72.0,14643.5,-0.0,1287.9,364.7
USD_JPY,0.5,10.0,17280,1713,-17.06,88.4,6572.0,-0.0,3506.7,364.7
USD_JPY,0.5,20.0,60,27131,-253.55,23.2,92456.8,-0.0,59.8,364.7
USD_JPY,0.5,20.0,720,7415,-55.24,44.0,20189.9,-0.0,642.1,364.7
USD_JPY,0.5,20.0,2880,2952,-27.84,57.1,10537.9,-0.0,1936.1,364.7
USD_JPY,0.5,20.0,17280,1022,-6.89,80.7,3516.2,-0.0,5996.2,364.7
USD_JPY,0.5,30.0,60,27101,-253.86,23.1,92569.0,-0.0,59.9,364.7
USD_JPY,0.5,30.0,720,6956,-56.72,41.2,20764.8,-0.0,690.6,364.7
USD_JPY,0.5,30.0,2880,2465,-29.06,48.5,10845.4,-0.0,2342.1,364.7
USD_JPY,0.5,30.0,17280,804,-3.01,74.1,2024.1,-0.0,7662.0,364.7
USD_JPY,1.0,5.0,60,9648,-93.37,34.9,34047.3,-0.0,50.2,364.7
USD_JPY,1.0,5.0,720,6262,-53.59,73.3,19570.2,-0.0,306.4,364.7
USD_JPY,1.0,5.0,2880,4491,-36.05,85.3,13160.2,-0.0,699.6,364.7
USD_JPY,1.0,5.0,17280,2272,-25.22,92.7,9242.4,-0.0,2089.7,364.7
USD_JPY,1.0,10.0,60,9345,-92.23,27.8,33631.0,-0.0,57.3,364.7
USD_JPY,1.0,10.0,720,5107,-43.55,58.0,16016.7,-0.0,465.7,364.7
USD_JPY,1.0,10.0,2880,3212,-30.14,74.2,11256.5,-0.0,1190.6,364.7
USD_JPY,1.0,10.0,17280,1464,-17.52,88.3,6658.7,-0.0,3584.4,364.7
USD_JPY,1.0,20.0,60,9230,-91.03,26.9,33195.8,-0.0,59.6,364.7
USD_JPY,1.0,20.0,720,4286,-33.95,45.9,12611.9,-0.0,619.9,364.7
USD_JPY,1.0,20.0,2880,2304,-23.53,58.2,9123.5,-0.0,1860.0,364.7
USD_JPY,1.0,20.0,17280,971,-5.36,81.4,3158.0,-0.0,5782.0,364.7
USD_JPY,1.0,30.0,60,9208,-91.11,26.8,33224.9,-0.0,59.9,364.7
USD_JPY,1.0,30.0,720,4004,-35.28,42.6,13000.9,-0.0,679.9,364.7
USD_JPY,1.0,30.0,2880,1939,-25.04,49.4,9248.0,-0.0,2288.8,364.7
USD_JPY,1.0,30.0,17280,696,-11.45,70.7,5036.2,-0.0,8309.6,364.7
USD_JPY,1.5,5.0,60,3509,-33.13,41.0,12081.7,-0.0,46.8,364.7
USD_JPY,1.5,5.0,720,2799,-21.89,77.0,8032.9,-0.0,268.2,364.7
USD_JPY,1.5,5.0,2880,2316,-19.46,85.8,7172.9,-0.0,641.5,364.7
USD_JPY,1.5,5.0,17280,1597,-14.51,93.3,5414.0,-0.0,1894.5,364.7
USD_JPY,1.5,10.0,60,3416,-34.39,30.9,12538.8,-0.0,55.7,364.7
USD_JPY,1.5,10.0,720,2419,-19.26,62.1,7222.8,-0.0,422.9,364.7
USD_JPY,1.5,10.0,2880,1874,-19.25,74.8,7315.6,-0.0,1092.5,364.7
USD_JPY,1.5,10.0,17280,1100,-12.13,88.4,4759.5,-0.0,3476.8,364.7
USD_JPY,1.5,20.0,60,3380,-34.43,29.1,12560.6,-0.0,59.1,364.7
USD_JPY,1.5,20.0,720,2132,-15.91,48.7,5943.4,-0.0,587.6,364.7
USD_JPY,1.5,20.0,2880,1462,-17.18,58.5,6641.2,-0.0,1753.4,364.7
USD_JPY,1.5,20.0,17280,770,-6.74,80.5,3004.6,-0.0,5814.0,364.7
USD_JPY,1.5,30.0,60,3371,-34.32,29.0,12521.9,-0.0,59.7,364.7
USD_JPY,1.5,30.0,720,1990,-18.91,43.4,7030.3,-0.0,663.3,364.7
USD_JPY,1.5,30.0,2880,1269,-20.68,49.6,7656.0,-0.0,2195.9,364.7
USD_JPY,1.5,30.0,17280,616,-6.76,71.8,3411.7,-0.0,7914.1,364.7
USD_JPY,2.0,5.0,60,1365,-13.94,46.3,5091.8,-0.0,43.5,364.7
USD_JPY,2.0,5.0,720,1189,-10.37,78.9,3872.2,-0.0,241.1,364.7
USD_JPY,2.0,5.0,2880,1061,-8.0,86.4,3014.3,-0.0,583.2,364.7
USD_JPY,2.0,5.0,17280,866,-11.21,92.7,4231.7,-0.0,1855.0,364.7
USD_JPY,2.0,10.0,60,1338,-14.62,35.2,5349.8,-0.0,53.5,364.7
USD_JPY,2.0,10.0,720,1093,-8.37,66.6,3198.4,-0.0,377.1,364.7
USD_JPY,2.0,10.0,2880,939,-8.04,76.6,3085.8,-0.0,972.5,364.7
USD_JPY,2.0,10.0,17280,699,-8.27,89.0,3336.2,-0.0,3114.7,364.7
USD_JPY,2.0,20.0,60,1324,-14.31,32.3,5221.4,-0.0,58.4,364.7
USD_JPY,2.0,20.0,720,994,-7.0,52.7,2724.2,-0.0,550.6,364.7
USD_JPY,2.0,20.0,2880,796,-5.12,63.1,2027.8,-0.0,1576.5,364.7
USD_JPY,2.0,20.0,17280,537,-4.22,82.1,2164.6,-0.0,5225.3,364.7
USD_JPY,2.0,30.0,60,1319,-14.53,32.0,5303.6,-0.0,59.4,364.7
USD_JPY,2.0,30.0,720,927,-6.77,47.1,2650.5,-0.0,635.4,364.7
USD_JPY,2.0,30.0,2880,705,-6.39,53.3,2548.3,-0.0,1997.8,364.7
USD_JPY,2.0,30.0,17280,442,-4.77,74.0,2223.7,-0.0,7287.4,364.7
EUR_JPY,0.5,5.0,60,13927,-183.78,25.5,65441.7,-0.0,53.1,356.1
EUR_JPY,0.5,5.0,720,6660,-90.39,67.1,32193.3,-0.0,352.8,356.1
EUR_JPY,0.5,5.0,2880,4128,-55.42,81.3,19746.9,-0.0,821.0,356.1
EUR_JPY,0.5,5.0,17280,2074,-28.2,91.0,10144.5,-0.0,2238.4,356.1
EUR_JPY,0.5,10.0,60,13524,-179.22,19.1,63818.0,-0.0,58.2,356.1
EUR_JPY,0.5,10.0,720,5351,-74.43,50.1,26513.2,-0.0,503.5,356.1
EUR_JPY,0.5,10.0,2880,2975,-40.43,70.1,14504.6,-0.0,1301.3,356.1
EUR_JPY,0.5,10.0,17280,1353,-14.66,87.1,5764.0,-0.0,3791.9,356.1
EUR_JPY,0.5,20.0,60,13387,-178.31,18.1,63494.4,-0.0,59.8,356.1
EUR_JPY,0.5,20.0,720,4530,-62.84,38.3,22412.1,-0.0,641.1,356.1
EUR_JPY,0.5,20.0,2880,2132,-32.48,53.3,11754.9,-0.0,1996.7,356.1
EUR_JPY,0.5,20.0,17280,837,-13.06,76.3,5439.6,-0.0,6489.4,356.1
EUR_JPY,0.5,30.0,60,13371,-177.32,18.0,63143.3,-0.0,59.9,356.1
EUR_JPY,0.5,30.0,720,4275,-63.66,35.2,22714.8,-0.0,688.4,356.1
EUR_JPY,0.5,30.0,2880,1849,-30.68,46.2,11149.1,-0.0,2370.8,356.1
EUR_JPY,0.5,30.0,17280,626,-12.93,67.9,5307.8,-0.0,8925.3,356.1
EUR_JPY,1.0,5.0,60,4935,-63.6,33.4,22639.6,-0.0,49.8,356.1
EUR_JPY,1.0,5.0,720,3254,-40.39,72.3,14348.8,-0.0,309.5,356.1
EUR_JPY,1.0,5.0,2880,2364,-31.2,84.0,11085.4,-0.0,718.1,356.1
EUR_JPY,1.0,5.0,17280,1345,-16.62,91.1,5935.6,-0.0,2187.4,356.1
EUR_JPY,1.0,10.0,60,4796,-62.11,24.3,22111.1,-0.0,56.8,356.1
EUR_JPY,1.0,10.0,720,2724,-34.45,56.6,12235.4,-0.0,457.8,356.1
EUR_JPY,1.0,10.0,2880,1793,-22.39,73.2,7955.4,-0.0,1190.5,356.1
EUR_JPY,1.0,10.0,17280,1040,-10.12,88.2,3642.4,-0.0,3387.9,356.1
EUR_JPY,1.0,20.0,60,4731,-62.33,22.4,22187.3,-0.0,59.5,356.1
EUR_JPY,1.0,20.0,720,2343,-30.23,43.1,10731.3,-0.0,611.2,356.1
EUR_JPY,1.0,20.0,2880,1350,-18.6,57.9,6608.8,-0.0,1862.7,356.1
EUR_JPY,1.0,20.0,17280,685,-4.7,79.1,1793.1,-0.0,5803.8,356.1
EUR_JPY,1.0,30.0,60,4725,-62.07,22.3,22096.0,-0.0,59.8,356.1
EUR_JPY,1.0,30.0,720,2208,-31.13,39.2,11053.0,-0.0,673.2,356.1
EUR_JPY,1.0,30.0,2880,1185,-18.06,49.5,6476.3,-0.0,2259.5,356.1
EUR_JPY,1.0,30.0,17280,529,-2.16,72.4,2122.0,-0.0,8044.2,356.1
EUR_JPY,1.5,5.0,60,1816,-23.62,40.9,8405.5,-0.0,46.3,356.1
EUR_JPY,1.5,5.0,720,1438,-18.13,75.9,6457.0,-0.0,274.4,356.1
EUR_JPY,1.5,5.0,2880,1165,-17.99,83.5,6422.7,-0.0,675.8,356.1
EUR_JPY,1.5,5.0,17280,812,-6.81,91.3,2454.4,-0.0,2019.0,356.1
EUR_JPY,1.5,10.0,60,1776,-23.54,29.2,8383.0,-0.0,54.8,356.1
EUR_JPY,1.5,10.0,720,1270,-15.93,62.3,5684.2,-0.0,412.1,356.1
EUR_JPY,1.5,10.0,2880,960,-14.61,74.5,5225.7,-0.0,1083.0,356.1
EUR_JPY,1.5,10.0,17280,623,-4.68,88.6,1741.8,-0.0,3335.3,356.1
EUR_JPY,1.5,20.0,60,1748,-23.78,25.9,8479.6,-0.0,58.9,356.1
EUR_JPY,1.5,20.0,720,1109,-15.24,46.6,5479.1,-0.0,572.6,356.1
EUR_JPY,1.5,20.0,2880,751,-11.2,59.7,4169.5,-0.0,1714.1,356.1
EUR_JPY,1.5,20.0,17280,464,-0.76,80.8,1124.5,-0.0,5428.1,356.1
EUR_JPY,1.5,30.0,60,1744,-23.69,25.6,8456.2,-0.0,59.5,356.1
EUR_JPY,1.5,30.0,720,1043,-15.95,41.9,5671.4,-0.0,651.0,356.1
EUR_JPY,1.5,30.0,2880,678,-9.25,52.8,3627.0,-0.0,2113.5,356.1
EUR_JPY,1.5,30.0,17280,387,1.97,75.7,954.0,0.0,7107.7,356.1
EUR_JPY,2.0,5.0,60,728,-9.08,46.3,3227.1,-0.0,43.0,356.1
EUR_JPY,2.0,5.0,720,638,-6.93,77.9,2468.4,-0.0,246.8,356.1
EUR_JPY,2.0,5.0,2880,576,-7.03,86.3,2507.2,-0.0,584.9,356.1
EUR_JPY,2.0,5.0,17280,453,-2.68,93.2,966.3,-0.0,1587.3,356.1
EUR_JPY,2.0,10.0,60,718,-9.21,32.7,3281.4,-0.0,52.5,356.1
EUR_JPY,2.0,10.0,720,579,-6.97,64.9,2473.6,-0.0,382.3,356.1
EUR_JPY,2.0,10.0,2880,485,-6.88,77.5,2445.0,-0.0,991.7,356.1
EUR_JPY,2.0,10.0,17280,360,-1.04,91.1,502.9,-0.0,2853.9,356.1
EUR_JPY,2.0,20.0,60,710,-9.3,28.0,3304.9,-0.0,57.9,356.1
EUR_JPY,2.0,20.0,720,531,-5.84,50.8,2084.7,-0.0,531.4,356.1
EUR_JPY,2.0,20.0,2880,411,-5.38,65.0,1955.8,-0.0,1558.6,356.1
EUR_JPY,2.0,20.0,17280,282,-1.02,82.6,813.2,-0.0,4894.5,356.1
EUR_JPY,2.0,30.0,60,706,-9.28,27.2,3308.5,-0.0,59.0,356.1
EUR_JPY,2.0,30.0,720,494,-7.26,43.9,2615.2,-0.0,628.7,356.1
EUR_JPY,2.0,30.0,2880,365,-4.1,58.6,1502.8,-0.0,1976.3,356.1
EUR_JPY,2.0,30.0,17280,243,0.65,78.2,821.1,0.0,6472.4,356.1
AUD_JPY,0.5,5.0,60,13960,-155.53,17.9,59978.9,-0.0,56.0,385.6
AUD_JPY,0.5,5.0,720,7007,-82.33,60.0,31754.1,-0.0,415.0,385.6
AUD_JPY,0.5,5.0,2880,4273,-48.26,78.4,18618.1,-0.0,981.8,385.6
AUD_JPY,0.5,5.0,17280,1994,-23.8,89.3,9187.9,-0.0,2724.2,385.6
AUD_JPY,0.5,10.0,60,13746,-153.58,14.4,59225.4,-0.0,59.2,385.6
AUD_JPY,0.5,10.0,720,5796,-68.26,44.0,26318.2,-0.0,563.3,385.6
AUD_JPY,0.5,10.0,2880,3091,-34.62,65.1,13369.7,-0.0,1519.3,385.6
AUD_JPY,0.5,10.0,17280,1306,-14.79,84.5,5806.2,-0.0,4467.2,385.6
AUD_JPY,0.5,20.0,60,13702,-152.81,14.0,58928.3,-0.0,59.9,385.6
AUD_JPY,0.5,20.0,720,5096,-62.11,35.6,23952.1,-0.0,678.1,385.6
AUD_JPY,0.5,20.0,2880,2279,-30.94,48.9,12058.4,-0.0,2209.2,385.6
AUD_JPY,0.5,20.0,17280,817,-10.26,72.9,4225.0,-0.0,7478.0,385.6
AUD_JPY,0.5,30.0,60,13697,-152.75,14.0,58906.4,-0.0,60.0,385.6
AUD_JPY,0.5,30.0,720,4946,-60.0,34.6,23143.4,-0.0,704.5,385.6
AUD_JPY,0.5,30.0,2880,2004,-29.35,42.1,11515.2,-0.0,2564.0,385.6
AUD_JPY,0.5,30.0,17280,637,-6.94,64.7,3563.9,-0.0,9643.7,385.6
AUD_JPY,1.0,5.0,60,2916,-32.94,26.4,12701.1,-0.0,52.7,385.6
AUD_JPY,1.0,5.0,720,2207,-25.12,67.1,9653.6,-0.0,358.5,385.6
AUD_JPY,1.0,5.0,2880,1772,-18.38,82.3,7100.4,-0.0,843.0,385.6
AUD_JPY,1.0,5.0,17280,1124,-15.5,90.7,5833.8,-0.0,2520.3,385.6
AUD_JPY,1.0,10.0,60,2869,-32.46,20.3,12520.9,-0.0,58.0,385.6
