spike,m1_min,peak_mode,peak_frac,tp_K,sl_K,max_hold,n,sum_pips,ppd,wr,tp_pct,sl_pct,time_pct,mean_pnl,mdd,mean_sp_entry
120.0,0.0,0,0.7,1.0,3.0,120,272,-973.9,-2.73,48.2,45.6,38.6,15.8,-3.58,1005.8,5.75
120.0,0.0,0,0.7,2.0,1.0,12,283,-709.8,-1.99,25.1,20.8,67.5,11.7,-2.51,724.1,5.88
120.0,0.0,0,0.7,2.0,1.0,60,282,-599.4,-1.68,26.2,23.4,69.1,7.4,-2.13,646.7,5.85
120.0,0.0,0,0.7,2.0,1.0,120,281,-573.9,-1.61,26.7,23.8,69.4,6.8,-2.04,622.5,5.82
120.0,0.0,0,0.7,2.0,2.0,12,277,-756.7,-2.12,35.4,26.4,42.6,31.0,-2.73,791.0,5.87
120.0,0.0,0,0.7,2.0,2.0,60,270,-671.8,-1.89,36.7,30.7,48.9,20.4,-2.49,750.4,5.78
120.0,0.0,0,0.7,2.0,2.0,120,269,-615.3,-1.73,37.2,32.7,50.9,16.4,-2.29,701.4,5.75
120.0,0.0,0,0.7,2.0,3.0,12,276,-864.5,-2.43,40.6,29.0,35.1,35.9,-3.13,904.7,5.88
120.0,0.0,0,0.7,2.0,3.0,60,269,-772.3,-2.17,43.1,36.8,40.1,23.0,-2.87,843.9,5.79
120.0,0.0,0,0.7,2.0,3.0,120,268,-691.7,-1.94,44.0,39.6,41.0,19.4,-2.58,770.6,5.76
120.0,0.0,0,0.7,3.0,1.0,12,280,-685.1,-1.92,22.1,15.0,70.0,15.0,-2.45,706.8,5.9
120.0,0.0,0,0.7,3.0,1.0,60,276,-529.3,-1.49,22.5,18.1,72.8,9.1,-1.92,594.5,5.87
120.0,0.0,0,0.7,3.0,1.0,120,275,-491.0,-1.38,22.9,18.9,73.1,8.0,-1.79,556.6,5.83
120.0,0.0,0,0.7,3.0,2.0,12,275,-641.7,-1.8,33.5,20.0,44.0,36.0,-2.33,726.4,5.88
120.0,0.0,0,0.7,3.0,2.0,60,266,-555.7,-1.56,33.1,25.2,51.9,22.9,-2.09,665.0,5.8
120.0,0.0,0,0.7,3.0,2.0,120,265,-499.7,-1.4,33.6,27.2,54.3,18.5,-1.89,627.3,5.76
120.0,0.0,0,0.7,3.0,3.0,12,274,-744.3,-2.09,38.3,21.9,36.1,42.0,-2.72,824.8,5.89
120.0,0.0,0,0.7,3.0,3.0,60,264,-600.2,-1.69,39.0,30.3,43.2,26.5,-2.27,703.5,5.77
120.0,0.0,0,0.7,3.0,3.0,120,263,-506.5,-1.42,39.9,33.5,44.9,21.7,-1.93,622.8,5.74
120.0,0.0,1,0.5,1.0,1.0,12,615,-2634.0,-7.4,24.4,22.1,71.5,6.3,-4.28,2635.6,6.33
120.0,0.0,1,0.5,1.0,1.0,60,613,-2548.8,-7.16,24.8,24.0,72.9,3.1,-4.16,2550.4,6.3
120.0,0.0,1,0.5,1.0,1.0,120,613,-2518.2,-7.07,25.4,24.6,73.4,2.0,-4.11,2519.8,6.3
120.0,0.0,1,0.5,1.0,2.0,12,595,-3018.3,-8.48,34.1,30.9,40.0,29.1,-5.07,3027.3,6.24
120.0,0.0,1,0.5,1.0,2.0,60,579,-2501.8,-7.03,37.8,35.6,44.9,19.5,-4.32,2512.8,6.02
120.0,0.0,1,0.5,1.0,2.0,120,573,-2401.2,-6.74,38.9,37.0,46.8,16.2,-4.19,2417.4,5.93
120.0,0.0,1,0.5,1.0,3.0,12,586,-3197.0,-8.98,38.6,35.2,28.5,36.3,-5.46,3238.6,6.28
120.0,0.0,1,0.5,1.0,3.0,60,561,-2524.8,-7.09,44.7,42.1,34.0,23.9,-4.5,2585.4,5.98
120.0,0.0,1,0.5,1.0,3.0,120,554,-2420.2,-6.8,46.6,44.4,36.3,19.3,-4.37,2486.0,5.87
120.0,0.0,1,0.5,2.0,1.0,12,604,-2410.0,-6.77,20.9,15.7,74.5,9.8,-3.99,2422.6,6.37
120.0,0.0,1,0.5,2.0,1.0,60,602,-2250.2,-6.32,20.9,19.4,76.7,3.8,-3.74,2266.2,6.34
120.0,0.0,1,0.5,2.0,1.0,120,602,-2221.8,-6.24,21.4,20.1,77.4,2.5,-3.69,2237.8,6.34
120.0,0.0,1,0.5,2.0,2.0,12,581,-2741.1,-7.7,29.8,22.0,42.9,35.1,-4.72,2776.8,6.29
120.0,0.0,1,0.5,2.0,2.0,60,561,-2150.1,-6.04,32.1,28.3,49.7,21.9,-3.83,2208.8,6.06
120.0,0.0,1,0.5,2.0,2.0,120,555,-2121.1,-5.96,32.6,29.7,52.3,18.0,-3.82,2185.0,5.97
120.0,0.0,1,0.5,2.0,3.0,12,571,-2871.5,-8.06,34.2,25.4,30.5,44.1,-5.03,2966.1,6.33
120.0,0.0,1,0.5,2.0,3.0,60,544,-2067.8,-5.81,39.5,34.7,37.7,27.6,-3.8,2217.6,6.03
120.0,0.0,1,0.5,2.0,3.0,120,536,-2065.8,-5.8,40.9,37.1,41.2,21.6,-3.85,2222.0,5.92
120.0,0.0,1,0.5,3.0,1.0,12,599,-2236.2,-6.28,19.4,12.4,76.0,11.7,-3.73,2259.4,6.39
120.0,0.0,1,0.5,3.0,1.0,60,597,-2115.5,-5.94,17.9,15.2,79.4,5.4,-3.54,2142.3,6.37
120.0,0.0,1,0.5,3.0,1.0,120,596,-2084.9,-5.85,18.1,15.9,80.7,3.4,-3.5,2107.0,6.35
120.0,0.0,1,0.5,3.0,2.0,12,576,-2497.3,-7.01,28.5,16.5,43.8,39.8,-4.34,2531.6,6.31
120.0,0.0,1,0.5,3.0,2.0,60,556,-1921.6,-5.4,28.8,23.0,52.5,24.5,-3.46,1970.9,6.08
120.0,0.0,1,0.5,3.0,2.0,120,550,-1940.9,-5.45,28.7,24.5,55.3,20.2,-3.53,1986.9,5.99
120.0,0.0,1,0.5,3.0,3.0,12,562,-2656.0,-7.46,32.6,17.8,31.3,50.9,-4.73,2741.7,6.38
120.0,0.0,1,0.5,3.0,3.0,60,535,-1906.2,-5.35,35.5,27.7,40.9,31.4,-3.56,2034.8,6.08
120.0,0.0,1,0.5,3.0,3.0,120,527,-1931.6,-5.42,35.9,30.7,44.6,24.7,-3.67,2052.1,5.96
120.0,5.0,0,0.3,1.0,1.0,12,203,-739.9,-2.08,25.6,23.6,67.5,8.9,-3.64,752.4,6.31
120.0,5.0,0,0.3,1.0,1.0,60,202,-712.4,-2.0,26.7,25.2,69.8,5.0,-3.53,724.9,6.27
120.0,5.0,0,0.3,1.0,1.0,120,202,-706.4,-1.98,26.7,25.7,69.8,4.5,-3.5,718.9,6.27
120.0,5.0,0,0.3,1.0,2.0,12,199,-730.9,-2.05,38.7,33.7,38.7,27.6,-3.67,743.4,6.31
120.0,5.0,0,0.3,1.0,2.0,60,195,-683.5,-1.92,40.5,37.4,43.6,19.0,-3.51,696.0,6.21
120.0,5.0,0,0.3,1.0,2.0,120,195,-658.0,-1.85,40.5,39.0,44.6,16.4,-3.37,673.6,6.21
120.0,5.0,0,0.3,1.0,3.0,12,198,-731.2,-2.05,46.5,40.4,28.8,30.8,-3.69,743.7,6.32
120.0,5.0,0,0.3,1.0,3.0,60,194,-715.9,-2.01,49.0,45.4,32.5,22.2,-3.69,732.6,6.23
120.0,5.0,0,0.3,1.0,3.0,120,194,-692.4,-1.94,49.0,47.4,33.0,19.6,-3.57,714.3,6.23
120.0,5.0,0,0.3,2.0,1.0,12,203,-656.3,-1.84,22.7,18.2,70.4,11.3,-3.23,666.0,6.31
120.0,5.0,0,0.3,2.0,1.0,60,202,-586.0,-1.65,23.8,20.8,72.8,6.4,-2.9,613.2,6.27
120.0,5.0,0,0.3,2.0,1.0,120,202,-593.8,-1.67,23.3,20.8,72.8,6.4,-2.94,621.0,6.27
120.0,5.0,0,0.3,2.0,2.0,12,198,-590.6,-1.66,35.9,26.3,40.4,33.3,-2.98,621.5,6.3
120.0,5.0,0,0.3,2.0,2.0,60,194,-593.5,-1.67,36.1,30.4,46.9,22.7,-3.06,642.6,6.2
120.0,5.0,0,0.3,2.0,2.0,120,194,-524.9,-1.47,36.1,32.0,48.5,19.6,-2.71,574.8,6.2
120.0,5.0,0,0.3,2.0,3.0,12,197,-551.1,-1.55,43.7,31.0,30.5,38.6,-2.8,594.4,6.32
120.0,5.0,0,0.3,2.0,3.0,60,193,-541.5,-1.52,45.1,38.9,34.7,26.4,-2.81,613.9,6.22
120.0,5.0,0,0.3,2.0,3.0,120,193,-460.5,-1.29,45.1,40.9,35.2,23.8,-2.39,539.3,6.22
120.0,5.0,0,0.3,3.0,1.0,12,202,-637.5,-1.79,19.8,13.9,72.8,13.4,-3.16,658.3,6.32
120.0,5.0,0,0.3,3.0,1.0,60,199,-532.0,-1.49,20.6,16.6,75.9,7.5,-2.67,577.1,6.28
120.0,5.0,0,0.3,3.0,1.0,120,199,-525.6,-1.48,20.1,17.1,75.9,7.0,-2.64,581.2,6.28
120.0,5.0,0,0.3,3.0,2.0,12,198,-528.7,-1.48,33.3,20.2,42.4,37.4,-2.67,594.7,6.29
120.0,5.0,0,0.3,3.0,2.0,60,192,-528.3,-1.48,32.3,25.5,50.0,24.5,-2.75,591.0,6.2
120.0,5.0,0,0.3,3.0,2.0,120,192,-475.5,-1.34,32.3,26.6,52.1,21.4,-2.48,564.6,6.2
120.0,5.0,0,0.3,3.0,3.0,12,197,-471.4,-1.32,40.6,23.4,32.0,44.7,-2.39,536.6,6.31
120.0,5.0,0,0.3,3.0,3.0,60,190,-436.3,-1.23,40.0,32.6,38.4,28.9,-2.3,532.1,6.18
120.0,5.0,0,0.3,3.0,3.0,120,190,-368.9,-1.04,40.0,34.2,40.0,25.8,-1.94,487.3,6.18
120.0,5.0,0,0.5,1.0,1.0,12,242,-782.7,-2.2,27.7,26.0,65.3,8.7,-3.23,791.0,6.01
120.0,5.0,0,0.5,1.0,1.0,60,241,-751.2,-2.11,28.6,27.4,67.2,5.4,-3.12,758.8,5.98
120.0,5.0,0,0.5,1.0,1.0,120,241,-749.1,-2.1,28.6,27.8,67.6,4.6,-3.11,758.0,5.98
120.0,5.0,0,0.5,1.0,2.0,12,239,-821.9,-2.31,39.3,35.1,39.3,25.5,-3.44,831.2,6.01
120.0,5.0,0,0.5,1.0,2.0,60,234,-770.9,-2.16,41.0,38.0,44.4,17.5,-3.29,779.8,5.93
120.0,5.0,0,0.5,1.0,2.0,120,234,-775.0,-2.18,40.6,39.3,46.2,14.5,-3.31,784.9,5.93
120.0,5.0,0,0.5,1.0,3.0,12,238,-891.2,-2.5,45.4,40.3,31.5,28.2,-3.74,900.4,6.02
120.0,5.0,0,0.5,1.0,3.0,60,233,-870.2,-2.44,47.6,44.6,35.2,20.2,-3.73,884.7,5.94
120.0,5.0,0,0.5,1.0,3.0,120,233,-879.7,-2.47,47.6,46.4,36.1,17.6,-3.78,894.7,5.94
120.0,5.0,0,0.5,2.0,1.0,12,241,-660.0,-1.85,24.5,20.7,68.0,11.2,-2.74,666.5,6.03
120.0,5.0,0,0.5,2.0,1.0,60,240,-578.8,-1.63,25.8,22.9,70.0,7.1,-2.41,602.8,5.99
120.0,5.0,0,0.5,2.0,1.0,120,240,-586.3,-1.65,25.4,23.3,70.4,6.2,-2.44,610.8,5.99
120.0,5.0,0,0.5,2.0,2.0,12,237,-636.7,-1.79,36.3,27.4,40.9,31.6,-2.69,664.9,6.02
120.0,5.0,0,0.5,2.0,2.0,60,232,-631.9,-1.77,37.1,31.0,47.4,21.6,-2.72,681.5,5.94
120.0,5.0,0,0.5,2.0,2.0,120,232,-582.1,-1.63,36.6,33.2,49.6,17.2,-2.51,639.2,5.94
120.0,5.0,0,0.5,2.0,3.0,12,236,-655.8,-1.84,42.8,30.9,32.6,36.4,-2.78,689.7,6.02
120.0,5.0,0,0.5,2.0,3.0,60,231,-647.2,-1.82,44.2,38.1,37.2,24.7,-2.8,701.2,5.94
120.0,5.0,0,0.5,2.0,3.0,120,231,-588.4,-1.65,44.2,40.7,38.1,21.2,-2.55,649.7,5.94
120.0,5.0,0,0.5,3.0,1.0,12,239,-615.2,-1.73,21.8,15.5,70.3,14.2,-2.57,628.5,6.05
120.0,5.0,0,0.5,3.0,1.0,60,236,-500.6,-1.41,22.5,18.6,73.3,8.1,-2.12,548.9,6.0
120.0,5.0,0,0.5,3.0,1.0,120,236,-491.6,-1.38,22.0,19.1,73.7,7.2,-2.08,546.8,6.0
120.0,5.0,0,0.5,3.0,2.0,12,236,-552.6,-1.55,33.9,20.3,42.8,36.9,-2.34,609.0,6.02
