pair,ws_thr,tp_pips,hold_min,trades,is_n,oos_n,is_pd,oos_pd,is_net,oos_net,oos_dd,oos_wr,tp_rate,n_long_pct
USD_JPY,1.0,2.0,2,174480,117034,57446,-1247.8,-1285.05,-197921.3,-101915.1,-299837.0,32.7,33.5,49.3
USD_JPY,1.0,2.0,5,95322,63969,31353,-674.83,-696.69,-107038.8,-55253.0,-162292.5,50.1,53.1,49.5
USD_JPY,1.0,2.0,10,61941,41565,20376,-437.62,-449.29,-69414.3,-35632.4,-105048.4,62.2,65.9,49.2
USD_JPY,1.0,2.0,30,32966,22283,10683,-230.78,-242.64,-36605.1,-19243.0,-55850.2,74.9,80.3,49.8
USD_JPY,1.0,3.0,1,265031,178218,86813,-1911.97,-1948.4,-303269.9,-154524.6,-457794.5,16.1,8.9,49.0
USD_JPY,1.0,3.0,2,158566,106338,52228,-1137.43,-1176.79,-180414.8,-93328.9,-273744.2,25.0,18.7,49.2
USD_JPY,1.0,3.0,5,80472,53919,26553,-563.82,-587.25,-89430.5,-46574.1,-136006.6,40.1,37.6,49.4
USD_JPY,1.0,3.0,10,49825,33523,16302,-338.99,-355.32,-53769.6,-28180.0,-81949.5,52.5,53.0,49.3
USD_JPY,1.0,3.0,30,24971,16924,8047,-168.39,-185.32,-26710.1,-14697.1,-41423.2,68.8,72.0,49.6
USD_JPY,1.0,5.0,1,258853,174085,84768,-1857.49,-1897.17,-294628.6,-150461.8,-445090.4,14.8,2.3,48.9
USD_JPY,1.0,5.0,2,149424,100123,49301,-1067.54,-1100.02,-169330.1,-87241.1,-256571.6,21.7,6.4,49.3
USD_JPY,1.0,5.0,5,69811,46597,23214,-488.41,-519.72,-77470.0,-41218.0,-118694.4,32.3,18.8,49.0
USD_JPY,1.0,5.0,10,40171,26815,13356,-274.7,-289.45,-43571.3,-22955.7,-66527.0,42.1,33.2,49.3
USD_JPY,1.0,5.0,30,18238,12261,5977,-118.48,-124.68,-18792.1,-9887.8,-28688.2,58.3,57.4,49.1
USD_JPY,1.5,1.0,1,287296,193405,93891,-2092.66,-2107.41,-331930.5,-167135.0,-499065.5,9.6,43.8,49.3
USD_JPY,1.5,1.0,2,203007,136208,66799,-1466.22,-1489.84,-232566.1,-118156.6,-350722.7,12.2,57.8,49.4
USD_JPY,1.5,1.0,5,126463,84467,41996,-909.31,-928.45,-144231.4,-73633.9,-217865.3,15.2,72.2,49.6
USD_JPY,1.5,1.0,10,89250,59637,29613,-632.22,-653.39,-100280.7,-51819.1,-152099.8,16.7,80.5,49.5
USD_JPY,1.5,1.0,30,51859,34679,17180,-367.12,-372.36,-58231.3,-29531.6,-87762.9,19.2,89.0,49.5
USD_JPY,1.5,2.0,1,251508,169340,82168,-1817.06,-1835.25,-288216.1,-145550.5,-433766.6,21.3,20.8,49.2
USD_JPY,1.5,2.0,2,163550,109772,53778,-1174.06,-1194.41,-186225.9,-94726.7,-280952.6,33.4,34.4,49.3
USD_JPY,1.5,2.0,5,92042,61565,30477,-655.39,-663.14,-103955.0,-52592.6,-156547.6,51.4,53.7,49.6
USD_JPY,1.5,2.0,10,61161,40867,20294,-427.64,-435.22,-67830.4,-34516.6,-102348.8,63.0,66.7,49.4
USD_JPY,1.5,2.0,30,32993,22226,10767,-224.48,-239.06,-35605.5,-18959.8,-54572.6,75.2,80.6,49.2
USD_JPY,1.5,3.0,1,239666,161371,78295,-1731.36,-1747.36,-274622.8,-138579.9,-413204.8,16.9,9.3,49.3
USD_JPY,1.5,3.0,2,148797,99893,48904,-1067.89,-1079.12,-169384.9,-85582.9,-254969.8,26.0,19.2,49.3
USD_JPY,1.5,3.0,5,77732,52143,25589,-551.08,-561.16,-87410.8,-44504.3,-131917.2,40.5,37.8,49.6
USD_JPY,1.5,3.0,10,48845,32735,16110,-336.35,-342.6,-53350.8,-27171.0,-80529.1,53.2,53.2,49.4
USD_JPY,1.5,3.0,30,25057,16802,8255,-164.56,-171.49,-26102.7,-13600.9,-39714.1,70.1,72.6,49.7
USD_JPY,1.5,5.0,1,233991,157600,76391,-1680.87,-1705.2,-266614.1,-135236.5,-401853.3,15.4,2.4,49.2
USD_JPY,1.5,5.0,2,140199,94138,46061,-993.2,-1020.46,-157537.2,-80931.1,-238468.3,22.1,6.6,49.2
USD_JPY,1.5,5.0,5,67715,45277,22438,-473.12,-487.02,-75044.7,-38624.9,-113669.8,33.1,19.1,49.0
USD_JPY,1.5,5.0,10,39460,26350,13110,-263.78,-291.32,-41839.5,-23104.2,-64944.4,41.9,33.2,49.2
USD_JPY,1.5,5.0,30,18219,12233,5986,-116.69,-126.48,-18508.8,-10030.9,-28559.4,58.1,57.6,49.7
USD_JPY,2.0,1.0,1,253701,170839,82862,-1847.69,-1857.31,-293073.9,-147300.5,-440374.4,9.7,45.5,49.4
USD_JPY,2.0,1.0,2,185262,124228,61034,-1339.86,-1359.34,-212524.5,-107806.9,-320331.4,12.1,58.9,49.5
USD_JPY,2.0,1.0,5,120239,80301,39938,-860.37,-874.29,-136468.9,-69338.3,-205807.2,14.7,73.3,49.7
USD_JPY,2.0,1.0,10,86269,57607,28662,-612.32,-631.2,-97123.8,-50059.4,-147183.2,16.2,81.0,49.7
USD_JPY,2.0,1.0,30,51183,34014,17169,-363.46,-370.71,-57651.3,-29400.7,-87052.0,17.9,89.1,49.6
USD_JPY,2.0,2.0,1,223311,150452,72859,-1622.62,-1620.19,-257374.4,-128494.9,-385869.3,22.5,21.7,49.5
USD_JPY,2.0,2.0,2,150964,101400,49564,-1083.96,-1091.7,-171933.7,-86580.8,-258514.4,34.8,35.5,49.7
USD_JPY,2.0,2.0,5,88202,59060,29142,-624.71,-635.51,-99088.9,-50401.3,-149490.2,52.1,54.6,49.5
USD_JPY,2.0,2.0,10,59140,39691,19449,-411.23,-424.31,-65227.8,-33651.6,-98880.1,62.5,66.7,49.6
USD_JPY,2.0,2.0,30,32467,21962,10505,-224.49,-227.5,-35608.2,-18042.7,-53651.6,75.6,80.7,49.7
USD_JPY,2.0,3.0,1,213041,143674,69367,-1545.92,-1541.82,-245208.6,-122278.9,-367489.6,17.7,9.8,49.5
USD_JPY,2.0,3.0,2,137543,92554,44989,-985.56,-990.2,-156326.3,-78531.1,-234859.4,26.7,19.9,49.5
USD_JPY,2.0,3.0,5,74732,50153,24579,-521.17,-520.63,-82665.7,-41290.2,-123958.9,42.1,38.9,49.4
USD_JPY,2.0,3.0,10,47584,31931,15653,-324.08,-333.15,-51405.0,-26421.3,-77831.9,53.2,53.5,49.4
USD_JPY,2.0,3.0,30,24441,16484,7957,-172.03,-172.15,-27287.1,-13652.8,-40948.9,69.4,71.9,49.4
USD_JPY,2.0,5.0,1,207918,140312,67606,-1499.74,-1502.0,-237883.8,-119120.9,-357007.4,16.3,2.6,49.3
USD_JPY,2.0,5.0,2,129590,87217,42373,-916.86,-939.21,-145429.8,-74487.1,-219916.9,22.9,6.9,49.4
USD_JPY,2.0,5.0,5,65034,43526,21508,-449.79,-462.04,-71344.0,-36643.5,-107988.8,34.1,19.6,49.0
USD_JPY,2.0,5.0,10,38572,25823,12749,-263.41,-278.11,-41780.4,-22056.3,-63840.2,42.3,33.6,49.4
USD_JPY,2.0,5.0,30,17956,12022,5934,-115.19,-128.66,-18270.3,-10203.6,-28513.2,57.9,57.1,49.7
USD_JPY,3.0,1.0,1,179219,120310,58909,-1307.25,-1343.22,-207351.9,-106528.6,-313880.5,10.4,49.2,50.0
USD_JPY,3.0,1.0,2,140920,94522,46398,-1020.95,-1046.41,-161939.3,-82989.2,-244928.5,12.6,61.7,49.9
USD_JPY,3.0,1.0,5,99188,66386,32802,-710.51,-733.62,-112698.0,-58181.9,-170879.9,14.5,74.8,50.1
USD_JPY,3.0,1.0,10,75523,50515,25008,-533.3,-552.04,-84590.6,-43781.0,-128371.6,16.0,82.2,50.1
USD_JPY,3.0,1.0,30,47173,31415,15758,-332.57,-347.16,-52751.8,-27533.0,-80284.8,17.7,89.6,50.0
USD_JPY,3.0,2.0,1,160310,107893,52417,-1166.61,-1187.62,-185043.2,-94188.3,-279231.5,25.1,24.6,50.0
USD_JPY,3.0,2.0,2,117760,79195,38565,-853.27,-859.68,-135342.8,-68180.0,-203522.8,37.4,38.1,50.0
USD_JPY,3.0,2.0,5,75214,50470,24744,-535.11,-541.52,-84877.9,-42946.8,-127824.7,53.6,56.1,50.1
USD_JPY,3.0,2.0,10,53298,35872,17426,-368.46,-385.78,-58444.1,-30595.3,-89040.2,64.3,68.1,50.3
USD_JPY,3.0,2.0,30,30830,20701,10129,-210.09,-213.27,-33324.3,-16914.3,-50240.9,76.8,81.4,50.3
USD_JPY,3.0,3.0,1,153219,103255,49964,-1112.26,-1126.27,-176423.2,-89322.3,-265746.0,19.8,11.7,50.0
USD_JPY,3.0,3.0,2,108008,72851,35157,-778.44,-784.17,-123474.1,-62191.1,-185665.7,28.8,22.0,50.0
USD_JPY,3.0,3.0,5,64372,43312,21060,-453.01,-462.44,-71854.1,-36675.3,-108532.0,42.7,40.1,50.0
USD_JPY,3.0,3.0,10,43082,29023,14059,-300.37,-311.52,-47644.0,-24705.8,-72353.5,54.0,54.2,50.0
USD_JPY,3.0,3.0,30,23474,15747,7727,-154.35,-154.09,-24482.0,-12220.8,-36718.6,71.4,72.9,50.3
USD_JPY,3.0,5.0,1,149389,100761,48628,-1080.97,-1100.95,-171459.8,-87314.2,-258774.6,17.9,3.3,49.9
USD_JPY,3.0,5.0,2,101753,68657,33096,-728.16,-735.24,-115497.5,-58310.7,-173808.3,24.8,7.9,49.9
USD_JPY,3.0,5.0,5,56421,37904,18517,-387.85,-393.35,-61518.7,-31195.8,-92723.8,35.3,20.9,50.0
USD_JPY,3.0,5.0,10,35388,23765,11623,-248.58,-258.83,-39428.1,-20527.6,-59960.8,43.3,34.5,50.2
USD_JPY,3.0,5.0,30,17269,11615,5654,-111.27,-117.43,-17649.5,-9312.9,-26975.1,58.7,57.7,50.3
EUR_JPY,0.3,1.0,1,394790,261809,132981,-4716.31,-4925.93,-760413.9,-397105.4,-1157519.3,1.0,42.6,49.2
EUR_JPY,0.3,1.0,2,253336,167895,85441,-3018.82,-3134.2,-486725.9,-252664.8,-739390.7,1.3,57.2,49.2
EUR_JPY,0.3,1.0,5,147269,97308,49961,-1737.32,-1800.84,-280109.8,-145175.0,-425284.8,1.5,72.7,49.1
EUR_JPY,0.3,1.0,10,100208,66115,34093,-1172.69,-1227.97,-189073.9,-98993.3,-288067.2,1.8,81.0,49.1
EUR_JPY,0.3,1.0,30,56550,37361,19189,-664.92,-679.45,-107205.5,-54773.8,-161979.3,2.2,89.5,49.3
EUR_JPY,0.3,2.0,1,335246,222630,112616,-4005.64,-4176.38,-645830.9,-336680.0,-982511.0,3.7,19.0,49.1
EUR_JPY,0.3,2.0,2,196623,130405,66218,-2340.51,-2443.49,-377361.9,-196983.0,-574344.9,5.8,33.3,49.2
EUR_JPY,0.3,2.0,5,102615,68165,34450,-1205.02,-1257.67,-194285.4,-101387.4,-295672.8,8.9,53.7,49.0
EUR_JPY,0.3,2.0,10,65799,43662,22137,-765.41,-794.56,-123407.9,-64053.5,-187461.4,10.8,66.8,49.2
EUR_JPY,0.3,2.0,30,35309,23385,11924,-398.67,-405.52,-64277.0,-32690.8,-96967.8,13.6,81.5,49.6
EUR_JPY,0.3,3.0,1,318823,211842,106981,-3805.6,-3963.48,-613578.8,-319517.0,-933095.8,8.0,8.1,49.1
EUR_JPY,0.3,3.0,2,177578,117938,59640,-2106.51,-2208.74,-339633.5,-178058.3,-517691.8,16.7,18.1,49.2
EUR_JPY,0.3,3.0,5,85384,56682,28702,-1003.91,-1049.36,-161860.2,-84594.8,-246455.1,33.5,37.5,49.0
EUR_JPY,0.3,3.0,10,51821,34453,17368,-592.3,-624.71,-95496.2,-50360.8,-145857.9,46.7,52.9,49.1
EUR_JPY,0.3,3.0,30,25640,17062,8578,-294.85,-299.61,-47538.8,-24153.3,-71692.4,63.6,72.3,49.3
EUR_JPY,0.3,5.0,1,311799,207290,104509,-3721.43,-3875.26,-600008.5,-312405.1,-912413.6,6.0,1.9,49.0
EUR_JPY,0.3,5.0,2,167105,111045,56060,-1980.66,-2079.76,-319342.2,-167660.1,-487002.3,11.8,5.6,49.0
EUR_JPY,0.3,5.0,5,73745,48968,24777,-869.13,-905.15,-140129.8,-72969.0,-213098.8,23.9,17.9,49.2
EUR_JPY,0.3,5.0,10,41442,27576,13866,-481.79,-509.71,-77679.6,-41090.7,-118771.6,34.9,31.9,49.0
EUR_JPY,0.3,5.0,30,18404,12280,6124,-209.25,-215.96,-33737.3,-17410.0,-51152.9,54.2,55.9,49.3
EUR_JPY,0.5,1.0,1,383661,254209,129452,-4576.34,-4784.47,-737846.6,-385701.1,-1123547.7,1.0,42.9,49.1
EUR_JPY,0.5,1.0,2,249767,165285,84482,-2964.46,-3092.25,-477961.9,-249282.9,-727244.8,1.3,57.6,49.2
EUR_JPY,0.5,1.0,5,146316,96744,49572,-1726.09,-1784.76,-278299.2,-143878.9,-422178.1,1.6,72.8,49.1
EUR_JPY,0.5,1.0,10,100279,65908,34371,-1167.05,-1226.5,-188163.5,-98874.5,-287038.0,1.9,81.2,49.1
EUR_JPY,0.5,1.0,30,56661,37334,19327,-666.53,-688.67,-107464.7,-55517.0,-162981.7,2.2,89.4,49.2
EUR_JPY,0.5,2.0,1,326354,216558,109796,-3898.73,-4062.04,-628595.2,-327462.5,-956057.7,3.7,19.2,49.2
EUR_JPY,0.5,2.0,2,193689,128498,65191,-2301.42,-2398.64,-371059.5,-193366.8,-564426.4,6.0,33.4,49.1
EUR_JPY,0.5,2.0,5,101852,67551,34301,-1200.39,-1243.82,-193538.9,-100270.9,-293809.8,8.9,53.7,49.1
EUR_JPY,0.5,2.0,10,65628,43493,22135,-758.05,-781.29,-122220.8,-62984.2,-185205.0,11.2,66.9,49.5
EUR_JPY,0.5,2.0,30,35030,23236,11794,-399.97,-410.25,-64487.6,-33072.6,-97560.2,13.6,81.2,49.2
EUR_JPY,0.5,3.0,1,310244,206009,104235,-3697.33,-3864.53,-596122.4,-311540.1,-907662.6,8.0,8.1,49.1
EUR_JPY,0.5,3.0,2,175061,116174,58887,-2071.31,-2154.19,-333959.0,-173660.9,-507620.0,17.1,18.3,49.1
EUR_JPY,0.5,3.0,5,84749,56227,28522,-998.97,-1028.58,-161064.4,-82919.0,-243983.4,33.8,37.4,49.2
EUR_JPY,0.5,3.0,10,51343,34108,17235,-599.56,-618.3,-96666.9,-49844.6,-146512.2,47.1,52.6,48.9
EUR_JPY,0.5,3.0,30,25611,16940,8671,-292.66,-298.47,-47186.1,-24061.5,-71247.9,64.1,72.4,48.9
EUR_JPY,0.5,5.0,1,303438,201645,101793,-3611.94,-3751.74,-582355.1,-302447.4,-884802.5,6.1,2.0,49.0
EUR_JPY,0.5,5.0,2,164769,109453,55316,-1943.24,-2034.38,-313309.2,-164001.7,-477311.0,12.0,5.8,49.2
EUR_JPY,0.5,5.0,5,73319,48707,24612,-856.22,-897.8,-138048.9,-72376.5,-210425.3,23.9,18.0,49.2
EUR_JPY,0.5,5.0,10,41358,27497,13861,-476.39,-495.04,-76809.2,-39907.7,-116718.2,35.8,32.2,49.5
EUR_JPY,0.5,5.0,30,18407,12314,6093,-205.73,-208.59,-33170.4,-16815.7,-49989.3,54.5,56.1,49.5
EUR_JPY,1.0,1.0,1,350958,232174,118784,-4164.92,-4356.01,-671512.6,-351160.9,-1022673.5,1.1,44.1,49.2
EUR_JPY,1.0,1.0,2,236654,156386,80268,-2797.59,-2920.48,-451057.3,-235435.6,-686492.9,1.3,58.4,49.3
EUR_JPY,1.0,1.0,5,142521,94078,48443,-1669.03,-1731.71,-269098.1,-139601.9,-408700.0,1.6,73.5,49.4
EUR_JPY,1.0,1.0,10,98847,65149,33698,-1148.56,-1201.88,-185182.9,-96889.7,-282072.6,1.8,81.6,49.3
EUR_JPY,1.0,1.0,30,56536,37227,19309,-659.96,-696.1,-106405.3,-56116.0,-162521.3,2.0,89.7,49.3
EUR_JPY,1.0,2.0,1,300320,199269,101051,-3565.03,-3717.37,-574791.6,-299676.9,-874468.4,3.9,20.0,49.0
EUR_JPY,1.0,2.0,2,184878,122623,62255,-2182.33,-2264.46,-351859.1,-182550.1,-534409.2,6.3,34.3,49.3
EUR_JPY,1.0,2.0,5,99688,66153,33535,-1171.25,-1210.21,-188841.5,-97561.2,-286402.6,8.8,54.2,49.3
EUR_JPY,1.0,2.0,10,64952,43123,21829,-744.13,-776.11,-119975.9,-62566.0,-182541.9,10.6,67.4,49.2
EUR_JPY,1.0,2.0,30,34799,22986,11813,-391.85,-404.18,-63178.4,-32583.3,-95761.6,13.0,81.5,49.6
EUR_JPY,1.0,3.0,1,285389,189510,95879,-3387.31,-3520.37,-546137.7,-283795.8,-829933.4,8.5,8.6,49.1
EUR_JPY,1.0,3.0,2,166766,110673,56093,-1978.17,-2046.47,-318941.9,-164976.6,-483918.4,17.4,18.7,49.2
EUR_JPY,1.0,3.0,5,82996,55078,27918,-971.66,-1006.08,-156661.9,-81105.1,-237767.1,34.3,37.8,49.3
EUR_JPY,1.0,3.0,10,51453,34228,17225,-578.93,-608.61,-93341.1,-49063.5,-142404.9,47.6,53.7,49.0
EUR_JPY,1.0,3.0,30,25680,17178,8502,-284.1,-303.18,-45805.2,-24440.7,-70246.2,63.6,72.5,48.9
EUR_JPY,1.0,5.0,1,278930,185384,93546,-3308.5,-3428.79,-533431.7,-276412.9,-809844.6,6.4,2.0,49.0
EUR_JPY,1.0,5.0,2,156999,104335,52664,-1851.16,-1932.64,-298462.9,-155800.0,-454262.9,12.0,6.0,49.1
EUR_JPY,1.0,5.0,5,71852,47746,24106,-830.53,-877.99,-133907.3,-70779.5,-204686.9,24.0,18.3,49.4
EUR_JPY,1.0,5.0,10,40874,27168,13706,-472.49,-479.72,-76179.3,-38672.8,-114853.4,36.0,32.5,49.3
EUR_JPY,1.0,5.0,30,18492,12307,6185,-208.66,-209.39,-33643.0,-16880.2,-50532.8,55.2,56.6,49.5
EUR_JPY,1.5,1.0,1,311370,206103,105267,-3704.99,-3868.11,-597356.8,-311828.9,-909185.7,1.1,45.5,49.3
