pair,fwd_window,score,n,mean_pips,wr,std_pips
EUR_JPY,24h,5,5416,-3.704,49.8,79.8
GBP_USD,1h,-5,4402,0.838,52.4,14.6
GBP_USD,1h,-4,250,-0.723,47.6,9.2
GBP_USD,1h,-3,18296,0.146,51.3,13.3
GBP_USD,1h,-2,912,-0.523,48.6,10.8
GBP_USD,1h,-1,34513,-0.015,50.4,12.6
GBP_USD,1h,0,1473,-0.208,49.1,9.7
GBP_USD,1h,1,36556,-0.117,49.4,12.1
GBP_USD,1h,2,1126,-0.208,46.8,9.7
GBP_USD,1h,3,20759,-0.01,49.4,11.9
GBP_USD,1h,4,323,-0.158,49.8,10.4
GBP_USD,1h,5,4864,0.279,50.5,12.2
GBP_USD,4h,-5,4402,1.9,52.3,27.6
GBP_USD,4h,-4,250,0.221,52.0,26.7
GBP_USD,4h,-3,18296,0.516,51.6,25.4
GBP_USD,4h,-2,912,-1.339,48.5,22.5
GBP_USD,4h,-1,34505,-0.065,50.8,25.1
GBP_USD,4h,0,1472,-1.585,48.1,22.6
GBP_USD,4h,1,36544,-0.252,50.1,24.1
GBP_USD,4h,2,1125,-0.764,47.6,19.7
GBP_USD,4h,3,20746,0.012,50.1,23.7
GBP_USD,4h,4,323,0.978,52.3,22.4
GBP_USD,4h,5,4863,0.664,50.0,24.3
GBP_USD,24h,-5,4402,0.015,46.8,62.2
GBP_USD,24h,-4,250,-3.947,45.2,55.0
GBP_USD,24h,-3,18296,1.558,49.3,60.3
GBP_USD,24h,-2,912,-3.809,45.3,61.3
GBP_USD,24h,-1,34449,0.759,50.6,59.2
GBP_USD,24h,0,1468,-3.998,47.4,60.8
GBP_USD,24h,1,36425,-0.724,49.8,59.2
GBP_USD,24h,2,1124,-1.027,47.7,52.9
GBP_USD,24h,3,20686,-0.022,48.7,59.5
GBP_USD,24h,4,323,0.897,43.3,63.2
GBP_USD,24h,5,4863,1.835,48.6,63.6
AUD_JPY,1h,-5,2193,0.588,52.3,16.5
AUD_JPY,1h,-4,139,-1.058,36.0,12.4
AUD_JPY,1h,-3,13126,0.69,52.7,15.1
AUD_JPY,1h,-2,782,0.213,48.7,12.8
AUD_JPY,1h,-1,32312,0.21,51.5,15.1
AUD_JPY,1h,0,1322,-0.034,49.4,11.5
AUD_JPY,1h,1,39726,-0.04,51.0,14.5
AUD_JPY,1h,2,1036,-0.486,50.7,11.5
AUD_JPY,1h,3,25589,0.029,52.2,14.0
AUD_JPY,1h,4,347,-1.203,50.7,10.7
AUD_JPY,1h,5,7059,0.438,52.2,13.2
AUD_JPY,4h,-5,2193,2.118,56.6,33.1
AUD_JPY,4h,-4,139,3.502,58.3,22.3
AUD_JPY,4h,-3,13126,1.723,53.5,30.0
AUD_JPY,4h,-2,782,2.468,54.5,25.1
AUD_JPY,4h,-1,32301,0.968,52.9,29.6
AUD_JPY,4h,0,1321,-0.553,50.8,25.3
AUD_JPY,4h,1,39708,0.25,51.9,28.3
AUD_JPY,4h,2,1035,-0.352,51.1,24.6
AUD_JPY,4h,3,25584,-0.013,52.1,27.0
AUD_JPY,4h,4,347,0.514,51.6,24.2
