spike,m1_min,peak_frac,tp,sl,max_hold,n,sum_pips,ppd,wr,tp_pct,sl_pct,time_pct,mean_pnl,mdd
180.0,10.0,0.9,2.0,10.0,12,98,-996.3,-2.8,1.0,50.0,25.5,24.5,-10.17,988.3
180.0,10.0,0.9,2.0,10.0,60,98,-867.6,-2.44,1.0,55.1,28.6,16.3,-8.85,859.6
180.0,10.0,0.9,2.0,10.0,120,98,-828.5,-2.33,1.0,57.1,29.6,13.3,-8.45,820.5
180.0,10.0,0.9,3.0,3.0,12,98,-819.2,-2.3,13.3,32.7,49.0,18.4,-8.36,812.2
180.0,10.0,0.9,3.0,3.0,60,98,-696.4,-1.96,13.3,35.7,55.1,9.2,-7.11,689.4
180.0,10.0,0.9,3.0,3.0,120,98,-680.0,-1.91,13.3,35.7,58.2,6.1,-6.94,673.0
180.0,10.0,0.9,3.0,5.0,12,98,-902.0,-2.53,13.3,34.7,43.9,21.4,-9.2,895.0
180.0,10.0,0.9,3.0,5.0,60,98,-791.1,-2.22,14.3,38.8,48.0,13.3,-8.07,784.1
180.0,10.0,0.9,3.0,5.0,120,98,-778.6,-2.19,14.3,38.8,49.0,12.2,-7.94,771.6
180.0,10.0,0.9,3.0,10.0,12,97,-992.0,-2.79,14.4,44.3,27.8,27.8,-10.23,985.0
180.0,10.0,0.9,3.0,10.0,60,97,-844.3,-2.37,15.5,51.5,30.9,17.5,-8.7,837.3
180.0,10.0,0.9,3.0,10.0,120,97,-788.7,-2.21,16.5,54.6,32.0,13.4,-8.13,781.7
